"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H0AR01125","SMITH, PRINCELLA D","O","REP",0,0,"AR","01",NA,NA,NA,NA
"H0AR02131","ELLIOTT, JOYCE ANN","O","DEM",0,0,"AR","02",NA,NA,NA,NA
"H6AR02245","CURRY, DIANNE","C","DEM",37666.34,22935.2,"AR","02",NA,NA,NA,NA
"H4AR02141","HILL, JAMES FRENCH","I","REP",2240181.57,1255061.69,"AR","02",NA,NA,NA,NA
"H4AR02166","REYNOLDS, CONRAD EARL","O","REP",0,0,"AR","02",NA,NA,NA,NA
"H6AR02252","OLREE, BROCK","C","REP",18454.97,448.1,"AR","02",NA,NA,NA,NA
"H0AR03030","WHITAKER, DAVID JEFFREY","O","DEM",0,0,"AR","03",NA,NA,NA,NA
"H0AR03055","WOMACK, STEVE","I","REP",931782.13,360459.07,"AR","03",NA,NA,NA,NA
"H2AR03143","HENDREN, JAMES PAUL","C","REP",7.28,0,"AR","03",NA,NA,NA,NA
"H2AR04133","HURST, Q. BYRUM JR","O","DEM",0,0,"AR","04",NA,NA,NA,NA
"H2AR04083","COTTON, THOMAS","C","REP",1170418,678477,"AR","04",NA,NA,NA,NA
"H4AR04048","WESTERMAN, BRUCE MR.","I","REP",716791.26,337067.99,"AR","04",NA,NA,NA,NA
"H0AS00018","FALEOMAVAEGA, ENI","C","DEM",0,0,"AS","00",NA,NA,NA,NA
"H4AS00069","JAMIAS, MAPU S.","C","DEM",11803,9200,"AS","00",NA,NA,NA,NA
"H4AS00036","AMATA, AUMUA","I","REP",78278.3,42820.35,"AS","00",NA,NA,NA,NA
"H6AS00031","HUNKIN-FINAU, VAITINASA SALU",NA,"DEM",41670,20555,"AS",NA,NA,NA,NA,NA
"H2AZ01271","BALDENEGRO, WENONA RAE BENALLY","C","DEM",2669.95,2669.95,"AZ","01",NA,NA,NA,NA
"H6AZ01199","O'HALLERAN, TOM","O","DEM",1605996.95,1075474.05,"AZ","01",NA,NA,NA,NA
"H6AZ01223","MALONEY, JAMES","O","DEM",94477.47,70471.11,"AZ","01",NA,NA,NA,NA
"H8AZ01104","KIRKPATRICK, ANN","I","DEM",423178.9,204959.83,"AZ","01",NA,NA,NA,NA
"H0AZ01325","TOBIN, ANDY HON.","C","REP",187.19,0,"AZ","01",NA,NA,NA,NA
"H2AZ01172","RENZI, RICHARD G.",NA,"REP",0,0,"AZ","01",NA,NA,NA,NA
"H2AZ04127","BABEU, PAUL RAYMOND","O","REP",1294238.74,1080639.69,"AZ","01",NA,NA,NA,NA
"H2AZ09035","ROGERS, WENDY","O","REP",498297.01,482707.13,"AZ","01",NA,NA,NA,NA
"H4AZ01145","KIEHNE, GARY","O","REP",1125977.68,296654.17,"AZ","01",NA,NA,NA,NA
"H4AZ01152","KWASMAN, ADAM CHARLES","C","REP",58316.32,0,"AZ","01",NA,NA,NA,NA
"H6AZ01173","BENNETT, KEN","O","REP",463873.44,376997.1,"AZ","01",NA,NA,NA,NA
"H6AZ01207","REDD, SHAWN MR.","O","REP",38049,2725,"AZ","01",NA,NA,NA,NA
"H6AZ01215","GOWAN , DAVID MATTHEW SR","O","REP",407463.03,332963.03,"AZ","01",NA,NA,NA,NA
"H6AZ01249","BEGAY, CARLYLE WILMER","O","REP",92351.09,79351.09,"AZ","01",NA,NA,NA,NA
"H8AZ01146","KORN, PRESTON","O","REP",0,0,"AZ","01",NA,NA,NA,NA
"H6AZ01231","MALNES, BRIAN EDWARD","O","IND",30000,0,"AZ","01",NA,NA,NA,NA
"H2AZ08094","BARBER, RONALD","C","DEM",3736.57,0,"AZ","02",NA,NA,NA,NA
"H6AZ02171","STEELE, VICTORIA L","C","DEM",246846.83,230119.44,"AZ","02",NA,NA,NA,NA
"H6AZ02189","HEINZ, MATTHEW GERALD DR.","C","DEM",1585093.47,1256630.11,"AZ","02",NA,NA,NA,NA
"H2AZ08102","MCSALLY, MARTHA E. MS.","I","REP",7878156.18,5975189.77,"AZ","02",NA,NA,NA,NA
"H4AZ02135","KAIS, SHELLEY M","C","REP",37.53,37.53,"AZ","02",NA,NA,NA,NA
"H4AZ02143","WOOTEN, CHARLES A","C","REP",222.85,0,"AZ","02",NA,NA,NA,NA
"H6AZ03112","STUMP, BOB","C","REP",0,0,"AZ","02",NA,NA,NA,NA
"H2AZ07070","GRIJALVA, RAUL M","I","DEM",664591.65,338021.58,"AZ","03",NA,NA,NA,NA
"H6AZ03187","VILLARREAL, JAMES","C","DEM",10633.02,4767,"AZ","03",NA,NA,NA,NA
"H2AZ04143","WEISSER, MIKEL","C","DEM",36043.62,35293.62,"AZ","04",NA,NA,NA,NA
"H0AZ01259","GOSAR, PAUL DR.","I","REP",707653.4,415940.54,"AZ","04",NA,NA,NA,NA
"H0AZ04493","CONTRERAS, JANET L","C","REP",0,0,"AZ","04",NA,NA,NA,NA
"H2AZ04135","GOULD, RON","C","REP",0,0,"AZ","04",NA,NA,NA,NA
"H6AZ04177","STRAUSS, RAYMOND JOHN","C","REP",111269.03,101923.14,"AZ","04",NA,NA,NA,NA
"H4AZ05088","WOODS, JAMES ISSAC","C","DEM",0,0,"AZ","05",NA,NA,NA,NA
"H6AZ05133","FUENTES, TALIA","O","DEM",18657.82,15057.82,"AZ","05",NA,NA,NA,NA
"H0AZ05078","WARD, JIM","C","REP",6580,0,"AZ","05",NA,NA,NA,NA
"H2AZ06148","ADAMS, KIRK DAVID","O","REP",0.82,0.04,"AZ","05",NA,NA,NA,NA
"H4AZ01038","SALMON, MATT","I","REP",408619.07,188448.96,"AZ","05",NA,NA,NA,NA
"H6AZ05083","BIGGS, ANDY","O","REP",995666.43,452132.13,"AZ","05",NA,NA,NA,NA
"H6AZ05091","OLSON, JUSTIN","O","REP",153355.81,48050.12,"AZ","05",NA,NA,NA,NA
"H6AZ05109","MARTYN, BRYAN","O","REP",4965,4965,"AZ","05",NA,NA,NA,NA
"H6AZ05117","STAPLEY, DONALD T","O","REP",512692.28,259692,"AZ","05",NA,NA,NA,NA
"H6AZ05125","JONES, CHRISTINE","O","REP",3774123.42,50915.94,"AZ","05",NA,NA,NA,NA
"H2AZ05132","WILLIAMSON, WALTER JOHN","C","DEM",6470.77,1828.77,"AZ","06",NA,NA,NA,NA
"H0AZ01184","FLAKE, JEFF MR.","C","REP",1012430,580490,"AZ","06",NA,NA,NA,NA
"H4AZ06045","SCHWEIKERT, DAVID","I","REP",797747.29,184977,"AZ","06",NA,NA,NA,NA
"H2AZ02055","PASTOR, ED L","C","DEM",0,0,"AZ","07",NA,NA,NA,NA
"H4AZ07043","GALLEGO, RUBEN","I","DEM",1093477.4,568901.24,"AZ","07",NA,NA,NA,NA
"H4AZ07050","GALLARDO, STEVE M","O","DEM",11875.4,0,"AZ","07",NA,NA,NA,NA
"H4AZ07068","WILCOX, MARY ROSE","O","DEM",1500,0,"AZ","07",NA,NA,NA,NA
"H0AZ07017","MCCLUNG, RUTH CRAWFORD","C","REP",11.93,0,"AZ","07",NA,NA,NA,NA
"H6AZ07030","NUNEZ, EVANGELINE MARTINEZ","C","REP",33620.36,23911.26,"AZ","07",NA,NA,NA,NA
"H0AZ04501","PENALOSA, JOSE LUIS JR","O","IND",8000,0,"AZ","07",NA,NA,NA,NA
"H6AZ08178","ARMSTRONG-STONER, DEREK JAMES","C","DEM",16350.98,2000.98,"AZ","08",NA,NA,NA,NA
"H4AZ04024","FRANKS, TRENT","I","REP",362299.08,147498,"AZ","08",NA,NA,NA,NA
"H2AZ09019","SINEMA, KYRSTEN","I","DEM",4402181.31,2232184.28,"AZ","09",NA,NA,NA,NA
"H2AZ09027","SCHAPIRA, DAVID","C","DEM",0,0,"AZ","09",NA,NA,NA,NA
"H0AZ03321","PARKER, VERNON","C","REP",0,0,"AZ","09",NA,NA,NA,NA
"H2AZ06155","GRANTHAM, TRAVIS W.","O","REP",0,0,"AZ","09",NA,NA,NA,NA
"H4AZ09023","WALTER, ANDREW","C","REP",0.45,0,"AZ","09",NA,NA,NA,NA
"H6AZ09010","GILES, DAVID VICTOR","C","REP",273769.71,14691.21,"AZ","09",NA,NA,NA,NA
"H6AZ09036","AGRA, JOHN","C","REP",108766,108196,"AZ","09",NA,NA,NA,NA
"H2AZ09092","STAPLEY, DON",NA,"UNK",512692.28,259692,"AZ",NA,NA,NA,NA,NA
"H4CA01066","HALL, HEIDI","C","DEM",1065.8,50,"CA","01",NA,NA,NA,NA
"H4CA01074","LEVINE, DAN","C","DEM",783.87,783.87,"CA","01",NA,NA,NA,NA
"H6CA01194","REED, JAMES E","C","DEM",138508.99,75828.68,"CA","01",NA,NA,NA,NA
"H2CA02142","LAMALFA, DOUG","I","REP",800277.02,399853.75,"CA","01",NA,NA,NA,NA
"H6CA01178","WRIGHT, DOUGLAS A.","C","REP",27709.03,21843,"CA","01",NA,NA,NA,NA
"H6CA01186","MONTES, JOSEPH","C","REP",183682,124678,"CA","01",NA,NA,NA,NA
"H2CA02100","LAWSON, STACEY","O","DEM",110632.19,0,"CA","02",NA,NA,NA,NA
"H2CA06259","HUFFMAN, JARED","I","DEM",973816.67,559633.89,"CA","02",NA,NA,NA,NA
"H6CA02234","SCHRODE, ERIN AZARIA","C","DEM",58283.5,58076.5,"CA","02",NA,NA,NA,NA
"H4CA02098","MENSING, DALE KENNETH","C","REP",4587,3898,"CA","02",NA,NA,NA,NA
"H0CA10149","GARAMENDI, JOHN","I","DEM",1145846.45,508626.22,"CA","03",NA,NA,NA,NA
"H4CA03096","LOGUE, DANIEL","C","REP",11761.38,500,"CA","03",NA,NA,NA,NA
"H6CA03117","CLEEK, N EUGENE MD","C","REP",382004.01,163542.85,"CA","03",NA,NA,NA,NA
"H6CA03125","DETERT, RYAN","C","REP",10325.81,1482.59,"CA","03",NA,NA,NA,NA
"H6CA04156","DERLET, ROBERT WAYNE","C","DEM",105527.33,81248.55,"CA","04",NA,NA,NA,NA
"H4CA04102","MOORE, ARTHUR S","C","REP",0,0,"CA","04",NA,NA,NA,NA
"H8CA04152","MCCLINTOCK, THOMAS","I","REP",1058570.56,922464.55,"CA","04",NA,NA,NA,NA
"H6CA05344","PALSSON, NILS","C","DEM",10240.59,10240.59,"CA","05",NA,NA,NA,NA
"H8CA01109","THOMPSON, MIKE MR.","I","DEM",2057128.82,762704.33,"CA","05",NA,NA,NA,NA
"H6CA05336","SANTAMARIA, CARLOS J","C","REP",2700,2700,"CA","05",NA,NA,NA,NA
"H6CA05195","MATSUI, DORIS","I","DEM",1103289.27,282549.16,"CA","06",NA,NA,NA,NA
"H6CA06227","EVANS, ROBERT S","C","REP",2905,2805,"CA","06",NA,NA,NA,NA
"H0CA03078","BERA, AMERISH","I","DEM",4172935.83,2680204.38,"CA","07",NA,NA,NA,NA
"H0CA11352","EMKEN, ELIZABETH","C","REP",5901.45,0,"CA","07",NA,NA,NA,NA
"H4CA07055","BIRMAN, IGOR A","C","REP",27857.99,4850,"CA","07",NA,NA,NA,NA
"H6CA07126","JONES, SCOTT","C","REP",1362661.26,945823.22,"CA","07",NA,NA,NA,NA
"H8CA03105","OSE, DOUG","C","REP",265476.95,0,"CA","07",NA,NA,NA,NA
"H8CA05134","TUMA, DOUGLAS ARTHUR","C","LIB",0,0,"CA","07",NA,NA,NA,NA
"H2CA00138","PINKERTON, JOHN RAYMOND III","C","DEM",6954.18,657.98,"CA","08",NA,NA,NA,NA
"H6CA40234","CONAWAY, ROBERT DEAN","C","DEM",804,0,"CA","08",NA,NA,NA,NA
"H8CA41139","DR RITA RAMIREZ","C","DEM",35743.12,5361.08,"CA","08",NA,NA,NA,NA
"H2CA08156","MITZELFELT, BRAD","C","REP",176,0,"CA","08",NA,NA,NA,NA
"H2CA08164","COOK, PAUL","I","REP",944657.62,338410,"CA","08",NA,NA,NA,NA
"H4CA08103","HANNOSH, PAUL","C","REP",0,0,"CA","08",NA,NA,NA,NA
"H4CA08111","CONOVER, RODNEY LEE","C","REP",73.05,0,"CA","08",NA,NA,NA,NA
"H6CA08207","DONNELLY, TIM","C","REP",89883.21,78470.15,"CA","08",NA,NA,NA,NA
"H8CA08062","WALSH, DANA","C","REP",0,0,"CA","08",NA,NA,NA,NA
"H4CA11081","MCNERNEY, JERRY","I","DEM",1217897.4,730858.38,"CA","09",NA,NA,NA,NA
"H0CA11337","AMADOR, ANTONIO C","C","REP",65366.84,47971,"CA","09",NA,NA,NA,NA
"H4CA09069","COLANGELO, STEVE ANTHONY","C","REP",1210,0,"CA","09",NA,NA,NA,NA
"H6CA09098","NANCE, KATHRYN D","C","REP",68709.37,64007.01,"CA","09",NA,NA,NA,NA
"H2CA00096","BARKLEY, MICHAEL JAMES","C","DEM",45981.77,82.6,"CA","10",NA,NA,NA,NA
"H4CA10075","EGGMAN, MICHAEL RAY","C","DEM",1639589.92,1195080.49,"CA","10",NA,NA,NA,NA
"H0CA19173","DENHAM, JEFF","I","REP",3345326.67,1075103.32,"CA","10",NA,NA,NA,NA
"H0CA10073","DESAULNIER, MARK","I","DEM",629490.86,323974.34,"CA","11",NA,NA,NA,NA
"H0CA11303","GOEHRING, BRAD","C","REP",0,0,"CA","11",NA,NA,NA,NA
"H6CA11169","PETERSEN, ROGER","C","REP",8789.5,7789.5,"CA","11",NA,NA,NA,NA
"H4CA12139","STEGER, MICHAEL G","C","DEM",450,450,"CA","12",NA,NA,NA,NA
"H8CA05035","PELOSI, NANCY","I","DEM",4416893.49,2953425.38,"CA","12",NA,NA,NA,NA
"H0CA08069","DENNIS, JOHN","C","REP",2581.4,2579.52,"CA","12",NA,NA,NA,NA
"H6CA12183","MILLER, ROBERT","C","REP",10905.38,5283,"CA","12",NA,NA,NA,NA
"H4CA12089","HERMANSON, BARRY","C","GRE",8958.83,200,"CA","12",NA,NA,NA,NA
"H6CA12175","PICUS, PRESTON","C","IND",28479.57,28479.57,"CA","12",NA,NA,NA,NA
"H0CA13093","JELINCIC, JUSTIN","C","DEM",0,0,"CA","13",NA,NA,NA,NA
"H8CA09060","LEE, BARBARA","I","DEM",1328822.47,994434.51,"CA","13",NA,NA,NA,NA
"H6CA13140","CARO, SUZANNE M","C","REP",4521,3050,"CA","13",NA,NA,NA,NA
"H8CA12171","SPEIER, JACKIE","I","DEM",874657.21,507649.83,"CA","14",NA,NA,NA,NA
"H6CA14114","CARDENAS, ANGEL","C","REP",4140.06,4105.06,"CA","14",NA,NA,NA,NA
"H0CA15171","SIMITIAN, S JOSEPH",NA,"DEM",3107.31,2302.22,"CA","15",NA,NA,NA,NA
"H2CA15086","CORBETT, ELLEN","C","DEM",0,0,"CA","15",NA,NA,NA,NA
"H2CA15094","SWALWELL, ERIC MICHAEL","I","DEM",1986833.43,1152727.12,"CA","15",NA,NA,NA,NA
"H6CA09023","STARK, FORTNEY HILLMAN JR","C","DEM",590.77,0,"CA","15",NA,NA,NA,NA
"H4CA15066","BUSSELL, HUGH","C","REP",500,0,"CA","15",NA,NA,NA,NA
"H6CA15152","TURNER, DANNY REID","C","REP",632.75,532.75,"CA","15",NA,NA,NA,NA
"H4CA20082","COSTA, JIM MR.","I","DEM",1759404.4,837375,"CA","16",NA,NA,NA,NA
"H2CA16100","TACHERRA, JOHNNY","C","REP",547428.08,512281.5,"CA","16",NA,NA,NA,NA
"H4CA16106","BOTELHO, JOANNA LYNN GARCIA","C","REP",20250,0,"CA","16",NA,NA,NA,NA
"H6CA16135","ROGERS, DAVID BRYAN","C","REP",242272.54,242272.54,"CA","16",NA,NA,NA,NA
"H0CA15148","HONDA, MIKE","I","DEM",2996005.94,2229590.42,"CA","17",NA,NA,NA,NA
"H4CA12055","KHANNA, ROHIT","C","DEM",3732538.09,3717921.31,"CA","17",NA,NA,NA,NA
"H6CA17166","OLIVERIO, PIERLUIGI","C","DEM",3052,0,"CA","17",NA,NA,NA,NA
"H4CA17294","SINGH, VANILA M","C","REP",14668,68,"CA","17",NA,NA,NA,NA
"H6CA17141","COHEN, RONALD H","C","REP",4943,2750,"CA","17",NA,NA,NA,NA
"H6CA17158","KUO, PETER","C","REP",14233.76,8132.76,"CA","17",NA,NA,NA,NA
"H8CA12098","ESHOO, ANNA G.","I","DEM",1375000.13,713488.25,"CA","18",NA,NA,NA,NA
"H4CA18094","FOX, RICHARD B","C","REP",26480.93,17837.93,"CA","18",NA,NA,NA,NA
"H4CA16049","LOFGREN, ZOE","I","DEM",1381139.75,868510.31,"CA","19",NA,NA,NA,NA
"H6CA19121","LANCASTER, GORDON K CA","C","REP",5500,100,"CA","19",NA,NA,NA,NA
"H4CA17021","FARR, SAM","I","DEM",212350.88,77425.25,"CA","20",NA,NA,NA,NA
"H6CA20152","PANETTA, JAMES VARNI","O","DEM",1417975.94,1079044.71,"CA","20",NA,NA,NA,NA
"H6CA21176","HAZE, ERNEST STEVEN","C","DEM",0,0,"CA","20",NA,NA,NA,NA
"H6CA20145","LUCIUS, CASEY","O","REP",420766.94,408109.55,"CA","20",NA,NA,NA,NA
"H8CA17089","TAYLOR, JEFF","C","REP",0,0,"CA","20",NA,NA,NA,NA
"H4CA21072","RENTERIA, AMANDA","C","DEM",24711.7,155,"CA","21",NA,NA,NA,NA
"H6CA21192","PARRA, DANIEL","C","DEM",75652.83,58343.07,"CA","21",NA,NA,NA,NA
"H6CA21200","PEREZ, CONNIE","C","DEM",15272.95,6272.95,"CA","21",NA,NA,NA,NA
"H6CA21218","HUERTA, EMILIO JESUS MR.","C","DEM",774232.31,566815.3,"CA","21",NA,NA,NA,NA
"H2CA20094","VALADAO, DAVID","I","REP",2783958.76,1248328.32,"CA","21",NA,NA,NA,NA
"H2CA22140","LEE, OTTO","C","DEM",0,0,"CA","22",NA,NA,NA,NA
"H4CA22104","MARRERO, SUZANNA AUGILERA","C","DEM",318,0,"CA","22",NA,NA,NA,NA
"H8CA20059","NUNES, DEVIN G","I","REP",2463359.88,677858.44,"CA","22",NA,NA,NA,NA
"H4CA23151","GARCIA, RAUL","C","DEM",275,275,"CA","23",NA,NA,NA,NA
"H6CA23206","REED, WENDY","C","DEM",40357.4,22601.93,"CA","23",NA,NA,NA,NA
"H6CA22125","MCCARTHY, KEVIN","I","REP",7824640.59,1343844.42,"CA","23",NA,NA,NA,NA
"H6CA23214","MORRIS, GERALD A","C","REP",0,0,"CA","23",NA,NA,NA,NA
"H6CA23222","METTLER, KEN","C","REP",43818.89,20402.03,"CA","23",NA,NA,NA,NA
"H6CA24253","MARTINEZ, JILL MARIE","C","DEM",0,0,"CA","24",NA,NA,NA,NA
"H6CA24287","OSTRANDER, WILLIAM","O","DEM",76326,47233.93,"CA","24",NA,NA,NA,NA
"H6CA24303","CARBAJAL, SALUD","O","DEM",3172597.42,2494082.6,"CA","24",NA,NA,NA,NA
"H6CA24311","SCHNEIDER, HELENE","O","DEM",667766.05,637338.1,"CA","24",NA,NA,NA,NA
"H8CA22089","CAPPS, LOIS G","I","DEM",71293.21,2702.98,"CA","24",NA,NA,NA,NA
"H2CA23106","MALDONADO, ABEL","C","REP",0,0,"CA","24",NA,NA,NA,NA
"H2CA23114","MITCHUM, CHRISTOPHER","C","REP",304564.29,270,"CA","24",NA,NA,NA,NA
"H4CA24142","FAREED, JUSTIN","O","REP",2353070.71,2096376.98,"CA","24",NA,NA,NA,NA
"H4CA24159","FRANCISCO, DALE","C","REP",7544.06,6400,"CA","24",NA,NA,NA,NA
"H4CA24175","ALLEN, BRAD DR","C","REP",0,0,"CA","24",NA,NA,NA,NA
"H6CA21028","GALLEGLY, ELTON","C","REP",764.78,0,"CA","24",NA,NA,NA,NA
"H6CA24279","TENENBAUM, MICHAEL","C","REP",0,0,"CA","24",NA,NA,NA,NA
"H6CA24295","ACHADJIAN, KHATCHIK","O","REP",893210.3,785308.32,"CA","24",NA,NA,NA,NA
"H6CA24329","KOKKONEN, MATT","O","REP",220343.98,9101,"CA","24",NA,NA,NA,NA
"H4CA24183","ISAKSON, STEVE WESLEY PHD","O","NNE",52593.59,0,"CA","24",NA,NA,NA,NA
"H2CA25143","ROGERS, LEE C.","O","DEM",0,0,"CA","25",NA,NA,NA,NA
"H4CA25107","THOMAS, EVAN CHARLES","C","DEM",10607.1,5188.97,"CA","25",NA,NA,NA,NA
"H6CA25151","VINCE, LOU","C","DEM",93719.65,83744.34,"CA","25",NA,NA,NA,NA
"H6CA25169","GUTZEIT, MARIA","C","DEM",72845.44,56035.97,"CA","25",NA,NA,NA,NA
"H6CA25177","CAFORIO, BRYAN","C","DEM",1706520.29,1173006.17,"CA","25",NA,NA,NA,NA
"H2CA25028","WYMAN, PHILLIP D","C","REP",0,0,"CA","25",NA,NA,NA,NA
"H2CA25036","MCKEON, HOWARD P ""BUCK""","C","REP",1360.81,0,"CA","25",NA,NA,NA,NA
"H2CA26109","STRICKLAND, ANTHONY A","O","REP",6249.08,500,"CA","25",NA,NA,NA,NA
"H4CA25123","KNIGHT, STEVE","I","REP",1712195.09,659741.8,"CA","25",NA,NA,NA,NA
"H6CA25193","BOMBERGER, JEFFREY","C","IND",0,0,"CA","25",NA,NA,NA,NA
"H2CA00120","BROWNLEY, JULIA","I","DEM",3397538.71,2290350.61,"CA","26",NA,NA,NA,NA
"H4CA26139","DAGNESSES, RAFAEL","C","REP",431583.71,164530,"CA","26",NA,NA,NA,NA
"H4CA26147","GORELL, JEFF","C","REP",3219.38,0,"CA","26",NA,NA,NA,NA
"H0CA32101","CHU, JUDY","I","DEM",1185705.39,777415.83,"CA","27",NA,NA,NA,NA
"H2CA27198","ORSWELL, JACK","C","REP",201166.01,175713.01,"CA","27",NA,NA,NA,NA
"H6CA27280","BARAJAS, RAMON MISTER III","C","REP",0,0,"CA","27",NA,NA,NA,NA
"H0CA27085","SCHIFF, ADAM","I","DEM",975256.29,513831.7,"CA","28",NA,NA,NA,NA
"H4CA28077","STOKES, STEVE","C","IND",14407,12747,"CA","28",NA,NA,NA,NA
"H0CA00082","PORTANTINO, ANTHONY","C","DEM",288494.78,0,"CA","29",NA,NA,NA,NA
"H2CA28113","CARDENAS, TONY","I","DEM",1705480.77,678651.55,"CA","29",NA,NA,NA,NA
"H4CA29125","GAMBLE, VENICE JAYMES II","C","DEM",0,0,"CA","29",NA,NA,NA,NA
"H6CA29203","BERNAL, BENITO BENNY","C","DEM",15502,15502,"CA","29",NA,NA,NA,NA
"H6CA29211","SHAMMAS, JOSEPH IVARO","C","DEM",43498.27,8556.89,"CA","29",NA,NA,NA,NA
"H6CA29229","ALARCON, RICHARD ANTHONY MR.","C","DEM",70834.33,57081.05,"CA","29",NA,NA,NA,NA
"H6CA29237","GUZMAN, DAVID","C","DEM",8303.25,8303.25,"CA","29",NA,NA,NA,NA
"H2CA28097","HERNANDEZ, DAVID RAYMOND","C","REP",0,0,"CA","29",NA,NA,NA,NA
"H2CA26026","BERMAN, HOWARD L","C","DEM",0,0,"CA","30",NA,NA,NA,NA
"H4CA30123","RAB, AEJAZ (RAJI)","C","DEM",143051,88001,"CA","30",NA,NA,NA,NA
"H6CA24113","SHERMAN, BRAD","I","DEM",1663502.31,930137.46,"CA","30",NA,NA,NA,NA
"H6CA30177","PATRICK, PATREA","C","DEM",0,0.87,"CA","30",NA,NA,NA,NA
"H4CA30081","KLEINMAN, PABLO","C","REP",7,0,"CA","30",NA,NA,NA,NA
"H2CA31125","AGUILAR, PETE","I","DEM",2954535.72,1806312.66,"CA","31",NA,NA,NA,NA
"H4CA31055","REYES, ELOISE GOMEZ","O","DEM",0,0,"CA","31",NA,NA,NA,NA
"H6CA42099","BACA, JOE","O","DEM",0,0,"CA","31",NA,NA,NA,NA
"H4CA31071","CHABOT, PAUL R DR.","C","REP",698718.69,557169.91,"CA","31",NA,NA,NA,NA
"H4CA31089","GOOCH, LESLI E MCCOLLUM","O","REP",84.03,0,"CA","31",NA,NA,NA,NA
