"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto","covi_num"
"14","CT",2002,1,6,14,14,14,14,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.2035981
"15","DE",2000,1,7,13,13,13,20,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.341123
"16","DE",2002,1,7,13,13,13,20,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.341123
"17","FL",2000,0,8,12,12,12,29,2,0,1,1,1,1,0,1,NA,NA,1,0,1,1,0,1,0,0,0,0,0,1.771092
"18","FL",2002,0,8,12,12,12,29,2,0,1,1,1,1,0,1,NA,NA,1,0,1,1,0,1,0,0,0,0,0,1.771092
"19","GA",2000,0,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,1.128879
"20","GA",2002,0,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,1.128879
"21","HI",2000,0,9,11,11,11,30,2,0,1,0,1,1,0,1,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1.652785
"22","HI",2002,0,9,11,11,11,30,2,0,1,0,1,1,0,1,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1.652785
"23","ID",2000,0,7.5,12.5,13,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.246892
"24","ID",2002,0,7.5,12.5,13,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.246892
"25","IL",2000,0,7,13,13,13,29,0,1,1,1,1,0,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.3808907
"26","IL",2002,0,7,13,13,13,29,0,1,1,1,1,0,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.3808907
"27","IN",2000,1,8,12,12,12,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.1617641
"28","IN",2002,1,8,12,12,12,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.1617641
"29","IA",2000,0,6,14,14,14,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.5547003
"30","IA",2002,0,6,14,14,14,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.5547003
"31","KS",2000,0,7,13,14,12,14,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.6031852
"32","KS",2002,0,7,13,14,12,14,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.6031852
"33","KY",2000,1,8,12,12,12,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0.5,0,0,0,0,0,0,0,0.7345312
"34","KY",2002,1,8,12,12,12,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0.5,0,0,0,0,0,0,0,0.7345312
"35","LA",2000,1,6,14,14,14,28,2,0,1,1,1,1,0,1,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.9137193
"36","LA",2002,1,6,14,14,14,28,2,0,1,1,1,1,0,1,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.9137193
"37","ME",2000,0,8,12,14,10,0,0,1,1,1,0,0,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.566757
"38","ME",2002,0,8,12,14,10,0,0,1,1,1,0,0,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.566757
"39","MD",2000,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.2089909
"40","MD",2002,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.2089909
"41","MA",2000,1,7,13,13,13,20,0,1,1,1,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.574008
"42","MA",2002,1,7,13,13,13,20,0,1,1,1,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.574008
"43","MI",2000,1,7,13,13,13,30,2,0,1,1,1,0,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.9737849
"44","MI",2002,1,7,13,13,13,30,2,0,1,1,1,0,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.9737849
"45","MN",2000,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-0.8289171
"46","MN",2002,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-0.8289171
"47","MS",2000,1,8,12,12,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.3246423
"48","MS",2002,1,8,12,12,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.3246423
"49","MO",2000,1,7,13,13,13,28,0,1,1,1,1,1,0,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0.5578553
"50","MO",2002,1,7,13,13,13,28,0,1,1,1,1,1,0,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0.5578553
"51","MT",2000,0,9.5,10.5,13,8,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.1131253
"52","MT",2002,0,9.5,10.5,13,8,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.1131253
"53","NE",2000,0,8,12,12,12,12,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2314731
"54","NE",2002,0,8,12,12,12,12,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2314731
"55","NV",2000,0,8,12,12,12,30,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0945976
"56","NV",2002,0,8,12,12,12,30,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0945976
"57","NH",2000,1,10,10,12,8,0,0,1,1,1,1,1,0,0,NA,NA,1,1,0,1,0,0,0,0,0,0,0,-0.356768
"58","NH",2002,1,10,10,12,8,0,0,1,1,1,1,1,0,0,NA,NA,1,1,0,1,0,0,0,0,0,0,0,-0.356768
"59","NJ",2000,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.1164645
"60","NJ",2002,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.1164645
"61","NM",2000,0,8,12,12,12,28,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1408608
"62","NM",2002,0,8,12,12,12,28,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1408608
"63","NY",2000,1,5,15,15,15,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0.75,0,0,0,0,0,0,0,-0.2413982
"64","NY",2002,1,5,15,15,15,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0.75,0,0,0,0,0,0,0,-0.2413982
"65","NC",2000,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0692443
"66","NC",2002,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0692443
"67","ND",2000,0,8,12,14,10,0,0,1,1,1,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,-0.6057339
"68","ND",2002,0,8,12,14,10,0,0,1,1,1,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,-0.6057339
"69","OH",2000,0,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2180125
"70","OH",2002,0,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2180125
"71","OK",2000,0,8,12,12,12,24,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0936406
"72","OK",2002,0,8,12,12,12,24,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0936406
"73","OR",2000,0,0,20,20,20,20,0,1,0,0,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-1.837942
"74","OR",2002,0,0,20,20,20,20,0,1,0,0,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-1.837942
"75","PA",2000,1,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0782658
"76","PA",2002,1,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0782658
"77","RI",2000,1,6.5,13.5,15,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.0228273
"78","RI",2002,1,6.5,13.5,15,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,-0.0228273
"79","SC",2000,1,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.710921
"80","SC",2002,1,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.710921
"81","SD",2000,0,8,12,12,12,15,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1620784
"82","SD",2002,0,8,12,12,12,15,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1620784
"83","TN",2000,1,8.5,11.5,13,10,30,2,0,1,0,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1.166441
"84","TN",2002,1,8.5,11.5,13,10,30,2,0,1,0,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1.166441
"85","TX",2000,1,8,12,12,12,30,1,0,1,0,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.5711744
"86","TX",2002,1,8,12,12,12,30,1,0,1,0,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.5711744
"87","UT",2000,1,7,13,13,13,8,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.587161
"88","UT",2002,1,7,13,13,13,8,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.587161
"89","VT",2000,0,9,11,13,9,17,0,1,1,0,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.7856788
"90","VT",2002,0,9,11,13,9,17,0,1,1,0,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.7856788
"91","VA",2000,1,7,13,13,13,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.6659225
"92","VA",2002,1,7,13,13,13,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.6659225
"93","WA",2000,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.1861604
"94","WA",2002,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.1861604
"95","WV",2000,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.0464137
"96","WV",2002,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0.0464137
"97","WI",2000,0,8,12,13,11,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.037905
"98","WI",2002,0,8,12,13,11,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.037905
"99","WY",2000,0,8,12,12,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.177651
"100","WY",2002,0,8,12,12,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0,-1.177651
"101","AL",2004,1,9,11,12,10,10,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.5768019
"102","AL",2006,1,9,11,12,10,10,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.5768019
"103","AK",2004,0,7,13,13,13,30,1,0,1,0,1,1,1,0,1,NA,1,0,1,1,0,0,0,0,1,0,0,0.3614931
"104","AK",2006,0,7,13,13,13,30,1,0,1,0,1,1,1,0,1,NA,1,0,1,1,0,0,0,0,1,0,0,0.3614931
"105","AZ",2004,0,7,13,13,13,29,0,1,1,0,1,1,0,0,0,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2632636
"106","AZ",2006,0,7,13,13,13,29,0,1,1,0,1,1,0,0,0,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2632636
"107","AR",2004,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6385451
"108","AR",2006,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6385451
"109","CA",2004,0,7,13,13,13,15,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0057668
"110","CA",2006,0,7,13,13,13,15,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0057668
"111","CO",2004,0,8,12,12,12,29,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0136461
"112","CO",2006,0,8,12,12,12,29,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0136461
"113","CT",2004,1,6,14,14,14,14,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0341564
"114","CT",2006,1,6,14,14,14,14,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0341564
"115","DE",2004,1,7,13,13,13,20,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.4366502
"116","DE",2006,1,7,13,13,13,20,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.4366502
"117","FL",2004,0,8,12,12,12,29,2,0,1,0,1,1,0,1,1,NA,1,0,1,1,0,1,0,0,0,0,0,0.7233723
"118","FL",2006,0,8,12,12,12,29,2,0,1,0,1,1,0,1,1,NA,1,0,1,1,0,1,0,0,0,0,0,0.7233723
"119","GA",2004,0,8,12,12,12,30,1,0,1,0,1,1,1,0,1,NA,1,0,1,1,0,0,1,0,0,0,0,0.4686735
"120","GA",2006,0,8,12,12,12,30,1,0,1,0,1,1,1,0,1,NA,1,0,1,1,0,0,1,0,0,0,0,0.4686735
"121","HI",2004,0,9,11,11,11,30,2,0,1,0,1,1,0,1,1,NA,1,0,1,0,1,0,0,0,0,0,0,0.7073657
"122","HI",2006,0,9,11,11,11,30,2,0,1,0,1,1,0,1,1,NA,1,0,1,0,1,0,0,0,0,0,0,0.7073657
"123","ID",2004,0,7.5,12.5,13,12,0,0,1,1,1,1,1,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-1.483569
"124","ID",2006,0,7.5,12.5,13,12,0,0,1,1,1,1,1,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-1.483569
"125","IL",2004,0,7,13,13,13,28,0,1,1,1,1,0,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,-0.4768845
"126","IL",2006,0,7,13,13,13,28,0,1,1,1,1,0,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,-0.4768845
"127","IN",2004,1,8,12,12,12,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.1617584
"128","IN",2006,1,8,12,12,12,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.1617584
"129","IA",2004,0,6,14,14,14,10,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.251419
"130","IA",2006,0,6,14,14,14,10,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.251419
"131","KS",2004,0,7,13,14,12,15,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0070209
"132","KS",2006,0,7,13,14,12,15,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0070209
"133","KY",2004,1,8,12,12,12,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0.5,0,0,0,0,0,0,0,0.5732496
"134","KY",2006,1,8,12,12,12,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0.5,0,0,0,0,0,0,0,0.5732496
"135","LA",2004,1,6,14,14,14,30,2,0,1,1,1,1,0,1,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.8721411
"136","LA",2006,1,6,14,14,14,30,2,0,1,1,1,1,0,1,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.8721411
"137","ME",2004,0,8,12,14,10,0,0,1,1,0,0,0,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-1.906598
"138","ME",2006,0,8,12,14,10,0,0,1,1,0,0,0,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-1.906598
"139","MD",2004,0,7,13,13,13,21,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.0134763
"140","MD",2006,0,7,13,13,13,21,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.0134763
"141","MA",2004,1,7,13,13,13,20,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0507782
"142","MA",2006,1,7,13,13,13,20,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0507782
"143","MI",2004,1,7,13,13,13,30,2,0,1,1,1,0,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.4741807
"144","MI",2006,1,7,13,13,13,30,2,0,1,1,1,0,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.4741807
"145","MN",2004,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-0.7217388
"146","MN",2006,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,-0.7217388
"147","MS",2004,1,8,12,12,12,30,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6741121
"148","MS",2006,1,8,12,12,12,30,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6741121
"149","MO",2004,1,7,13,13,13,28,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,0,0,1,0,0,0,0,0.7381249
"150","MO",2006,1,7,13,13,13,28,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,0,0,1,0,0,0,0,0.7381249
"151","MT",2004,0,9.5,10.5,13,8,30,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.7154336
"152","MT",2006,0,9.5,10.5,13,8,30,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.7154336
"153","NE",2004,0,8,12,12,12,12,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.053518
"154","NE",2006,0,8,12,12,12,12,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.053518
"155","NV",2004,0,8,12,12,12,30,0,1,1,0,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1107951
"156","NV",2006,0,8,12,12,12,30,0,1,1,0,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1107951
"157","NH",2004,1,10,10,12,8,0,0,1,1,1,1,1,0,0,1,NA,1,1,0,1,0,0,0,0,0,0,0,-0.5323049
"158","NH",2006,1,10,10,12,8,0,0,1,1,1,1,1,0,0,1,NA,1,1,0,1,0,0,0,0,0,0,0,-0.5323049
"159","NJ",2004,0,6,14,14,14,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,-0.2401864
"160","NJ",2006,0,6,14,14,14,29,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,-0.2401864
"161","NM",2004,0,8,12,12,12,28,0,1,1,0,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.1736543
"162","NM",2006,0,8,12,12,12,28,0,1,1,0,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.1736543
"163","NY",2004,1,5,15,15,15,25,0,1,1,1,1,1,0,0,1,NA,1,1,1,0.75,0,0,0,0,0,0,0,0.1270064
"164","NY",2006,1,5,15,15,15,25,0,1,1,1,1,1,0,0,1,NA,1,1,1,0.75,0,0,0,0,0,0,0,0.1270064
"165","NC",2004,0,7,13,13,13,25,0,1,1,0,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.3679808
"166","NC",2006,0,7,13,13,13,25,0,1,1,0,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.3679808
"167","ND",2004,0,8,12,14,10,0,1,0,1,0,1,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,-2.038963
"168","ND",2006,0,8,12,14,10,0,1,0,1,0,1,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,-2.038963
"169","OH",2004,0,7,13,13,13,30,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0616485
"170","OH",2006,0,7,13,13,13,30,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.0616485
"171","OK",2004,0,8,12,12,12,25,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.2444827
"172","OK",2006,0,8,12,12,12,25,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.2444827
"173","OR",2004,0,0,20,20,20,21,0,1,0,0,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-1.992263
"174","OR",2006,0,0,20,20,20,21,0,1,0,0,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-1.992263
"175","PA",2004,1,7,13,13,13,30,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1257931
"176","PA",2006,1,7,13,13,13,30,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1257931
"177","RI",2004,1,6,14,14,14,30,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.2721673
"178","RI",2006,1,6,14,14,14,30,0,1,1,1,1,1,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0.2721673
"179","SC",2004,1,8,12,12,12,30,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.974099
"180","SC",2006,1,8,12,12,12,30,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.974099
"181","SD",2004,0,8,12,12,12,15,2,0,1,1,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.5826634
"182","SD",2006,0,8,12,12,12,15,2,0,1,1,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.5826634
"183","TN",2004,1,8.5,11.5,13,10,30,2,0,1,0,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,1.038498
"184","TN",2006,1,8.5,11.5,13,10,30,2,0,1,0,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,1.038498
"185","TX",2004,1,8,12,12,12,30,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6753662
"186","TX",2006,1,8,12,12,12,30,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.6753662
"187","UT",2004,1,7,13,13,13,20,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0507782
"188","UT",2006,1,7,13,13,13,20,0,1,1,1,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.0507782
"189","VT",2004,0,7.5,12.5,14,9,17,0,1,1,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.8510787
"190","VT",2006,0,7.5,12.5,14,9,17,0,1,1,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,-0.8510787
"191","VA",2004,1,7,13,13,13,29,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0,0.8216305
