,year,state,district,office_type,poll_id,pollster_rating_id,pollster,question_id,methodology,sample_size,population,partisan,days_before_election,pred_margin,actual_margin,bias,error
21,1998,Georgia,0,Senate,26249,674.0,University of Georgia Survey Research Center,31489,Live Phone,500.0,lv,NO,19.0,-17.0,-7.219999999999999,-9.780000000000001,9.780000000000001
22,1998,New York,0,Senate,26285,395.0,Zogby Analytics,31525,Live Phone,706.0,lv,NO,19.0,-5.0,10.54,-15.54,15.54
23,1998,Wisconsin,0,Senate,26262,366.0,University of Wisconsin-Milwaukee Institute for Survey and Policy Research,31502,Live Phone,286.0,lv,NO,19.0,2.0,2.1499999999999986,-0.14999999999999858,0.14999999999999858
24,1998,North Carolina,8,House,64394,387.0,Wirthlin Worldwide,118462,Live Phone,505.0,lv,R,19.0,-12.0,-2.539999999999999,-9.46,9.46
26,1998,Colorado,0,Governor,54224,260.0,Public Opinion Strategies,87760,Live Phone,500.0,lv,NO,18.0,-4.0,-0.6199999999999974,-3.3800000000000026,3.3800000000000026
27,1998,Connecticut,0,Governor,26208,267.0,Quinnipiac University,87770,Live Phone,683.0,lv,NO,18.0,-48.0,-27.46,-20.54,20.54
28,1998,Maryland,0,Governor,26147,197.0,Mason-Dixon Polling & Strategy,87858,Live Phone,828.0,lv,NO,18.0,2.0,10.32,-8.32,8.32
29,1998,Connecticut,0,Senate,26208,267.0,Quinnipiac University,31448,Live Phone,1247.0,lv,NO,18.0,32.0,32.78000000000001,-0.7800000000000082,0.7800000000000082
30,1998,Illinois,0,Senate,26250,352.0,University of Illinois at Chicago,31490,Live Phone,597.0,lv,NO,18.0,-17.0,-2.9100000000000037,-14.089999999999996,14.089999999999996
31,1998,Maryland,0,Senate,26147,197.0,Mason-Dixon Polling & Strategy,31387,Live Phone,821.0,lv,NO,18.0,41.0,41.0,0.0,0.0
34,1998,California,0,Governor,54213,94.0,Field Research Corp. (Field Poll),87749,Live Phone,809.0,lv,NO,17.0,7.0,19.589999999999996,-12.589999999999996,12.589999999999996
35,1998,Florida,0,Governor,54246,197.0,Mason-Dixon Polling & Strategy,87782,Live Phone,822.0,lv,NO,17.0,-10.0,-10.550000000000004,0.5500000000000043,0.5500000000000043
37,1998,New Hampshire,0,Governor,54354,26.0,Becker Institute,87890,Live Phone,355.0,lv,NO,17.0,45.0,35.27,9.729999999999997,9.729999999999997
38,1998,Florida,0,Senate,26113,197.0,Mason-Dixon Polling & Strategy,31353,Live Phone,836.0,lv,NO,17.0,26.0,24.939999999999998,1.0600000000000023,1.0600000000000023
39,1998,California,46,House,64109,172.0,Los Angeles Times,117952,Live Phone,1000.0,lv,NO,17.0,14.0,17.15,-3.1499999999999986,3.1499999999999986
40,1998,Indiana,10,House,64137,199.0,Massie & Associates,118009,Live Phone,300.0,lv,R,17.0,-1.0,18.970000000000006,-19.970000000000006,19.970000000000006
42,1998,Hawaii,0,Governor,54265,197.0,Mason-Dixon Polling & Strategy,87801,Live Phone,406.0,lv,NO,16.0,-15.0,1.2899999999999991,-16.29,16.29
43,1998,New Mexico,0,Governor,54358,280.0,Research & Polling Inc.,87894,Live Phone,916.0,lv,NO,16.0,-10.0,-9.060000000000002,-0.9399999999999977,0.9399999999999977
44,1998,Ohio,0,Governor,26050,123.0,Gordon S. Black Corp.,87927,Live Phone,1012.0,lv,NO,16.0,-8.0,-5.359999999999999,-2.6400000000000006,2.6400000000000006
45,1998,Rhode Island,0,Governor,54412,160.0,KRC Research,87948,Live Phone,400.0,lv,NO,16.0,-2.0,-8.839999999999996,6.839999999999996,6.839999999999996
46,1998,Kentucky,0,Senate,26243,328.0,TMR Research,31483,Live Phone,800.0,lv,NO,16.0,5.0,-0.5900000000000034,5.590000000000003,5.590000000000003
47,1998,Ohio,0,Senate,26050,123.0,Gordon S. Black Corp.,31290,Live Phone,1012.0,lv,NO,16.0,-23.0,-12.920000000000002,-10.079999999999998,10.079999999999998
48,1998,Oklahoma,0,Senate,26244,341.0,Tulsa Surveys,31484,Live Phone,750.0,lv,NO,16.0,-47.0,-35.099999999999994,-11.900000000000006,11.900000000000006
49,1998,Hawaii,1,House,54265,197.0,Mason-Dixon Polling & Strategy,117965,Live Phone,221.0,lv,NO,16.0,14.0,25.21,-11.21,11.21
50,1998,Kentucky,6,House,26243,328.0,TMR Research,118432,Live Phone,700.0,lv,NO,16.0,3.0,-7.159999999999997,10.159999999999997,10.159999999999997
51,1998,North Dakota,1,House,64392,383.0,WPA Intelligence,118460,Live Phone,300.0,lv,R,16.0,9.0,15.100000000000001,-6.100000000000001,6.100000000000001
52,1998,Washington,1,House,64108,168.0,"Lauer, Lalley, Victoria",117951,Live Phone,368.0,lv,D,16.0,4.0,5.650000000000006,-1.6500000000000057,1.6500000000000057
53,1998,California,0,Governor,26068,172.0,Los Angeles Times,87750,Live Phone,883.0,lv,NO,15.0,11.0,19.589999999999996,-8.589999999999996,8.589999999999996
54,1998,Illinois,0,Governor,26083,187.0,Market Shares Corp.,87828,Live Phone,1099.0,lv,NO,15.0,-15.0,-3.5700000000000003,-11.43,11.43
55,1998,Massachusetts,0,Governor,54305,197.0,Mason-Dixon Polling & Strategy,87841,Live Phone,625.0,lv,NO,15.0,-5.0,-3.4299999999999997,-1.5700000000000003,1.5700000000000003
56,1998,California,0,Senate,26068,172.0,Los Angeles Times,31308,Live Phone,883.0,lv,NO,15.0,5.0,10.050000000000004,-5.050000000000004,5.050000000000004
57,1998,Illinois,0,Senate,26083,187.0,Market Shares Corp.,31323,Live Phone,1099.0,lv,NO,15.0,-10.0,-2.9100000000000037,-7.089999999999996,7.089999999999996
59,1998,Arizona,0,Governor,54203,133.0,Harris Insights & Analytics,87739,Live Phone,732.0,lv,NO,14.0,-20.0,-25.42,5.420000000000002,5.420000000000002
60,1998,California,0,Governor,54215,133.0,Harris Insights & Analytics,87751,Live Phone,4531.0,lv,NO,14.0,11.0,19.589999999999996,-8.589999999999996,8.589999999999996
61,1998,Colorado,0,Governor,54225,133.0,Harris Insights & Analytics,87761,Live Phone,614.0,lv,NO,14.0,3.0,-0.6199999999999974,3.6199999999999974,3.6199999999999974
62,1998,Florida,0,Governor,54247,133.0,Harris Insights & Analytics,87783,Live Phone,2295.0,lv,NO,14.0,-16.0,-10.550000000000004,-5.449999999999996,5.449999999999996
63,1998,Georgia,0,Governor,54259,133.0,Harris Insights & Analytics,87795,Live Phone,1174.0,lv,NO,14.0,-5.0,8.410000000000004,-13.410000000000004,13.410000000000004
64,1998,Illinois,0,Governor,54293,133.0,Harris Insights & Analytics,87829,Live Phone,1209.0,lv,NO,14.0,-18.0,-3.5700000000000003,-14.43,14.43
65,1998,Illinois,0,Governor,54294,160.0,KRC Research,87830,Live Phone,400.0,lv,NO,14.0,-2.0,-3.5700000000000003,1.5700000000000003,1.5700000000000003
66,1998,Iowa,0,Governor,54274,329.0,"Drake Research & Strategy, Inc.",87810,Live Phone,408.0,lv,D,14.0,-2.0,5.800000000000004,-7.800000000000004,7.800000000000004
67,1998,Maryland,0,Governor,54323,3.0,ABC News/The Washington Post,87859,Live Phone,919.0,lv,NO,14.0,5.0,10.32,-5.32,5.32
68,1998,Maryland,0,Governor,54324,133.0,Harris Insights & Analytics,87860,Live Phone,911.0,lv,NO,14.0,-13.0,10.32,-23.32,23.32
69,1998,Massachusetts,0,Governor,54306,133.0,Harris Insights & Analytics,87842,Live Phone,907.0,lv,NO,14.0,-20.0,-3.4299999999999997,-16.57,16.57
70,1998,Massachusetts,0,Governor,54307,272.0,RKM Research and Communications Inc.,87843,Live Phone,402.0,lv,NO,14.0,-5.0,-3.4299999999999997,-1.5700000000000003,1.5700000000000003
71,1998,Michigan,0,Governor,54334,133.0,Harris Insights & Analytics,87870,Live Phone,1535.0,lv,NO,14.0,-15.0,-24.42,9.420000000000002,9.420000000000002
72,1998,New Mexico,0,Governor,54359,197.0,Mason-Dixon Polling & Strategy,87895,Live Phone,409.0,lv,NO,14.0,-4.0,-9.060000000000002,5.060000000000002,5.060000000000002
73,1998,New York,0,Governor,54375,133.0,Harris Insights & Analytics,87911,Live Phone,1792.0,lv,NO,14.0,-24.0,-21.160000000000004,-2.8399999999999963,2.8399999999999963
74,1998,Ohio,0,Governor,54392,133.0,Harris Insights & Analytics,87928,Live Phone,1793.0,lv,NO,14.0,-11.0,-5.359999999999999,-5.640000000000001,5.640000000000001
75,1998,Pennsylvania,0,Governor,54406,133.0,Harris Insights & Analytics,87942,Live Phone,1611.0,lv,NO,14.0,-48.0,-26.39,-21.61,21.61
76,1998,Texas,0,Governor,54424,133.0,Harris Insights & Analytics,87960,Live Phone,3248.0,lv,NO,14.0,-51.0,-37.059999999999995,-13.940000000000005,13.940000000000005
77,1998,Arizona,0,Senate,54203,133.0,Harris Insights & Analytics,117111,Live Phone,732.0,lv,NO,14.0,-48.0,-41.59,-6.409999999999997,6.409999999999997
78,1998,California,0,Senate,54215,133.0,Harris Insights & Analytics,117114,Live Phone,4531.0,lv,NO,14.0,1.0,10.050000000000004,-9.050000000000004,9.050000000000004
79,1998,Colorado,0,Senate,54225,133.0,Harris Insights & Analytics,117116,Live Phone,614.0,lv,NO,14.0,-18.0,-27.47,9.469999999999999,9.469999999999999
80,1998,Florida,0,Senate,54247,133.0,Harris Insights & Analytics,117118,Live Phone,2295.0,lv,NO,14.0,29.0,24.939999999999998,4.060000000000002,4.060000000000002
81,1998,Georgia,0,Senate,54259,133.0,Harris Insights & Analytics,117121,Live Phone,1174.0,lv,NO,14.0,-16.0,-7.219999999999999,-8.780000000000001,8.780000000000001
82,1998,Illinois,0,Senate,54293,133.0,Harris Insights & Analytics,117123,Live Phone,1209.0,lv,NO,14.0,-14.0,-2.9100000000000037,-11.089999999999996,11.089999999999996
83,1998,Illinois,0,Senate,26063,147.0,Illinois Wesleyan University Department of Political Science,31303,Live Phone,423.0,lv,NO,14.0,-22.0,-2.9100000000000037,-19.089999999999996,19.089999999999996
84,1998,Illinois,0,Senate,54294,160.0,KRC Research,117199,Live Phone,400.0,lv,NO,14.0,-10.0,-2.9100000000000037,-7.089999999999996,7.089999999999996
85,1998,Indiana,0,Senate,63646,133.0,Harris Insights & Analytics,117141,Live Phone,831.0,lv,NO,14.0,36.0,28.93,7.07,7.07
86,1998,Maryland,0,Senate,54324,133.0,Harris Insights & Analytics,117125,Live Phone,911.0,lv,NO,14.0,40.0,41.0,-1.0,1.0
87,1998,New York,0,Senate,54375,133.0,Harris Insights & Analytics,117127,Live Phone,1792.0,lv,NO,14.0,-2.0,10.54,-12.54,12.54
88,1998,North Carolina,0,Senate,63648,133.0,Harris Insights & Analytics,117143,Live Phone,1163.0,lv,NO,14.0,9.0,4.140000000000001,4.859999999999999,4.859999999999999
89,1998,Ohio,0,Senate,54392,133.0,Harris Insights & Analytics,117130,Live Phone,1793.0,lv,NO,14.0,-18.0,-12.920000000000002,-5.079999999999998,5.079999999999998
90,1998,Pennsylvania,0,Senate,54406,133.0,Harris Insights & Analytics,117132,Live Phone,1611.0,lv,NO,14.0,-32.0,-26.550000000000004,-5.449999999999996,5.449999999999996
91,1998,South Dakota,0,Senate,26199,223.0,NRECA Market Research,31439,Live Phone,500.0,lv,NO,14.0,32.0,25.730000000000004,6.269999999999996,6.269999999999996
92,1998,Washington,0,Senate,63650,133.0,Harris Insights & Analytics,117145,Live Phone,831.0,lv,NO,14.0,13.0,16.819999999999993,-3.819999999999993,3.819999999999993
93,1998,Montana,1,House,64121,197.0,Mason-Dixon Polling & Strategy,117966,Live Phone,819.0,lv,NO,14.0,-15.0,-8.649999999999999,-6.350000000000001,6.350000000000001
94,1998,Utah,2,House,64387,368.0,Valley Research,118453,Live Phone,452.0,lv,NO,14.0,1.0,-9.299999999999997,10.299999999999997,10.299999999999997
95,1998,Alabama,0,Governor,54186,361.0,University of South Alabama Polling Group,87721,Live Phone,820.0,lv,NO,13.0,14.0,15.620000000000005,-1.6200000000000045,1.6200000000000045
96,1998,Michigan,0,Governor,54335,213.0,Mitchell Research & Communications,87871,Live Phone,600.0,lv,NO,13.0,-32.0,-24.42,-7.579999999999998,7.579999999999998
97,1998,Rhode Island,0,Governor,54413,160.0,KRC Research,87949,Live Phone,400.0,lv,NO,13.0,5.0,-8.839999999999996,13.839999999999996,13.839999999999996
98,1998,Colorado,0,Senate,26017,51.0,Ciruli Associates,31257,Live Phone,400.0,lv,NO,13.0,-31.0,-27.47,-3.530000000000001,3.530000000000001
99,1998,New York,0,Senate,63761,325.0,SurveyUSA,117404,IVR,500.0,lv,NO,13.0,5.0,10.54,-5.539999999999999,5.539999999999999
100,1998,New York,0,Senate,26283,395.0,Zogby Analytics,31523,Live Phone,703.0,lv,NO,13.0,-4.0,10.54,-14.54,14.54
101,1998,Indiana,9,House,64170,260.0,Public Opinion Strategies,118077,Live Phone,300.0,lv,R,13.0,-10.0,2.8299999999999983,-12.829999999999998,12.829999999999998
102,1998,Kansas,4,House,64259,325.0,SurveyUSA,118237,IVR,500.0,lv,NO,13.0,-16.0,-19.699999999999996,3.6999999999999957,3.6999999999999957
103,1998,Alabama,0,Governor,54187,311.0,Southern Opinion Research,87722,Live Phone,500.0,lv,NO,12.0,25.0,15.620000000000005,9.379999999999995,9.379999999999995
104,1998,Colorado,0,Governor,54226,51.0,Ciruli Associates,87762,Live Phone,500.0,lv,NO,12.0,-6.0,-0.6199999999999974,-5.380000000000003,5.380000000000003
105,1998,Connecticut,0,Governor,54235,100.0,Forman Center,87771,Live Phone,557.0,lv,NO,12.0,-8.0,-27.46,19.46,19.46
106,1998,Florida,0,Governor,54248,100.0,Forman Center,87784,Live Phone,557.0,lv,NO,12.0,-8.0,-10.550000000000004,2.5500000000000043,2.5500000000000043
107,1998,Florida,0,Governor,54249,148.0,Independent Market Research,87785,Live Phone,670.0,lv,NO,12.0,-11.0,-10.550000000000004,-0.44999999999999574,0.44999999999999574
108,1998,Hawaii,0,Governor,54266,375.0,Ward Research,87802,Live Phone,480.0,lv,NO,12.0,-8.0,1.2899999999999991,-9.29,9.29
109,1998,Nebraska,0,Governor,54347,272.0,RKM Research and Communications Inc.,87883,Live Phone,831.0,lv,NO,12.0,-14.0,-7.939999999999998,-6.060000000000002,6.060000000000002
110,1998,Florida,0,Senate,26041,96.0,Fleming & Associates,31281,Live Phone,557.0,lv,NO,12.0,30.0,24.939999999999998,5.060000000000002,5.060000000000002
111,1998,Florida,0,Senate,54249,148.0,Independent Market Research,117194,Live Phone,670.0,lv,NO,12.0,36.0,24.939999999999998,11.060000000000002,11.060000000000002
112,1998,Florida,0,Senate,26082,186.0,Market Research Institute Inc.,31322,Live Phone,670.0,lv,NO,12.0,36.0,24.939999999999998,11.060000000000002,11.060000000000002
113,1998,Wisconsin,0,Senate,26032,91.0,FM3 Research,31272,Live Phone,599.0,lv,D,12.0,1.0,2.1499999999999986,-1.1499999999999986,1.1499999999999986
114,1998,Hawaii,1,House,54266,375.0,Ward Research,118458,Live Phone,272.0,lv,NO,12.0,15.0,25.21,-10.21,10.21
115,1998,New York,0,Governor,26240,36.0,CBS News/The New York Times,87912,Live Phone,639.0,lv,NO,11.0,-35.0,-21.160000000000004,-13.839999999999996,13.839999999999996
116,1998,New York,0,Governor,26216,267.0,Quinnipiac University,87913,Live Phone,547.0,lv,NO,11.0,-33.0,-21.160000000000004,-11.839999999999996,11.839999999999996
117,1998,Rhode Island,0,Governor,54414,96.0,Fleming & Associates,87950,Live Phone,400.0,lv,NO,11.0,-4.0,-8.839999999999996,4.839999999999996,4.839999999999996
118,1998,Wisconsin,0,Governor,54440,187.0,Market Shares Corp.,87976,Live Phone,600.0,lv,NO,11.0,-41.0,-21.0,-20.0,20.0
119,1998,Kentucky,0,Senate,26072,174.0,Louisville Courier-Journal,31312,Live Phone,589.0,lv,NO,11.0,1.0,-0.5900000000000034,1.5900000000000034,1.5900000000000034
120,1998,New York,0,Senate,26240,36.0,CBS News/The New York Times,31480,Live Phone,1235.0,lv,NO,11.0,0.0,10.54,-10.54,10.54
121,1998,New York,0,Senate,26216,267.0,Quinnipiac University,31456,Live Phone,547.0,lv,NO,11.0,4.0,10.54,-6.539999999999999,6.539999999999999
122,1998,New York,0,Senate,26282,395.0,Zogby Analytics,31522,Live Phone,700.0,lv,NO,11.0,-2.0,10.54,-12.54,12.54
123,1998,Wisconsin,0,Senate,26088,187.0,Market Shares Corp.,31328,Live Phone,600.0,lv,NO,11.0,-3.0,2.1499999999999986,-5.149999999999999,5.149999999999999
125,1998,Florida,0,Governor,54250,325.0,SurveyUSA,87786,IVR,500.0,lv,NO,10.0,-12.0,-10.550000000000004,-1.4499999999999957,1.4499999999999957
126,1998,Maryland,0,Governor,54325,256.0,Potomac Incorporated,87861,Live Phone,1205.0,lv,NO,10.0,8.0,10.32,-2.3200000000000003,2.3200000000000003
129,1998,New York,0,Governor,26281,395.0,Zogby Analytics,87914,Live Phone,700.0,lv,NO,10.0,-31.0,-21.160000000000004,-9.839999999999996,9.839999999999996
130,1998,Ohio,0,Governor,26254,346.0,University of Cincinnati (Ohio Poll),87929,Live Phone,708.0,lv,NO,10.0,-16.0,-5.359999999999999,-10.64,10.64
131,1998,Arkansas,0,Governor,26097,197.0,Mason-Dixon Polling & Strategy,87732,Live Phone,810.0,lv,NO,10.0,-25.0,-21.110000000000007,-3.8899999999999935,3.8899999999999935
132,1998,Arkansas,0,Senate,26097,197.0,Mason-Dixon Polling & Strategy,31337,Live Phone,810.0,lv,NO,10.0,20.0,12.840000000000003,7.159999999999997,7.159999999999997
133,1998,Ohio,0,Senate,26254,346.0,University of Cincinnati (Ohio Poll),31494,Live Phone,733.0,lv,NO,10.0,-28.0,-12.920000000000002,-15.079999999999998,15.079999999999998
134,1998,Arkansas,2,House,26097,197.0,Mason-Dixon Polling & Strategy,117967,Live Phone,420.0,lv,NO,10.0,19.0,15.939999999999998,3.0600000000000023,3.0600000000000023
135,1998,Indiana,10,House,64140,199.0,Massie & Associates,118013,Live Phone,300.0,lv,R,10.0,-9.0,18.970000000000006,-27.970000000000006,27.970000000000006
136,1998,Utah,2,House,64395,387.0,Wirthlin Worldwide,118463,Live Phone,303.0,lv,R,10.0,-8.0,-9.299999999999997,1.2999999999999972,1.2999999999999972
139,1998,Alabama,0,Governor,26095,197.0,Mason-Dixon Polling & Strategy,87724,Live Phone,808.0,lv,NO,9.0,7.0,15.620000000000005,-8.620000000000005,8.620000000000005
140,1998,California,0,Governor,26033,94.0,Field Research Corp. (Field Poll),87752,Live Phone,678.0,lv,NO,9.0,14.0,19.589999999999996,-5.589999999999996,5.589999999999996
141,1998,Illinois,0,Governor,26126,197.0,Mason-Dixon Polling & Strategy,87831,Live Phone,813.0,lv,NO,9.0,-11.0,-3.5700000000000003,-7.43,7.43
142,1998,New York,0,Governor,26074,181.0,Manhattanville College,87915,Live Phone,601.0,lv,NO,9.0,-35.0,-21.160000000000004,-13.839999999999996,13.839999999999996
143,1998,Ohio,0,Governor,54394,173.0,Louis Harris & Associates,87930,Live Phone,679.0,lv,NO,9.0,-4.0,-5.359999999999999,1.3599999999999994,1.3599999999999994
144,1998,Pennsylvania,0,Governor,26189,210.0,Millersville University Center for Politics and Public Affairs,87943,Live Phone,481.0,lv,NO,9.0,-51.0,-26.39,-24.61,24.61
145,1998,Alabama,0,Senate,26095,197.0,Mason-Dixon Polling & Strategy,31335,Live Phone,808.0,lv,NO,9.0,-33.0,-26.560000000000002,-6.439999999999998,6.439999999999998
146,1998,California,0,Senate,26033,94.0,Field Research Corp. (Field Poll),31273,Live Phone,678.0,lv,NO,9.0,9.0,10.050000000000004,-1.0500000000000043,1.0500000000000043
147,1998,Colorado,0,Senate,26015,51.0,Ciruli Associates,31255,Live Phone,400.0,lv,NO,9.0,-29.0,-27.47,-1.5300000000000011,1.5300000000000011
148,1998,Illinois,0,Senate,26126,197.0,Mason-Dixon Polling & Strategy,31366,Live Phone,813.0,lv,NO,9.0,-8.0,-2.9100000000000037,-5.089999999999996,5.089999999999996
149,1998,New York,0,Senate,26074,181.0,Manhattanville College,31314,Live Phone,601.0,lv,NO,9.0,8.0,10.54,-2.539999999999999,2.539999999999999
150,1998,New York,0,Senate,26280,395.0,Zogby Analytics,31520,Live Phone,700.0,lv,NO,9.0,4.0,10.54,-6.539999999999999,6.539999999999999
151,1998,Pennsylvania,0,Senate,26189,210.0,Millersville University Center for Politics and Public Affairs,31429,Live Phone,481.0,lv,NO,9.0,-44.0,-26.550000000000004,-17.449999999999996,17.449999999999996
152,1998,California,24,House,64398,395.0,Zogby Analytics,118466,Live Phone,300.0,lv,NO,9.0,13.0,18.82,-5.82,5.82
153,1998,California,36,House,64398,395.0,Zogby Analytics,118467,Live Phone,300.0,lv,NO,9.0,-17.0,-2.3200000000000003,-14.68,14.68
154,1998,Colorado,2,House,64399,395.0,Zogby Analytics,118468,Live Phone,300.0,lv,NO,9.0,-17.0,2.4299999999999997,-19.43,19.43
155,1998,Connecticut,1,House,64122,197.0,Mason-Dixon Polling & Strategy,117968,Live Phone,308.0,lv,NO,9.0,34.0,16.65,17.35,17.35
156,1998,Massachusetts,6,House,64400,395.0,Zogby Analytics,118469,Live Phone,300.0,lv,NO,9.0,21.0,12.18,8.82,8.82
157,1998,Mississippi,4,House,64401,395.0,Zogby Analytics,118470,Live Phone,300.0,lv,NO,9.0,9.0,8.530000000000001,0.46999999999999886,0.46999999999999886
158,1998,New Mexico,3,House,64124,197.0,Mason-Dixon Polling & Strategy,117970,Live Phone,418.0,lv,NO,9.0,3.0,9.899999999999999,-6.899999999999999,6.899999999999999
159,1998,New Mexico,3,House,64402,395.0,Zogby Analytics,118471,Live Phone,300.0,lv,NO,9.0,13.0,9.899999999999999,3.1000000000000014,3.1000000000000014
160,1998,North Carolina,4,House,64260,325.0,SurveyUSA,118238,IVR,500.0,lv,NO,9.0,13.0,15.869999999999997,-2.8699999999999974,2.8699999999999974
161,1998,Ohio,6,House,64403,395.0,Zogby Analytics,118472,Live Phone,300.0,lv,NO,9.0,1.0,13.920000000000002,-12.920000000000002,12.920000000000002
162,1998,Pennsylvania,13,House,64405,395.0,Zogby Analytics,118480,Live Phone,300.0,lv,NO,9.0,-6.0,4.979999999999997,-10.979999999999997,10.979999999999997
163,1998,Washington,1,House,64406,395.0,Zogby Analytics,118481,Live Phone,300.0,lv,NO,9.0,0.0,5.650000000000006,-5.650000000000006,5.650000000000006
164,1998,Wisconsin,1,House,64408,395.0,Zogby Analytics,118489,Live Phone,300.0,lv,NO,9.0,-14.0,-14.400000000000006,0.4000000000000057,0.4000000000000057
166,1998,Florida,0,Governor,54251,333.0,Tarrance Group,87787,Live Phone,600.0,lv,R,8.0,-12.0,-10.550000000000004,-1.4499999999999957,1.4499999999999957
167,1998,Georgia,0,Governor,54260,194.0,Marketing Workshop,87796,Live Phone,709.0,lv,NO,8.0,-5.0,8.410000000000004,-13.410000000000004,13.410000000000004
168,1998,Iowa,0,Governor,54276,329.0,"Drake Research & Strategy, Inc.",87812,Live Phone,408.0,lv,D,8.0,0.0,5.800000000000004,-5.800000000000004,5.800000000000004
169,1998,Iowa,0,Governor,54275,197.0,Mason-Dixon Polling & Strategy,87811,Live Phone,803.0,lv,NO,8.0,-5.0,5.800000000000004,-10.800000000000004,10.800000000000004
170,1998,Nevada,0,Governor,26156,197.0,Mason-Dixon Polling & Strategy,87900,Live Phone,817.0,lv,NO,8.0,-3.0,-9.869999999999997,6.869999999999997,6.869999999999997
171,1998,Ohio,0,Governor,26167,197.0,Mason-Dixon Polling & Strategy,87931,Live Phone,815.0,lv,NO,8.0,-7.0,-5.359999999999999,-1.6400000000000006,1.6400000000000006
172,1998,Ohio,0,Governor,54396,346.0,University of Cincinnati (Ohio Poll),87932,Live Phone,1196.0,lv,NO,8.0,-11.0,-5.359999999999999,-5.640000000000001,5.640000000000001
173,1998,Pennsylvania,0,Governor,54408,197.0,Mason-Dixon Polling & Strategy,87944,Live Phone,807.0,lv,NO,8.0,-36.0,-26.39,-9.61,9.61
174,1998,Rhode Island,0,Governor,54415,325.0,SurveyUSA,87951,IVR,500.0,lv,NO,8.0,-1.0,-8.839999999999996,7.839999999999996,7.839999999999996
175,1998,Georgia,0,Senate,54260,194.0,Marketing Workshop,117202,Live Phone,709.0,lv,NO,8.0,-18.0,-7.219999999999999,-10.780000000000001,10.780000000000001
