poll_id,pollster_rating_id,question_id,state,seat_number,office_type,total_pct
87659,52,205198,,0,U.S. President,95
87663,391,205200,,0,U.S. President,99
87667,90,205210,Pennsylvania,0,U.S. President,96
87668,126,205212,Pennsylvania,0,U.S. President,98
87677,325,205228,,0,U.S. President,93
87678,305,205257,New York,0,U.S. Senate,89
87678,305,205260,New York,0,U.S. President,92
87680,721,205258,New York,0,U.S. Senate,100
87681,340,205259,California,16,U.S. House,59
87682,562,205277,Arizona,0,U.S. Senate,78
87687,562,205278,Nevada,0,U.S. Senate,82
87688,562,205279,New Mexico,0,U.S. Senate,74
87689,562,205281,North Carolina,0,Governor,83
87690,562,205280,Pennsylvania,0,U.S. Senate,86
87694,721,205341,,0,U.S. President,100
87698,195,205422,Wisconsin,0,U.S. Senate,99
87698,195,205424,Wisconsin,0,U.S. Senate,100
87698,195,205426,Wisconsin,0,U.S. President,99
87699,195,205434,,0,U.S. President,100
87699,195,205440,NA,NA,U.S. House,100
87700,88,205437,Montana,0,U.S. President,100
87700,88,205459,Montana,0,U.S. Senate,94.8
87704,694,205572,Georgia,0,U.S. President,96
87705,118,205573,Michigan,8,U.S. House,89
87706,416,205574,Arizona,0,U.S. President,86
87706,416,205575,Arizona,0,U.S. Senate,88.2
87710,555,205606,,0,U.S. President,98
87711,67,205614,North Carolina,0,Governor,84.90000000000002
87713,243,205617,Michigan,0,U.S. President,96
87714,243,205618,Wisconsin,0,U.S. President,96.9
87719,448,205626,Michigan,0,U.S. President,96
87719,448,205638,Michigan,0,U.S. Senate,89
87720,448,205627,Wisconsin,0,U.S. President,96
87720,448,205639,Wisconsin,0,U.S. Senate,95
87721,448,205628,Pennsylvania,0,U.S. President,96
87721,448,205640,Pennsylvania,0,U.S. Senate,88
87724,357,205674,Maine,1,U.S. President,99
87725,357,205675,Maine,2,U.S. President,100
87732,67,205685,Ohio,13,U.S. House,83.6
87745,721,205740,Ohio,0,U.S. Senate,100
87746,721,205741,California,0,U.S. Senate,100
87747,721,205745,Texas,0,U.S. President,100
87748,203,205747,Florida,0,U.S. Senate,94
87759,165,205773,North Dakota,0,U.S. Senate,89
87761,770,205809,Florida,0,U.S. Senate,90
87761,770,205812,Florida,0,U.S. President,97
87763,606,205823,Arizona,0,U.S. President,94
87763,606,206006,Arizona,0,U.S. Senate,93
87764,606,205824,Georgia,0,U.S. President,96
87765,606,205825,Michigan,0,U.S. President,95
87765,606,206007,Michigan,0,U.S. Senate,92
87766,606,205826,Nevada,0,U.S. President,93
87766,606,206008,Nevada,0,U.S. Senate,90
87767,606,205827,North Carolina,0,U.S. President,95
87768,606,205828,Pennsylvania,0,U.S. President,97
87768,606,206009,Pennsylvania,0,U.S. Senate,93
87769,606,205829,Wisconsin,0,U.S. President,95
87769,606,206010,Wisconsin,0,U.S. Senate,93
87773,457,205866,California,0,U.S. President,93
87773,457,206078,California,0,U.S. Senate,86
87775,203,205882,New York,3,U.S. House,88
87776,721,205883,,0,U.S. President,100
87777,267,205901,Pennsylvania,0,U.S. President,97
87777,267,205902,Pennsylvania,0,U.S. Senate,96
87781,88,206005,NA,NA,U.S. House,93
87781,88,206012,,0,U.S. President,100
87784,217,206071,Arizona,0,U.S. Senate,92
87785,694,206072,Michigan,0,U.S. Senate,91
87785,694,206075,Michigan,0,U.S. President,96
87787,721,206077,Florida,0,U.S. President,100
87788,862,206079,,0,U.S. President,100
87790,144,206113,Wisconsin,0,U.S. Senate,93
87790,144,206116,Wisconsin,0,U.S. President,94.2
87791,67,206110,NA,NA,U.S. House,93.5
87791,67,206119,,0,U.S. President,94.6
87794,154,206223,,0,U.S. President,96
87795,847,206142,Pennsylvania,10,U.S. House,95
87796,555,206143,,0,U.S. President,96
87797,88,206162,Pennsylvania,0,U.S. Senate,91.6
87797,88,206163,Pennsylvania,0,U.S. President,100
87799,383,206172,Arizona,0,U.S. Senate,97
87800,67,206184,Pennsylvania,0,U.S. Senate,88.2
87800,67,206185,Pennsylvania,0,U.S. Senate,87.7
87800,67,206186,Pennsylvania,0,U.S. President,94.9
87803,232,206190,California,45,U.S. House,94
87805,14,206192,Arizona,1,U.S. House,96
87806,448,206194,Arizona,0,U.S. Senate,93
87806,448,206203,Arizona,0,U.S. President,95
87807,448,206196,Nevada,0,U.S. Senate,89
87807,448,206206,Nevada,0,U.S. President,95
87808,448,206198,North Carolina,0,Governor,88
87808,448,206205,North Carolina,0,U.S. President,96
87809,448,206204,Georgia,0,U.S. President,96
87810,391,206219,,0,U.S. President,99
87812,837,206257,Pennsylvania,0,U.S. President,100
87813,837,206258,Michigan,0,U.S. President,100
87814,837,206259,Georgia,0,U.S. President,100
87815,837,206260,Arizona,0,U.S. President,100
87816,837,206261,North Carolina,0,U.S. President,100
87817,837,206262,Wisconsin,0,U.S. President,100
87818,837,206263,Nevada,0,U.S. President,100
87820,67,206352,Oregon,6,U.S. House,87.3
87821,562,206370,Arizona,0,U.S. Senate,83
87826,562,206371,Nevada,0,U.S. Senate,82
87827,562,206372,New Mexico,0,U.S. Senate,78
87828,562,206374,North Carolina,0,Governor,86
87829,562,206373,Pennsylvania,0,U.S. Senate,81
87833,851,206400,,0,U.S. President,98
87834,721,206401,California,0,U.S. President,100
87841,243,206432,Pennsylvania,0,U.S. President,92.6
87845,292,206471,Virginia,0,U.S. President,91
87845,292,206473,Virginia,0,U.S. Senate,87
87846,279,206474,Nebraska,2,U.S. House,90
87847,260,206476,Maryland,6,U.S. House,82
87848,413,206482,Arizona,0,U.S. President,95
87849,413,206483,Michigan,0,U.S. President,93
87850,413,206484,North Carolina,0,U.S. President,94
87851,413,206485,Pennsylvania,0,U.S. President,94
87852,413,206486,Wisconsin,0,U.S. President,96
87856,357,206547,New Hampshire,0,U.S. President,99
87857,357,206549,Vermont,0,U.S. President,99
87857,357,206655,Vermont,0,U.S. Senate,94
87857,357,206658,Vermont,0,Governor,89
87857,357,206659,Vermont,1,U.S. House,86
87858,357,206553,Maine,0,U.S. President,99
87858,357,206656,Maine,0,U.S. Senate,88
87859,357,206554,Maine,1,U.S. President,100
87860,357,206555,Maine,2,U.S. President,99
87861,351,206560,Texas,0,U.S. Senate,93.6
87862,721,206561,New York,0,U.S. President,100
87864,48,206648,California,22,U.S. House,82
87865,48,206649,Nebraska,2,U.S. House,91
87866,48,206650,New York,17,U.S. House,87
87867,48,206651,Pennsylvania,7,U.S. House,90
87868,48,206652,Pennsylvania,17,U.S. House,88
87870,325,206728,North Carolina,0,Governor,86
87870,325,206735,North Carolina,0,U.S. President,94
87871,522,206672,NA,NA,U.S. House,93
87871,522,206684,,0,U.S. President,95
87872,48,206673,,0,U.S. President,90
87873,862,206682,,0,U.S. President,100
87877,721,206715,Pennsylvania,0,U.S. President,100
87878,721,206716,Ohio,0,U.S. President,100
87879,721,206717,Missouri,0,U.S. President,100
87885,555,206736,,0,U.S. President,98
87889,721,206792,,0,U.S. President,100
87893,144,206836,Michigan,0,U.S. President,94.4
87893,144,206866,Michigan,0,U.S. Senate,88
87894,851,206829,Pennsylvania,0,U.S. President,95
87894,851,206864,Pennsylvania,0,U.S. Senate,88
87895,260,206857,Montana,0,Governor,91
87895,260,206861,Montana,0,U.S. Senate,98
87896,721,206867,Pennsylvania,0,U.S. Senate,100
87897,721,206868,North Carolina,0,Governor,100
87899,407,206911,NA,NA,U.S. House,96
87899,407,206912,,0,U.S. President,97
87899,407,206914,,0,U.S. President,99
87900,124,206917,,0,U.S. President,97
87900,124,206935,NA,NA,U.S. House,85
87915,694,207052,Maryland,0,U.S. President,96
87915,694,207053,Maryland,0,U.S. Senate,92
87916,770,207055,NA,NA,U.S. House,90.4
87916,770,207057,,0,U.S. President,93.7
87917,851,207058,North Carolina,0,U.S. President,96
87917,851,207059,North Carolina,0,Governor,84
87919,859,207085,,0,U.S. President,96
87923,48,207184,Florida,15,U.S. House,85
87925,314,207227,Florida,13,U.S. House,92.1
87926,721,207228,Michigan,0,U.S. President,100
87927,225,207235,New Jersey,0,U.S. Senate,71
87929,37,207242,,0,U.S. President,93.6
87934,391,207301,Missouri,0,U.S. Senate,95
87934,391,207316,Missouri,0,U.S. President,95
87934,391,207411,Missouri,0,Governor,92
87935,88,207302,Arizona,0,U.S. Senate,91.2
87935,88,207317,Arizona,0,U.S. President,98.7
87936,88,207303,Michigan,0,U.S. Senate,88.19999999999999
87936,88,207319,Michigan,0,U.S. President,98.80000000000001
87937,88,207304,Nevada,0,U.S. Senate,89.9
87937,88,207312,Nevada,1,U.S. House,83.50000000000001
87937,88,207313,Nevada,2,U.S. House,63.5
87937,88,207314,Nevada,3,U.S. House,82
87937,88,207315,Nevada,4,U.S. House,87.5
87937,88,207321,Nevada,0,U.S. President,98.19999999999999
87938,88,207305,Pennsylvania,0,U.S. Senate,91.9
87938,88,207320,Pennsylvania,0,U.S. President,98.8
87939,88,207306,Wisconsin,0,U.S. Senate,96.6
87939,88,207323,Wisconsin,0,U.S. President,98.9
87940,90,207308,Michigan,0,U.S. Senate,86
87940,90,207327,Michigan,0,U.S. President,94
87941,90,207309,Pennsylvania,0,U.S. Senate,89
87941,90,207328,Pennsylvania,0,U.S. President,93
87942,90,207310,Wisconsin,0,U.S. Senate,91
87942,90,207329,Wisconsin,0,U.S. President,94
87943,88,207311,North Carolina,0,Governor,87.5
87943,88,207322,North Carolina,0,U.S. President,98.9
87944,88,207318,Georgia,0,U.S. President,99.1
87945,323,207330,,0,U.S. President,94.30000000000001
87945,323,207669,NA,NA,U.S. House,91.4
87947,454,207340,Florida,0,U.S. Senate,92
87948,14,207359,Alabama,2,U.S. House,90
87949,267,207360,,0,U.S. President,98
87949,267,207361,,0,U.S. President,97
87951,218,207451,Arizona,0,U.S. President,98
87951,218,207452,Arizona,0,U.S. President,96
87952,218,207455,Georgia,0,U.S. President,98
87952,218,207456,Georgia,0,U.S. President,97
87953,218,207459,Michigan,0,U.S. President,98
87953,218,207460,Michigan,0,U.S. President,96
87954,218,207463,Nevada,0,U.S. President,99
87954,218,207464,Nevada,0,U.S. President,96
87955,218,207467,North Carolina,0,U.S. President,99
87955,218,207468,North Carolina,0,U.S. President,98
87956,218,207471,Pennsylvania,0,U.S. President,99
87956,218,207472,Pennsylvania,0,U.S. President,99
87957,218,207475,Wisconsin,0,U.S. President,98
87957,218,207476,Wisconsin,0,U.S. President,97
87958,862,207435,,0,U.S. President,100
87959,508,207439,Arizona,0,U.S. President,96.30000000000001
87960,508,207441,Georgia,0,U.S. President,98.19999999999999
87961,508,207443,North Carolina,0,U.S. President,94.6
87962,508,207445,Pennsylvania,0,U.S. President,95.4
87963,508,207447,Wisconsin,0,U.S. President,93.1
87964,49,207477,Florida,0,U.S. Senate,95
87964,49,207479,Florida,0,U.S. President,97
87965,721,207478,Texas,0,U.S. Senate,100
87966,721,207480,Tennessee,0,U.S. President,100
87967,721,207481,Illinois,0,U.S. President,100
87968,572,207491,,0,U.S. President,96
87969,555,207497,,0,U.S. President,99
87970,84,207508,Michigan,0,U.S. Senate,88
87970,84,207510,Michigan,0,U.S. President,93
87971,562,207512,North Carolina,0,Governor,87
87971,562,207520,North Carolina,0,U.S. President,91
87972,562,207513,Arizona,0,U.S. President,93
87972,562,207523,Arizona,0,U.S. Senate,81
87973,562,207514,Florida,0,U.S. President,92
87973,562,207524,Florida,0,U.S. Senate,84
87974,562,207515,Georgia,0,U.S. President,87
87975,562,207516,Michigan,0,U.S. President,93
87975,562,207525,Michigan,0,U.S. Senate,81
87976,562,207517,Minnesota,0,U.S. President,94
87976,562,207526,Minnesota,0,U.S. Senate,78
87977,562,207518,Nevada,0,U.S. President,95
87977,562,207527,Nevada,0,U.S. Senate,85
87978,562,207519,New Mexico,0,U.S. President,87
87978,562,207528,New Mexico,0,U.S. Senate,76
87979,562,207521,Pennsylvania,0,U.S. President,92
87979,562,207529,Pennsylvania,0,U.S. Senate,84
87980,562,207522,Wisconsin,0,U.S. President,92
87980,562,207530,Wisconsin,0,U.S. Senate,89
87982,52,207556,NA,NA,U.S. House,89
87982,52,207557,,0,U.S. President,96
87986,284,207569,Pennsylvania,0,U.S. President,97
87986,284,207570,Pennsylvania,0,U.S. President,98
87986,284,207571,Pennsylvania,0,U.S. Senate,94
87988,325,207573,Minnesota,0,U.S. President,91
87988,325,207688,Minnesota,0,U.S. Senate,86
87989,243,207578,Nevada,0,U.S. Senate,87.9
87989,243,207585,Nevada,0,U.S. President,94.4
87990,243,207579,Arizona,0,U.S. Senate,94.3
87990,243,207586,Arizona,0,U.S. President,97
87991,338,207580,Wisconsin,0,U.S. President,93.5
87992,338,207581,Michigan,0,U.S. President,93.6
87993,338,207582,Pennsylvania,0,U.S. President,91.9
87994,243,207583,North Carolina,0,U.S. President,97.6
87995,243,207584,Georgia,0,U.S. President,95.9
87996,721,207587,North Carolina,0,U.S. President,100
87997,721,207588,Florida,0,U.S. President,100
87998,721,207589,Texas,0,U.S. President,100
87999,154,207600,,0,U.S. President,98
88002,851,207611,Ohio,0,U.S. Senate,95
88002,851,207631,Ohio,0,U.S. President,95
88003,721,207612,Virginia,0,U.S. Senate,100
88004,562,207630,,0,U.S. President,88
88008,721,207634,,0,U.S. President,100
88009,721,207663,Tennessee,0,U.S. Senate,100
88011,523,207685,North Carolina,0,U.S. President,96.50000000000001
88011,523,207686,North Carolina,0,Governor,88.60000000000001
88012,203,207687,New York,4,U.S. House,90
88013,383,207689,Florida,13,U.S. House,91
88015,844,207691,Arizona,0,U.S. President,96
88015,844,207744,Arizona,0,U.S. Senate,91
88016,844,207692,Georgia,0,U.S. President,98
88017,844,207745,Michigan,0,U.S. Senate,88
88018,844,207694,Nevada,0,U.S. President,97
88018,844,207746,Nevada,0,U.S. Senate,90
88019,844,207695,Pennsylvania,0,U.S. President,96
88019,844,207747,Pennsylvania,0,U.S. Senate,92
88020,844,207696,Wisconsin,0,U.S. President,97
88020,844,207748,Wisconsin,0,U.S. Senate,96
88022,118,207749,Michigan,10,U.S. House,91
88023,235,207750,Oregon,5,U.S. House,81
88023,235,207751,Oregon,5,U.S. House,85
88024,117,207752,Michigan,0,U.S. Senate,84.3
88026,67,207758,Washington,0,Governor,92.5
88027,251,207759,,0,U.S. President,100
88028,308,207760,Oklahoma,0,U.S. President,95.9
88030,203,207786,NA,NA,U.S. House,94
88030,203,207792,,0,U.S. President,96.1
88030,203,207794,,0,U.S. President,95.50000000000001
88035,88,207857,NA,NA,U.S. House,92.6
88035,88,207867,,0,U.S. President,98.9
88036,864,207858,Montana,0,U.S. Senate,95
88036,864,207859,Montana,0,U.S. Senate,96
88036,864,207860,Montana,0,Governor,92
88036,864,207861,Montana,1,U.S. House,92
88036,864,207862,Montana,2,U.S. House,83
88036,864,207866,Montana,0,U.S. President,97
88037,67,207863,Alaska,1,U.S. House,90.9
88037,67,207868,Alaska,0,U.S. President,96.1
88038,862,207864,,0,U.S. President,100
88041,721,207901,Michigan,0,U.S. Senate,100
88042,218,207902,,0,U.S. President,95
88051,14,207916,Montana,1,U.S. House,94
88053,555,207921,,0,U.S. President,98
88063,88,207931,California,0,U.S. President,98.8
88063,88,207952,California,0,U.S. Senate,87.2
88064,88,207932,Florida,0,U.S. President,98.7
88064,88,207953,Florida,0,U.S. Senate,90.6
88065,88,207933,Texas,0,U.S. President,98.9
88065,88,207954,Texas,0,U.S. Senate,92.3
88066,88,207934,Ohio,0,U.S. President,99
88066,88,207955,Ohio,0,U.S. Senate,89.80000000000001
