state,district,office_type,avg_margin,margins,dem_name,rep_name,ind_name,Past Elections,Voting Regulations,Polls,Demographics,Campaign Finance,Consumer Confidence Index,Gas Prices,Unemployment & Inflation,Expert Ratings,Composition of Congress/Presidency,Other,weird
AZ,3,House,0.7660960486,"[3.44945367059284, 1.73199255865665, -2.88315808343881]",Biden,Trump,Candace Cunningham,15.70248589,8.431243402,31.61617719,0.1953092202,-0.1145727644,-0.2865372379,-0.3992415516,0.4708258271,0.1692413806,-0.3682300735,-0.340611959,
AZ,4,House,1.051329395,"[2.74920831444569, 1.4436363363685, -1.03885646687414]",Biden,Trump,n/a,-18.13754124,7.455281062,-6.908826924,0.002487366893,-0.4087412384,-0.4311000983,0.02323686675,0.1326378828,-0.1232320315,0.2726170093,-0.0003989775642,
AZ,5,House,2.103043043,"[4.58364215134639, 2.15977343478911, -0.43428645832881]",Biden,Trump,"Clint Smith /
Evan Olson",16.24381595,37.34732646,-34.20069388,0.2789576216,0.1232811942,0.4341795974,-0.4993017562,-0.4858268897,0.4169070796,-0.3957480003,-0.4927729137,
AZ,6,House,0.5336490978,"[-0.302056552253681, -2.34743369924484, 4.25043754486818]",Biden,Trump,n/a,-21.34213668,-4.666565788,-16.66036329,0.2465366555,-0.2350312614,-0.4151730333,-0.09567867765,0.3054533109,-0.3363192041,0.3844462593,0.2683565205,
AZ,7,House,-0.8902270003,"[-2.61049029146587, -2.54487936779014, 2.48468865842308]",Biden,Trump,n/a,-36.54413668,-22.87553612,9.031599639,0.01657815406,-0.4899950829,0.007387611114,-0.3541952035,0.1928239517,-0.00904229964,-0.007215247477,0.1526354587,
AZ,8,House,-1.793267563,"[-1.67056483448474, -3.70538240919603, -0.00385544394807802]",Biden,Trump,"Jacob Chansley /
Jeremy Spreitzer",6.377480216,20.42546251,46.50625471,0.2246776432,-0.1097560607,0.490772351,-0.4127120222,-0.2580014905,-0.3186186849,0.08113213406,-0.4044358022,
AZ,9,House,-1.34947757,"[-2.05354107764803, 1.09048492473796, -3.08537655604228]",Biden,Trump,n/a,6.478344738,23.36346554,-4.783769805,0.3009889287,0.1018297162,0.1823340523,0.3035345664,-0.07710960581,-0.4909328871,0.1175014699,0.42673323,
AR,1,House,2.454074016,"[2.24684929375643, 3.96293985820067, 1.15243289640242]",Biden,Trump,n/a,-4.025757615,-25.2379698,10.64585001,-0.01411613199,-0.01831971976,0.3379835996,-0.2701992235,0.02575820368,0.3637373876,0.2188097802,0.4146730243,
AR,2,House,-4.045629873,"[-2.57405278496278, -4.61398125510347, -4.9488555788861]",Biden,Trump,n/a,-0.7720206312,27.01264786,-8.714294238,0.06689439375,0.3878799817,-0.3374182793,-0.06785982202,-0.002818835485,-0.325539973,-0.4694461645,0.04697780158,
AR,3,House,2.387184218,"[4.51975093267566, 1.88024962661516, 0.761552093286733]",Biden,Trump,n/a,24.53085461,24.31611548,44.74040106,-0.272380037,-0.4404548321,0.4735009015,-0.419598416,0.2049378613,0.0300795989,-0.4257139013,0.4140520196,
AR,4,House,-2.271008521,"[1.46797120984789, -4.47725756963307, -3.80373920248322]",Biden,Trump,n/a,19.05068695,12.16344858,-31.29702413,0.4085018319,-0.05463175733,-0.1694513958,-0.1359828466,0.04189707704,0.3442103181,0.1878619678,0.1989423999,
CA,1,House,1.085272422,"[2.55667906541897, -0.591371832682679, 1.29051003288454]",Biden,Trump,n/a,23.17661544,-47.1353058,46.48030583,0.1167662433,-0.1947955033,-0.3136892448,-0.4671241564,-0.4910169619,-0.2892826773,-0.443007577,0.1623617998,
CA,2,House,-0.1952195241,"[2.60099544293309, -2.95543325655137, -0.231220758540464]",Biden,Trump,n/a,44.53846977,15.69614787,-42.43517666,-0.4868759792,0.009829451419,0.2920020196,0.4226147118,-0.03984792975,-0.3636403484,-0.4023798156,-0.3659415743,
CA,3,House,-1.380710591,"[3.44588232217915, -4.95800641569149, -2.63000767956139]",Biden,Trump,n/a,5.736994237,-16.71395591,11.97008798,-0.3174014179,-0.2354002772,0.0009117414434,-0.4018771907,-0.07608576613,-0.1025862344,0.4436103621,0.2457471476,
CA,4,House,0.6135963788,"[-2.49610873790973, 1.86680345795558, 2.47009441633013]",Biden,Trump,n/a,8.01590583,14.69648137,-48.86665049,-0.1584711628,0.3176762255,-0.007672093321,0.4076007942,-0.1614789473,0.2725243553,0.1119605133,-0.01096255391,
CA,5,House,-0.9616587946,"[-2.0590228580331, 1.88070817717596, -2.7066617029279]",Biden,Trump,n/a,-11.17565147,5.113382266,-6.836376114,-0.2411182504,0.2561005003,0.2207312358,0.2417410935,0.2029313815,-0.1612002553,0.09697154175,0.1509807385,
CA,6,House,-0.08896554785,"[-4.82927244780856, 1.36917231425529, 3.19320348999661]",Biden,Trump,n/a,10.56644002,-1.113424606,-18.52031363,0.4137937729,-0.1712576703,0.4049505596,-0.06952484125,-0.4349481409,-0.0995929724,-0.472781262,-0.2161924274,
CA,7,House,1.034705951,"[0.233014717316723, 2.97756929666195, -0.106466159657826]",Biden,Trump,n/a,27.30582031,12.18272095,16.34389664,0.06570843396,0.4158418815,0.220855103,-0.365166518,0.3973353775,-0.2493673862,-0.4208764205,-0.1426245105,
CA,8,House,1.495792789,"[3.04286246650278, 3.91004962695781, -2.46553372584105]",Biden,Trump,n/a,39.06350059,-33.93853394,0.6528934934,0.2367501344,-0.4368511837,-0.1434332566,-0.3019827488,0.3115551501,-0.3025277448,-0.1441628484,-0.4935840442,
CA,9,House,-1.109019718,"[-4.73236111187718, 3.97495247600464, -2.56965051662907]",Biden,Trump,n/a,-10.4406932,46.98517338,21.98504327,-0.4039536093,-0.1187303972,-0.1800360299,0.3533161488,-0.3425236147,0.2968795253,0.1454694351,0.1627713209,
CA,10,House,-0.009677058942,"[2.99780507665765, -4.55162459543903, 1.52478834195583]",Biden,Trump,n/a,-9.640506405,-43.31652391,17.49921088,0.4968885805,-0.01784168517,0.157515066,0.2787189377,0.3556377278,0.4403652423,0.3777088951,-0.2746483766,
CA,11,House,-0.2300402456,"[4.0438835876977, -2.65514956112437, -2.07885476323106]",Biden,Trump,n/a,-44.70472643,47.63079414,-40.23533429,-0.07401537994,0.1722612231,0.3066595869,0.1999831199,-0.08188828716,-0.2549827535,0.419070783,-0.4471123647,
NA,12,House,-1.802660926,"[-4.40792153204674, -0.925908397056205, -0.074152849596592]",Biden,Trump,n/a,-44.75760906,-29.83801214,31.87872595,0.1301051753,0.1271873774,0.4003839072,-0.2693068219,0.07312660733,-0.4200422976,0.04747616858,0.4901345998,
CA,13,House,0.3533429238,"[0.509140360584325, 2.54893458877145, -1.99804617802633]",Biden,Trump,n/a,-9.062283886,-16.76522863,44.53922907,-0.2265311507,-0.4678180225,0.2900797351,0.3295466765,-0.3556875571,0.08601397833,0.1511284064,0.2696347432,
CA,14,House,1.258659023,"[0.2883854119963, 3.58227603762422, -0.0946843791602339]",Biden,Trump,n/a,-30.51648409,-1.451309527,7.295961398,0.3342756709,0.2034558832,-0.2942484668,0.3796040222,0.0116291157,-0.08717328375,-0.2181759397,-0.3240653619,
CA,15,House,-1.947561864,"[-3.68635681268745, -2.66225375885218, 0.505924980490552]",Biden,Trump,n/a,-30.10823863,48.44161341,32.27402906,-0.3369189287,0.1950190418,0.126536126,-0.3512052506,0.2730917966,0.1176382451,-0.3619918896,-0.3134586678,
CA,16,House,-0.9473998759,"[-1.520393096084, -4.98338442253209, 3.66157789091045]",Biden,Trump,n/a,9.571762012,-15.16581791,44.42884107,-0.09213528821,-0.1183759585,0.2887587128,0.001185124185,0.2814930123,-0.2617288575,-0.3398315494,0.0116802784,
CA,17,House,-0.6828022631,"[3.80940152841115, -2.97882843623998, -2.87897988157107]",Biden,Trump,n/a,-20.94022255,17.41605239,-12.93579865,-0.05753209275,0.05888700883,0.3336894493,0.4139447569,0.4955607042,0.4535957962,0.3027924003,0.155352439,
CA,18,House,1.15798025,"[0.158606278558642, 3.87208336083476, -0.556748888506297]",Biden,Trump,n/a,12.67235508,31.97899553,-15.929714,0.4512378242,0.297086298,0.0301699767,0.2522887101,-0.3299936186,0.06552572986,0.3044560485,0.4959828042,
CA,19,House,0.9714860924,"[4.80608849787521, -4.78783904176333, 2.89620882112526]",Biden,Trump,n/a,30.59743627,-48.02964677,-20.36143544,0.3708032887,0.08340461893,-0.06455962476,-0.3695699259,0.4410908908,-0.2217773366,0.07914738861,-0.1527234873,
CA,20,House,-2.747806531,"[0.0598056889716752, -4.31649420977622, -3.98673107249973]",Biden,Trump,Ben Dewell,-17.11204108,7.301611287,33.76390268,0.2588064329,0.3853622376,-0.3750584238,-0.1973586693,-0.1749362801,0.4466552942,-0.3516676813,-0.2282662495,
CA,21,House,-1.953884593,"[-3.70560486188081, 2.64918050221723, -4.80522941886969]",Biden,Trump,n/a,-33.66742199,32.89837769,27.56125992,-0.2542459015,0.3545305849,-0.1686602289,-0.1949553052,-0.04174385517,-0.4921186311,0.4293755658,0.428633097,
CA,22,House,2.911241833,"[4.28363786200793, 3.61617100625209, 0.833916631093401]",Biden,Trump,n/a,15.77493645,-35.25906023,-9.091558715,-0.4605188937,-0.28561712,-0.2075332858,0.220209801,0.07060904386,0.3928332565,-0.4699266701,-0.102924093,
CA,23,House,0.8417260535,"[2.71150383548144, 1.14831657164245, -1.33464224666095]",Biden,Trump,n/a,-40.97723417,-26.30818444,-28.49366709,-0.05950473686,-0.1556422566,0.004096383947,-0.4619562887,0.04991964562,-0.3602353523,0.1620702059,-0.4597812388,
CA,24,House,0.1356662485,"[-1.14294959315636, -1.22190401832784, 2.77185235709255]",Biden,Trump,n/a,19.82847962,37.48708939,22.12533129,-0.361855553,-0.4003271129,0.2361170106,-0.4419415428,0.2409534915,0.449585869,0.4429276253,0.244350484,
CA,25,House,1.203843168,"[2.48056851087911, 0.462780567005269, 0.668180426154041]",Biden,Trump,Ryan Burkett,32.53395364,-37.41955212,-10.44017132,-0.3727828166,0.05717206181,-0.4289892787,-0.44197922,-0.4224357919,-0.28642606,-0.2838809656,0.3021390005,
CA,26,House,0.5139580643,"[0.712370870620323, 0.933597416335076, -0.104094093985888]",Biden,Trump,n/a,34.6605501,-13.97996463,-42.15670971,0.4781157668,-0.1661416864,0.3840796409,-0.34031076,-0.2343115285,-0.19749815,-0.1754933431,-0.01552740992,
CA,27,House,0.7031010509,"[-0.835379297772249, 4.3064389748712, -1.36175652449265]",Biden,Trump,n/a,15.22742855,13.53562595,11.89713102,0.4122265104,0.321979931,0.4563304204,-0.01714800358,0.2717641252,-0.06829267293,0.4783663421,0.4538427221,
CA,28,House,-0.4886073909,"[3.29431838504107, -1.46175990195793, -3.29838065586079]",Biden,Trump,n/a,-28.97018508,-44.98792527,8.779297138,0.1181213441,0.4730937972,0.1055558274,0.1511088463,-0.1593665544,-0.4706287688,0.2653562049,-0.3950100115,
CA,29,House,2.75331541,"[1.32459073668895, 2.53092197531622, 4.40443351715448]",Biden,Trump,n/a,25.80188395,36.08645947,-13.9028342,0.0972311877,-0.2559847795,0.3711802555,-0.3234666063,-0.006355156775,-0.01751849967,-0.3133928096,0.2284643934,
CA,30,House,0.6423971113,"[0.823385730126198, 0.241128171219556, 0.862677432423425]",Biden,Trump,n/a,15.73136681,37.949741,1.524406808,0.3094908313,-0.4764652497,-0.168974247,-0.2926075674,0.2004522439,0.1563628066,0.3457167192,0.07696873065,
CA,31,House,0.7020008708,"[1.28186180604508, 3.46600262966273, -2.64186182322943]",Biden,Trump,"Erskine Levi /
Y. Marie Manvel",-42.67798655,24.4159315,3.809254603,0.01191960588,0.2449017502,0.09855893255,-0.3917131981,-0.08853510864,-0.4050298089,-0.07455327389,-0.1797277096,
CA,32,House,0.06820222814,"[0.327000521338523, -1.30178582350704, 1.17939198658211]",Biden,Trump,n/a,25.41669702,44.64019021,40.8269778,0.2706790327,0.1126373629,-0.1044991805,-0.4164286386,-0.08924875876,0.1914326314,-0.3232509608,-0.1319162255,
NA,33,House,0.6565415312,"[-0.290097417949204, -0.195217306989656, 2.45493931840576]",Biden,Trump,n/a,-42.7438788,30.43641658,-27.18508925,0.4878098058,-0.3622638211,0.008741563397,-0.3960594467,-0.4345970483,0.3828394252,0.4907349926,-0.0438909381,
CA,34,House,0.5595451449,"[0.352934250521777, 3.47737518335167, -2.15167399930446]",Biden,Trump,Aaron Reveles,-43.69549906,45.72402715,21.26776696,-0.3346030603,0.4427348542,-0.369387052,0.2766445972,-0.05472953753,-0.4474407829,0.4142928594,-0.1857483948,
CA,35,House,1.860208506,"[-1.89973907879828, 3.73443482253211, 3.74592977429885]",Biden,Trump,n/a,3.437595359,5.91038611,-34.62980757,0.4190048567,-0.062931198,-0.3057800861,0.01050028921,-0.3263130226,-0.1292093942,-0.4772731666,-0.04861026643,
CA,36,House,-0.3412487567,"[2.0386463335811, 0.561291852213733, -3.62368445594038]",Biden,Trump,Claire Anderson,-47.11387095,44.47203537,48.51725641,0.4043822982,-0.03397994039,0.2442882025,0.05790774136,-0.3410485602,-0.135365536,-0.3562011301,-0.4446607866,
CA,37,House,3.099222972,"[4.47998982632723, -0.0931821358629641, 4.91086122539405]",Biden,Trump,"John Parker /
Juan Rey",-2.334266702,-46.9855795,0.0314784297,-0.2084858428,-0.3145870217,0.4851282583,-0.2736677952,0.4189337445,0.4567081721,-0.2141116103,-0.00318899031,
CA,38,House,-0.5699670116,"[-2.55677303413765, -2.70224973498383, 3.54912173436061]",Biden,Trump,n/a,17.36425987,21.860464,-34.25659202,0.3940335695,0.326894765,-0.08699908682,-0.4187560423,-0.2599032141,0.1280323488,-0.2031866015,-0.4644553462,
NA,39,House,-1.936730153,"[3.64614544407291, -4.53061521455963, -4.92572068783646]",Biden,Trump,n/a,-39.81021559,9.18759048,-3.771904564,0.07188315373,-0.2185454878,-0.03886771929,0.1379316985,-0.01733106661,0.3642941009,0.004570842477,-0.2351287822,
CA,40,House,1.012638289,"[3.05416910995788, 0.220163728417027, -0.236417969910249]",Biden,Trump,n/a,-45.2597077,-28.6256133,-27.7012313,-0.4392228933,-0.4461155871,-0.3332851845,-0.2397170887,-0.2174662875,0.253291374,-0.3271958485,-0.4822652394,
CA,41,House,1.653412273,"[3.00525725827687, 3.9249096582806, -1.96993009619953]",Biden,Trump,n/a,24.90829051,-45.88414784,-49.76865103,0.3938362239,0.367631174,-0.0576759301,-0.440585265,0.3592922714,-0.2430731505,0.4019202263,-0.319828531,
CA,42,House,-0.4855353584,"[2.7394185094428, -1.14350000609306, -3.05252457851864]",Biden,Trump,n/a,-3.951567016,-1.830803435,35.67280326,0.2992706311,0.1913421726,-0.4557811265,0.1202934066,0.2977902351,-0.02263902178,-0.196168274,-0.2067788278,
CA,43,House,-0.01274000794,"[-0.230127087361845, -2.22063805736771, 2.41254512090894]",Biden,Trump,n/a,42.40835903,-21.9481632,9.775502449,-0.2625756839,-0.273596783,-0.448786622,0.3053426479,0.2721838861,0.1889026414,0.3908332548,0.001961248977,
CA,44,House,-0.722235774,"[4.48736939372067, -2.86379914805231, -3.79027756754183]",Biden,Trump,n/a,36.89825765,-1.072433048,32.77406547,0.1646233239,-0.1885076248,0.4384188148,0.2023365188,0.1520451285,0.1229879358,0.2403488994,0.2421694421,
CA,45,House,0.04347630915,"[-2.2901620206814, 4.52271028874238, -2.10211934060934]",Biden,Trump,n/a,-23.07654259,0.4363338198,9.61930951,0.3808510221,-0.2513398684,-0.02499710747,0.007093764203,0.08128659017,0.4934238238,-0.4599261908,-0.1876729402,
CA,46,House,0.1686639471,"[2.70624161188141, -0.752824153225852, -1.44742561735516]",Biden,Trump,n/a,40.72082216,-32.40365495,-30.3540971,-0.02888341599,-0.01138372433,-0.08286941642,-0.2612946307,0.005406170705,-0.4923135612,0.35913504,-0.3488025943,
CA,47,House,0.7994574711,"[-0.646384238923653, 1.75075824596981, 1.29399840616124]",Biden,Trump,n/a,-14.82688002,5.368397876,-20.68374968,0.1459226007,0.480752052,0.4096795601,-0.1233269656,0.3635408933,0.2791361698,-0.001470926156,-0.1172555937,
CA,48,House,0.358096641,"[2.0634651684712, 3.52488699295887, -4.51406223853432]",Biden,Trump,Lucinda Jahn,-20.78282221,24.60058086,-40.7306589,0.1179493457,0.02612643246,-0.1969503983,-0.03072974387,0.1224100009,-0.1458971384,-0.1679502174,0.08798794165,
CA,49,House,-1.338255032,"[-3.01338541742685, 2.49172944064175, -3.49310911943531]",Biden,Trump,n/a,36.44578312,40.57243084,-49.78022582,-0.3677490489,0.0881650875,0.1758662209,0.4516732507,-0.2316856444,0.1132552538,0.4718276087,0.4524929775,
CA,50,House,1.424267742,"[-2.45966774673278, 4.19046590583018, 2.5420050679058]",Biden,Trump,n/a,-42.40454811,37.34871736,32.53110921,-0.3400619,-0.2412112533,0.2129698734,-0.05458286191,-0.2388420554,0.1793389812,0.3580547936,0.1102989547,
CA,51,House,-0.5191946468,"[-2.96760699599467, -2.10503768986257, 3.51506074545878]",Biden,Trump,n/a,41.09117653,-45.84776159,-5.568926115,0.2243769331,-0.4434241793,0.2048005167,-0.2537358533,0.4059002731,-0.4029424744,-0.2228903151,0.1448675402,
CA,52,House,-2.018508491,"[-2.95636113496119, 0.293574661700412, -3.3927389983389]",Biden,Trump,n/a,-26.820559,-35.085593,-2.090959329,0.4296338983,-0.31055682,0.2052604042,0.1173235198,0.4109592933,-0.4450609179,0.3900606793,0.4191096047,
CO,1,House,-1.976149809,"[3.49319678091842, -4.75233146282253, -4.66931474520206]",Biden,Trump,Dom Waters,11.00849647,-41.063925,-7.541726839,0.09444642397,-0.19925943,0.4983146493,0.4639095724,0.4778328476,0.2295637333,-0.4242961461,0.4745223759,
CO,2,House,-1.49282837,"[-0.678139779494357, -3.86160438916178, 0.061259058738071]",Biden,Trump,n/a,14.61620426,4.569947439,-11.06022853,0.02685978932,-0.2766224226,-0.1415471147,0.144986608,0.1896334363,0.1179133309,-0.3000081985,-0.398573501,
CO,3,House,0.1929101543,"[-2.33574988989964, -1.78251280403316, 4.69699315697428]",Biden,Trump,"Mark Elworth Jr. /
Gary Swing /
James Wiley /
Adam Withrow",-36.72967058,-21.75248889,-12.43308712,0.3486589697,-0.01265620401,-0.03052648842,-0.02055806332,-0.1341278762,-0.2484437931,0.4250162791,-0.2318888795,
CO,4,House,-0.5407753707,"[-1.37255221457706, 0.639049848447434, -0.888823745976216]",Biden,Trump,Douglas Mangeris,39.753018,-39.97040384,-34.11459108,0.1802282206,0.3232811635,0.02306470931,0.2654676303,0.3147284115,0.3906178489,-0.1344682583,-0.4757516951,
CO,5,House,-1.040124956,"[0.948540200968058, -1.28704512994071, -2.78186993851243]",Biden,Trump,"Christopher Mitchell /
Katrina Nguyen /
Calil Yarbrough",-25.45782517,45.44170139,-22.75566285,0.4692365317,-0.3283792857,0.4239108004,-0.3942706423,-0.3221270548,-0.4382812577,0.07840478989,0.3901968536,
CO,6,House,0.6262470573,"[4.37915898049657, 0.606480875541222, -3.10689868419251]",Biden,Trump,n/a,-4.341109721,-33.67349233,-2.180021609,0.3889039512,0.09082903321,-0.2478941794,-0.1818780377,0.3889835542,-0.4740748941,0.3539506074,-0.007769337627,
CO,7,House,-1.416969821,"[2.44368843597871, -4.21827310447619, -2.47632479580752]",Biden,Trump,"Morgan Law /
Ron Tupa",-2.412143674,-21.20528796,-29.73049431,0.07907630038,0.3744736411,-0.2976719419,0.3611478423,0.2223119789,0.4998620952,0.4766283728,0.1999037962,
CO,8,House,-2.14395879,"[-4.37973451607637, -3.16378725561992, 1.11164540151288]",Biden,Trump,"Larry Johnson /
Matthew Payette",19.40806226,-47.50489766,5.038810126,-0.2640102851,0.4829334911,0.4498557001,-0.365843093,0.2786511407,0.05440298797,-0.1260214331,-0.4492826425,
CT,1,House,3.506057029,"[2.23935102675662, 3.52938920632391, 4.74943085361349]",Biden,Trump,Nicholas Symochko,5.349171612,4.907163652,1.281919151,0.05062460277,0.01524251776,-0.01833863782,0.139240261,-0.0789222908,0.4522210469,0.0512102731,0.3767835209,
CT,2,House,0.06982443007,"[-3.76737330695115, 2.25049739409153, 1.72634920307127]",Biden,Trump,n/a,-3.888943468,-33.22471082,8.492797359,-0.23018515,-0.4348251103,-0.41166982,-0.02716952794,0.181182529,0.1708115195,-0.3042383232,-0.0358626369,
CT,3,House,1.620377489,"[-1.2268445326924, 3.67316803657554, 2.41480896318585]",Biden,Trump,Unopposed,46.62340961,49.57696617,13.49831837,0.04403498442,-0.1032882104,0.4387682741,0.1452503974,0.3474236138,-0.2928750628,0.4364202099,-0.434180541,
CT,4,House,1.77586501,"[3.32675298844772, -0.764481009414812, 2.76532305175585]",Biden,Trump,Jaden Skudlarek,47.0735669,28.8210769,14.91545898,-0.3533946913,-0.3063476022,-0.2406044698,-0.1017676609,0.4717843032,-0.01512032176,0.1595246842,0.41657166,
CT,5,House,1.526239149,"[4.89737280379515, -2.39073635974994, 2.0720810041857]",Biden,Trump,n/a,-10.68330552,-7.683534065,-40.33440316,-0.4043267588,-0.1020915499,0.3819660689,0.4527340347,-0.07893348718,0.08552393017,0.05339106465,-0.4265356971,
DE,1,House,1.081683709,"[1.93924873866047, 2.97210529664811, -1.66630290940156]",Biden,Trump,n/a,-20.50189341,-33.87726533,-26.69266973,-0.3338568273,-0.320644129,0.2688596176,0.3802554069,-0.4399074912,0.4809234144,0.1418014983,-0.06605086512,
FL,1,House,-0.1805747636,"[2.79060201915264, 0.865580264056113, -4.19790657401209]",Biden,Trump,n/a,22.01938216,-3.143635016,17.10745325,-0.007050547841,0.05446598923,0.2213041588,-0.002634046268,0.03672358757,-0.3974083834,0.0810830229,0.1742914369,
FL,2,House,-0.1495353454,"[-1.13231188190337, -0.964358496581562, 1.64806434239753]",Biden,Trump,Unopposed,-13.75636668,-22.91084771,13.14495746,-0.4121581222,0.03416209729,0.1763392211,-0.2584180782,0.08045620889,0.01541946212,-0.3117620518,-0.1886528546,
FL,3,House,0.7192178344,"[4.82310483581392, -0.339733392429893, -2.32571794030834]",Biden,Trump,Anthony Stebbins,-43.0614915,-12.07554464,-4.222155953,-0.07513611759,-0.3633849817,0.4001517595,-0.3322981199,0.2304962638,-0.2502559553,0.3114619416,0.4895634923,
FL,4,House,-4.514962091,"[-4.82333016464053, -4.83234990377729, -3.88920620577478]",Biden,Trump,Unopposed,34.06258675,-11.65121414,17.57927324,-0.05694961815,0.1108344171,-0.04135384955,0.2079023475,-0.3380516357,-0.0577119905,-0.2035950623,-0.08212037466,
FL,5,House,2.8641154,"[2.79682258197823, 4.64891456699466, 1.14660905028195]",Biden,Trump,n/a,-27.94844687,-32.54411792,39.84569144,-0.4477558014,0.2151602312,0.4737192038,-0.01953785132,-0.2118820013,-0.410142659,0.2505665753,-0.3937763731,
FL,6,House,1.963043775,"[4.41630557627967, -1.99084284782129, 3.46366859692077]",Biden,Trump,Unopposed,-1.506187078,18.9894339,-20.71916148,0.04336742388,0.445212757,-0.02963452467,0.4279189169,0.4852393904,-0.3683788052,-0.2887101003,-0.05258445449,
FL,7,House,-1.475744169,"[-4.49154601223932, 2.50894527777954, -2.4446317725055]",Biden,Trump,n/a,-11.95277251,19.64056724,-19.91538616,0.4132463429,-0.466815743,-0.3271697773,0.200451918,0.3110111533,0.3543049377,0.4764199381,-0.1979299848,
FL,8,House,0.2489062661,"[3.98582275186823, -1.87296565096911, -1.36613830250332]",Biden,Trump,n/a,-21.93318795,-32.34279444,23.59091306,-0.3145752371,0.07950269466,-0.1831542117,-0.332160831,0.1190104079,-0.4436952221,0.4287957257,-0.1342379977,
FL,9,House,-1.632431966,"[-2.26550621161314, -2.00065588666622, -0.63113379995147]",Biden,Trump,n/a,-43.16262666,-17.38813414,3.123322844,-0.1127637327,0.4758781562,-0.4849333122,0.4452131081,-0.2757132034,0.4438636164,-0.1945614203,-0.1821259708,
FL,10,House,-0.08745985709,"[3.21163323378917, -0.967127363496617, -2.50688544155339]",Biden,Trump,n/a,-32.65641436,20.47433161,-12.82691647,0.1592455753,-0.3882826857,0.1937450605,-0.4649525023,0.3529062626,-0.09207455843,0.06542472217,-0.318020456,
FL,11,House,0.1889804512,"[-2.04972352128289, 0.799442138084059, 1.8172227368388]",Biden,Trump,Ralph Groves,49.11619889,-0.7891851494,26.63358204,-0.3442658499,0.2061553611,-0.2451115982,0.01773937312,0.03234297041,-0.05512298129,-0.1893178685,-0.08922909729,
FL,12,House,1.146352464,"[-0.266304274970709, 4.5446381054768, -0.839276439756102]",Biden,Trump,Unopposed,-36.92279822,-32.77290399,-7.831166105,0.1472842736,-0.2234748719,-0.1865437188,0.2085865351,0.09951671853,0.09216957288,-0.3997554397,0.0293045487,
