"","year","office_type","state","district","receipts_DEM","receipts_REP","individual_contributions_DEM","individual_contributions_REP"
"212",2002,"House","MI",12,948688.09,379250.4,435274.3,250055.81
"213",2002,"House","MI",13,506222.58,0,267365,0
"214",2002,"House","MI",14,410812.22,NA,101530,NA
"215",2002,"House","MI",15,4751450.18,NA,2782627.5,NA
"216",2002,"House","MN",1,15,894474.2,0,618310.74
"217",2002,"House","MN",2,2495565.86,1553133.27,1169695.1,698586.44
"218",2002,"House","MN",3,12262,1040630.87,0,540862.23
"219",2002,"House","MN",4,764228.68,125891.34,323299.59,50375.7
"220",2002,"House","MN",5,463831.19,9699,177562.53,3484
"221",2002,"House","MN",6,2195059.83,1914786.73,218688,794175.63
"222",2002,"House","MN",7,NA,210629.49,NA,163283
"223",2002,"House","MN",8,1057293.82,18398.5,323793.57,7071.5
"224",2002,"House","MO",1,364247.95,12199.64,125500.67,5625
"225",2002,"House","MO",2,1350,723369.77,150,461586.76
"226",2002,"House","MO",3,5756680.62,118227.79,3196241.44,113527.79
"227",2002,"House","MO",4,606117.61,571,242624.95,0
"228",2002,"House","MO",5,406029.95,4957,88685,1111
"229",2002,"House","MO",6,286926.64,1230126.36,10650,588037.34
"230",2002,"House","MO",7,NA,1940047.02,NA,585651.5
"231",2002,"House","MO",8,NA,1110504.36,NA,385049.24
"232",2002,"House","MO",9,1100,895344.37,0,424894.38
"233",2002,"House","MS",1,NA,434995.17,NA,206496.03
"234",2002,"House","MS",2,599829.51,137911,246603.14,75831
"235",2002,"House","MS",3,1453740.22,2781341.36,681154.24,1516228.36
"236",2002,"House","MS",4,364740.31,197039.55,186838,27163
"237",2002,"House","NC",1,1783479.06,18755,850422.08,13415
"238",2002,"House","NC",2,912364.64,6472,434763.02,3333
"239",2002,"House","NC",3,100,747314.35,100,319765.99
"240",2002,"House","NC",4,764492.79,7869,408823.43,3425
"241",2002,"House","NC",5,18405,1210427.84,6508,548920.64
"242",2002,"House","NC",6,NA,387937.72,NA,45607.29
"243",2002,"House","NC",7,789558.01,NA,385971.52,NA
"244",2002,"House","NC",8,1639323.8,2322515.3,712485.5,959806.63
"245",2002,"House","NC",9,NA,813372.01,NA,496204.66
"246",2002,"House","NC",10,299077.84,582760.12,27186,196068.57
"247",2002,"House","NC",11,423405.47,1600608.73,30590,496877
"248",2002,"House","NC",12,260595,21330.1,52575,0
"249",2002,"House","NC",13,1693931.96,522468.05,993665.15,303006.06
"250",2002,"House","NE",1,9593,163961.44,0,30409
"251",2002,"House","NE",2,714651.58,1220749.4,195975.36,557364.93
"252",2002,"House","NE",3,500,126999.77,0,121822.4
"253",2002,"House","NH",1,3537320.13,3392163.6,1417738.1,1201647.48
"254",2002,"House","NH",2,1667740.85,1056567.24,1112351.38,521222.5
"255",2002,"House","NJ",1,821175.92,0,365992,0
"256",2002,"House","NJ",2,2099,923314.34,0,450795.8
"257",2002,"House","NJ",3,6427,1172465.46,0,697461.13
"258",2002,"House","NJ",4,76723.68,580608.85,59995.18,330123.96
"259",2002,"House","NJ",5,1611524.93,3163469.75,849185.79,1666561.1
"260",2002,"House","NJ",6,1039530.88,29192,494630.84,11783
"261",2002,"House","NJ",7,1276509.82,2208249.69,764573,1257638.38
"262",2002,"House","NJ",8,1045404.88,6388,652017.67,0
"263",2002,"House","NJ",9,795519.67,16559,424888.35,11179
"264",2002,"House","NJ",10,597503.98,NA,213880,NA
"265",2002,"House","NJ",11,19649,779003.75,13565,443788
"266",2002,"House","NJ",12,2046950.12,701283.73,1413316.81,503667
"267",2002,"House","NJ",13,2518466.65,NA,1808325.48,NA
"268",2002,"House","NM",1,1397218.91,2735482.69,949380.05,1503696.1
"269",2002,"House","NM",2,1007587.05,2938295.71,441276.74,1553429.63
"270",2002,"House","NM",3,442644.84,5140,248506,0
"271",2002,"House","NV",1,1893997.07,984953.82,1127355.53,807883.27
"272",2002,"House","NV",2,15750.67,505726.48,3214.16,244133.9
"273",2002,"House","NV",3,1821533.73,1938707.56,1153859.78,1138336.56
"274",2002,"House","NY",1,1084983.13,1413586.24,775983.79,641124
"275",2002,"House","NY",2,1471978.97,28899,959915,28880
"276",2002,"House","NY",3,140895,567314.14,104848,270297
"277",2002,"House","NY",4,1902518.43,1136731.51,1388015.3,257688.72
"278",2002,"House","NY",5,706759.63,162305.38,411943.53,161905.38
"279",2002,"House","NY",6,621376.33,0,331742.09,0
"280",2002,"House","NY",7,978529.17,NA,554993,NA
"281",2002,"House","NY",8,715537.3,70687.87,236829,54762.87
"282",2002,"House","NY",9,943753.6,NA,578535.84,NA
"283",2002,"House","NY",10,780608.78,NA,269000.08,NA
"284",2002,"House","NY",11,338950.99,12784,141095,4684
"285",2002,"House","NY",12,400739.41,NA,106460,NA
"286",2002,"House","NY",13,16558.41,880516.96,15535,365877.83
"287",2002,"House","NY",14,956646.74,48213.57,552940,46530
"288",2002,"House","NY",15,1662326.56,NA,636974.9,NA
"289",2002,"House","NY",16,270127,NA,95870,NA
"290",2002,"House","NY",17,1238620,256454.47,637069,237785.7
"291",2002,"House","NY",18,1227784.45,NA,774405.5,NA
"292",2002,"House","NY",19,16313,1013591.22,13610,471245.08
"293",2002,"House","NY",20,30516.02,1629567.54,13570.5,1022298.5
"294",2002,"House","NY",21,462508.51,30276,166684,17925
"295",2002,"House","NY",22,657144.8,56848,344589.7,27823
"296",2002,"House","NY",23,0,314635.66,0,87252.23
"297",2002,"House","NY",24,NA,1678348.09,NA,767390.54
"298",2002,"House","NY",25,40693,775006.44,22280,360257.24
"299",2002,"House","NY",26,11167,1812214.37,5136,1009853.01
"300",2002,"House","NY",27,38493,1055004.83,4345,517979.92
"301",2002,"House","NY",28,711385.23,215731.58,380707.05,184476.31
"302",2002,"House","NY",29,383939.86,894304.74,108075.82,403614.75
"303",2002,"House","NY",30,5629,NA,0,NA
"304",2002,"House","NY",31,0,5945,0,1945
"305",2002,"House","OH",1,58453,702082.28,18430,357582.69
"306",2002,"House","OH",2,17144.01,1299910.67,3574.55,1243349
"307",2002,"House","OH",3,700438.58,2737879.96,347440,677922.68
"308",2002,"House","OH",4,10569,1256853.58,5,360219.67
"309",2002,"House","OH",5,21544,448570.15,13125,65041.8
"310",2002,"House","OH",6,825865.83,202265.61,221909.17,157110.72
"311",2002,"House","OH",7,20267,858797.94,12376,440582.68
"312",2002,"House","OH",8,18417,1190184.92,6267,566105.66
"313",2002,"House","OH",9,418374.66,754,118793,750
"314",2002,"House","OH",10,538956.19,0,280284.75,0
"315",2002,"House","OH",11,405885.95,89439.2,119955,25968.99
"316",2002,"House","OH",12,77576,1106400.87,30180,615182.67
"317",2002,"House","OH",13,1157749.62,0,509598.92,0
"318",2002,"House","OH",14,NA,558508.89,NA,227580.36
"319",2002,"House","OH",15,NA,908325.13,NA,261714
"320",2002,"House","OH",16,2500,297997.89,0,282128.02
"321",2002,"House","OH",17,1279284.28,293814.73,407849.39,125305.24
"322",2002,"House","OH",18,561,654706.35,210,161364.24
"323",2002,"House","OH",19,4500,NA,4500,NA
"324",2002,"House","OK",1,558581.47,3063430.3,381426.43,2106903.27
"325",2002,"House","OK",2,1036261.73,305987,571298.5,24656
"326",2002,"House","OK",3,751798.22,639942.51,548599.03,297318.76
"327",2002,"House","OK",4,821739.42,2561178.69,358637.77,1414095.28
"328",2002,"House","OK",5,233216.48,762195.64,141504,433032.72
"329",2002,"House","OK",6,2936.75,NA,0,NA
"330",2002,"House","OR",1,1555398.26,16843,969473.01,50
"331",2002,"House","OR",2,68611.04,861677.43,61611.04,461469.01
"332",2002,"House","OR",3,478051.61,32000,210655,100
"333",2002,"House","OR",4,379013.31,159608.19,160610.12,85097.2
"334",2002,"House","OR",5,822276.43,317761.47,292850.16,122379.1
"335",2002,"House","PA",1,483679.78,NA,281995,NA
"336",2002,"House","PA",2,423636.26,NA,203516.47,NA
"337",2002,"House","PA",3,NA,1083844.57,NA,354657.06
"338",2002,"House","PA",4,116795.76,1204847.53,76218.02,602484.67
"339",2002,"House","PA",5,NA,450941.8,NA,216540.28
"340",2002,"House","PA",6,1734700.38,1614929.37,1197207.57,804221.27
"341",2002,"House","PA",7,2503,536880.61,2350,239038.1
"342",2002,"House","PA",8,0,902681.77,0,888993.13
"343",2002,"House","PA",9,270728,1153625.36,64045,608631.84
"344",2002,"House","PA",10,33534,1231688.5,100,490042.08
"345",2002,"House","PA",11,996819.03,596132.17,371850.67,251039.9
"346",2002,"House","PA",12,2990921.91,17585.29,1918878.55,3013
"347",2002,"House","PA",13,1878179.39,1721941.86,1019791,564868.46
"348",2002,"House","PA",14,702494.46,0,220983.88,0
"349",2002,"House","PA",15,829693.07,1671464.81,296989,806628.81
"350",2002,"House","PA",16,0,402592.4,0,209514.69
"351",2002,"House","PA",17,1510946.4,1350543.29,538276.56,496418.08
"352",2002,"House","PA",18,384643.58,1117916.16,102035,508244.62
"353",2002,"House","PA",19,NA,336110.6,NA,281516.56
"354",2002,"House","PA",21,9398,NA,0,NA
"355",2002,"House","RI",1,3112242.34,2435449.37,2312745.87,2354207.08
"356",2002,"House","RI",2,793726.18,82723.32,361344.28,15030
"357",2002,"House","SC",1,9452,477391.09,3177,217619.69
"358",2002,"House","SC",2,138586.74,2195733.27,106411.84,833944.94
"359",2002,"House","SC",3,100735.89,2089248.34,24236,1233026.57
"360",2002,"House","SC",4,NA,651284.4,NA,533096.76
"361",2002,"House","SC",5,745651.93,10350,221557,4350
"362",2002,"House","SC",6,450899.61,10223,187082.1,1729
"363",2002,"House","SD",1,0,NA,0,NA
"364",2002,"House","TN",1,0,145872.17,0,18180
"365",2002,"House","TN",2,NA,561279.7,NA,212832.87
"366",2002,"House","TN",3,35650,785527.1,1600,743216.32
"367",2002,"House","TN",4,3222332.58,1021439.06,669608,604024.37
"368",2002,"House","TN",5,3522875.52,32139,1807615.31,21183
"369",2002,"House","TN",6,627327.03,12410,142400.96,0
"370",2002,"House","TN",7,27314.3,3289262.75,15880,1885315.19
"371",2002,"House","TN",8,622847.44,4,34062.17,0
"372",2002,"House","TN",9,1155729.53,NA,665155.28,NA
"373",2002,"House","TX",1,1002742.85,83129.48,330580.54,73104.48
"374",2002,"House","TX",2,796780.47,27902.37,201486,23752.37
"375",2002,"House","TX",3,60137,948884.62,37904,455018.57
"376",2002,"House","TX",4,645749.36,201727.7,230536.18,165441.57
"377",2002,"House","TX",5,974111.3,2723555.38,627997.13,1259134.73
"378",2002,"House","TX",6,12751,900850.46,3975,369959.41
"379",2002,"House","TX",7,0,508343,0,297902
"380",2002,"House","TX",8,NA,367671.8,NA,108668.26
"381",2002,"House","TX",9,1226467.51,94978.33,598105.92,88415.33
"382",2002,"House","TX",10,591757.23,NA,213709,NA
"383",2002,"House","TX",11,1586626.04,745109.83,590237.49,493519.66
"384",2002,"House","TX",12,236,799219.63,25,453264.21
"385",2002,"House","TX",13,0,578850.43,0,413094.23
"386",2002,"House","TX",14,48873,1534284.43,20376,1487329.26
"387",2002,"House","TX",15,294747.91,NA,116585,NA
"388",2002,"House","TX",16,460892.43,NA,238911.33,NA
"389",2002,"House","TX",17,1372289.77,473106.07,466803.77,360981.07
"390",2002,"House","TX",18,319836.91,27511,77751,12273
"391",2002,"House","TX",19,0,964660.19,0,327049.99
"392",2002,"House","TX",20,617774.01,0,209600,0
"393",2002,"House","TX",21,168572.16,789341.05,102985.75,517490.05
"394",2002,"House","TX",22,244567.96,1353193.2,152699.5,480221.59
"395",2002,"House","TX",23,1660335.66,2578543.92,786592.32,1360444.06
"396",2002,"House","TX",24,1679085.34,39941,610899.04,10111
"397",2002,"House","TX",25,2677677.32,4563315.13,1239551.91,286081
"398",2002,"House","TX",26,17670,1803360.28,11470,963794.91
"399",2002,"House","TX",27,446120.76,19803,263979,12138
"400",2002,"House","TX",28,417356.04,17200,155315,4201
"401",2002,"House","TX",29,697847.1,NA,168548,NA
"402",2002,"House","TX",30,405389.28,5133,158915,3773
"403",2002,"House","TX",31,24839.55,3431890.95,8239.55,1376692.49
"404",2002,"House","TX",32,18084,737191.37,13586,351974
"405",2002,"House","UT",1,886358.18,1926526.17,335867.4,662364.77
"406",2002,"House","UT",2,1465040.39,2644989.15,638727.54,1114191.08
"407",2002,"House","UT",3,51439.2,364360.27,26824.89,165101.47
"408",2002,"House","VA",1,692,333811.06,0,117960.17
"409",2002,"House","VA",2,64054.28,800975.35,1000,407028.83
"410",2002,"House","VA",3,172506.23,0,41658,0
"411",2002,"House","VA",4,1431045.97,1898600.9,433319.5,757679.9
"412",2002,"House","VA",5,264927.27,736056.99,216961.27,484346.94
"413",2002,"House","VA",6,NA,689292.71,NA,346794.29
"414",2002,"House","VA",7,192359.04,1446191.55,151898.97,880457.91
"415",2002,"House","VA",8,1106096.19,120044.8,571984,86891.8
"416",2002,"House","VA",9,1171405.18,233658.84,359891.44,93237.88
"417",2002,"House","VA",10,21077,695988.4,17927,408133.56
"418",2002,"House","VA",11,1345,1428100.7,1345,726713.7
"419",2002,"House","WA",1,1434401.32,249098.29,1057726.21,174184.77
"420",2002,"House","WA",2,1788065.13,980222.46,1041880.24,858637.66
"421",2002,"House","WA",3,1268236.91,600922.88,770823.3,492743.54
"422",2002,"House","WA",4,88535.88,346994.57,22182.64,167180.88
"423",2002,"House","WA",5,72917.94,758981.04,30770.53,420507.17
"424",2002,"House","WA",6,841730.46,61294,422653.24,29071
"425",2002,"House","WA",7,415539.12,19064,177197,10614
"426",2002,"House","WA",8,133307,1838488.81,114704,1108414.76
"427",2002,"House","WA",9,820576.27,64080.83,347176.56,44739.39
"428",2002,"House","WI",1,223310.61,1551552.14,1105,858081.73
"429",2002,"House","WI",2,1295047.12,295913.44,898110.17,216825.11
"430",2002,"House","WI",3,715865.8,12475,385621.33,1277
"431",2002,"House","WI",4,576214.88,NA,162097,NA
"432",2002,"House","WI",5,74839,567131.05,15590,191805
"433",2002,"House","WI",6,10988,624586.65,725,234239.88
"434",2002,"House","WI",7,957658.47,39811,339414.53,6478
"435",2002,"House","WI",8,251,877593.88,105,434665.87
"436",2002,"House","WI",9,0,NA,0,NA
"437",2002,"House","WV",1,361117.64,NA,141800.5,NA
"438",2002,"House","WV",2,9070993.41,2585441.76,535910.5,1261752.34
"439",2002,"House","WV",3,578596.57,NA,150036,NA
"440",2002,"Senate","00",0,12368969.27,4573966.23,3747571.26,747752.63
"441",2002,"Senate","AK",0,2030,4932366.58,50,2653761.14
