"","year","state","margin"
"215","2020","MS",-16.527496658247
"216","2020","MT",-16.3130004127115
"217","2020","NC",-1.3481209549448
"218","2020","ND",-33.3572863779956
"219","2020","NE",-19.0576120972962
"220","2020","NH",7.36757704212921
"221","2020","NJ",15.8857105047638
"222","2020","NM",10.7926166034428
"223","2020","NV",2.39053463272462
"224","2020","NY",23.1398394072564
"225","2020","OH",-8.03196176016961
"226","2020","OK",-33.0870975120763
"227","2020","OR",16.0860726077055
"228","2020","PA",1.17916235575441
"229","2020","RI",20.5996324433608
"230","2020","SC",-11.6802058146785
"231","2020","SD",-26.1641375361149
"232","2020","TN",-23.2088598952601
"233","2020","TX",-5.57718646135316
"234","2020","UT",-20.4837904466135
"235","2020","VA",10.7565185165877
"236","2020","VT",35.4126522747314
"237","2020","WA",19.2033233919598
"238","2020","WI",0.624986352685428
"239","2020","WV",-38.9350306800964
"240","2020","WY",-43.3826531533973
