poll_id,pollster_rating_id,methodology,state,seat_number,question_id,sample_size,population_full,cycle,office_type,party,pct,answer
87991,338,IVR/Live Phone/Text/Online Panel/Email,Wisconsin,0,207580,1083,lv,2024,U.S. President,DEM,46.2,Harris
87991,338,IVR/Live Phone/Text/Online Panel/Email,Wisconsin,0,207580,1083,lv,2024,U.S. President,REP,47.3,Trump
87992,338,IVR/Live Phone/Text/Online Panel/Email,Michigan,0,207581,1089,lv,2024,U.S. President,DEM,46.6,Harris
87992,338,IVR/Live Phone/Text/Online Panel/Email,Michigan,0,207581,1089,lv,2024,U.S. President,REP,47,Trump
87993,338,IVR/Live Phone/Text/Online Panel/Email,Pennsylvania,0,207582,1082,lv,2024,U.S. President,DEM,44.9,Harris
87993,338,IVR/Live Phone/Text/Online Panel/Email,Pennsylvania,0,207582,1082,lv,2024,U.S. President,REP,47,Trump
88004,562,Online Panel,,0,207630,2078,lv,2024,U.S. President,DEM,44,Harris
88004,562,Online Panel,,0,207630,2078,lv,2024,U.S. President,REP,42,Trump
88004,562,Online Panel,,0,207630,2078,lv,2024,U.S. President,LIB,1,Oliver
88004,562,Online Panel,,0,207630,2078,lv,2024,U.S. President,GRE,1,Stein
87986,284,IVR/Text-to-Web,Pennsylvania,0,207569,1607,lv,2024,U.S. President,DEM,47,Harris
87986,284,IVR/Text-to-Web,Pennsylvania,0,207569,1607,lv,2024,U.S. President,REP,48,Trump
87986,284,IVR/Text-to-Web,Pennsylvania,0,207569,1607,lv,2024,U.S. President,LIB,1,Oliver
87986,284,IVR/Text-to-Web,Pennsylvania,0,207569,1607,lv,2024,U.S. President,GRE,1,Stein
87986,284,IVR/Text-to-Web,Pennsylvania,0,207570,1607,lv,2024,U.S. President,DEM,49,Harris
87986,284,IVR/Text-to-Web,Pennsylvania,0,207570,1607,lv,2024,U.S. President,REP,49,Trump
87988,325,Online Panel,Minnesota,0,207573,635,lv,2024,U.S. President,DEM,48,Harris
87988,325,Online Panel,Minnesota,0,207573,635,lv,2024,U.S. President,REP,43,Trump
87958,862,Online Panel,,0,207435,2191,lv,2024,U.S. President,DEM,52.6,Harris
87958,862,Online Panel,,0,207435,2191,lv,2024,U.S. President,REP,47.4,Trump
88036,864,Live Phone/Text-to-Web,Montana,0,207866,600,lv,2024,U.S. President,DEM,41,Harris
88036,864,Live Phone/Text-to-Web,Montana,0,207866,600,lv,2024,U.S. President,REP,56,Trump
88015,844,Probability Panel,Arizona,0,207691,682,lv,2024,U.S. President,DEM,44,Harris
88015,844,Probability Panel,Arizona,0,207691,682,lv,2024,U.S. President,REP,49,Trump
88015,844,Probability Panel,Arizona,0,207691,682,lv,2024,U.S. President,GRE,2,Stein
88015,844,Probability Panel,Arizona,0,207691,682,lv,2024,U.S. President,LIB,1,Oliver
88016,844,Probability Panel,Georgia,0,207692,617,lv,2024,U.S. President,DEM,48,Harris
88016,844,Probability Panel,Georgia,0,207692,617,lv,2024,U.S. President,REP,47,Trump
88016,844,Probability Panel,Georgia,0,207692,617,lv,2024,U.S. President,IND,1,West
88016,844,Probability Panel,Georgia,0,207692,617,lv,2024,U.S. President,GRE,1,Stein
88016,844,Probability Panel,Georgia,0,207692,617,lv,2024,U.S. President,LIB,1,Oliver
88018,844,Probability Panel,Nevada,0,207694,626,lv,2024,U.S. President,DEM,48,Harris
88018,844,Probability Panel,Nevada,0,207694,626,lv,2024,U.S. President,REP,47,Trump
88018,844,Probability Panel,Nevada,0,207694,626,lv,2024,U.S. President,GRE,1,Stein
88018,844,Probability Panel,Nevada,0,207694,626,lv,2024,U.S. President,LIB,1,Oliver
88019,844,Probability Panel,Pennsylvania,0,207695,789,lv,2024,U.S. President,DEM,47,Harris
88019,844,Probability Panel,Pennsylvania,0,207695,789,lv,2024,U.S. President,REP,47,Trump
88019,844,Probability Panel,Pennsylvania,0,207695,789,lv,2024,U.S. President,GRE,1,Stein
88019,844,Probability Panel,Pennsylvania,0,207695,789,lv,2024,U.S. President,LIB,1,Oliver
88020,844,Probability Panel,Wisconsin,0,207696,976,lv,2024,U.S. President,DEM,50,Harris
88020,844,Probability Panel,Wisconsin,0,207696,976,lv,2024,U.S. President,REP,44,Trump
88020,844,Probability Panel,Wisconsin,0,207696,976,lv,2024,U.S. President,IND,0,West
88020,844,Probability Panel,Wisconsin,0,207696,976,lv,2024,U.S. President,GRE,1,Stein
88020,844,Probability Panel,Wisconsin,0,207696,976,lv,2024,U.S. President,LIB,2,Oliver
87967,721,App Panel,Illinois,0,207481,400,lv,2024,U.S. President,DEM,57.8,Harris
87967,721,App Panel,Illinois,0,207481,400,lv,2024,U.S. President,REP,42.2,Trump
87966,721,App Panel,Tennessee,0,207480,400,lv,2024,U.S. President,DEM,36.9,Harris
87966,721,App Panel,Tennessee,0,207480,400,lv,2024,U.S. President,REP,63.1,Trump
87969,555,Online Panel,,0,207497,2441,lv,2024,U.S. President,DEM,51,Harris
87969,555,Online Panel,,0,207497,2441,lv,2024,U.S. President,REP,48,Trump
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,DEM,46.9,Harris
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,REP,47.6,Trump
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,LIB,0.4,Oliver
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,GRE,0.4,Stein
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,CON,0.2,Terry
88011,523,IVR/Text-to-Web,North Carolina,0,207685,920,lv,2024,U.S. President,IND,1,West
87935,88,IVR/Online Panel/Text-to-Web,Arizona,0,207317,720,lv,2024,U.S. President,DEM,47.5,Harris
87935,88,IVR/Online Panel/Text-to-Web,Arizona,0,207317,720,lv,2024,U.S. President,REP,51.2,Trump
87936,88,IVR/Online Panel/Text-to-Web,Michigan,0,207319,800,lv,2024,U.S. President,DEM,51.2,Harris
87936,88,IVR/Online Panel/Text-to-Web,Michigan,0,207319,800,lv,2024,U.S. President,REP,47.6,Trump
87937,88,IVR/Online Panel/Text-to-Web,Nevada,0,207321,1168,lv,2024,U.S. President,DEM,49.4,Harris
87937,88,IVR/Online Panel/Text-to-Web,Nevada,0,207321,1168,lv,2024,U.S. President,REP,48.8,Trump
87938,88,IVR/Online Panel/Text-to-Web,Pennsylvania,0,207320,950,lv,2024,U.S. President,DEM,49.4,Harris
87938,88,IVR/Online Panel/Text-to-Web,Pennsylvania,0,207320,950,lv,2024,U.S. President,REP,49.4,Trump
87939,88,IVR/Online Panel/Text-to-Web,Wisconsin,0,207323,850,lv,2024,U.S. President,DEM,49.1,Harris
87939,88,IVR/Online Panel/Text-to-Web,Wisconsin,0,207323,850,lv,2024,U.S. President,REP,49.8,Trump
87943,88,IVR/Online Panel/Text-to-Web,North Carolina,0,207322,775,lv,2024,U.S. President,DEM,49,Harris
87943,88,IVR/Online Panel/Text-to-Web,North Carolina,0,207322,775,lv,2024,U.S. President,REP,49.9,Trump
87944,88,IVR/Online Panel/Text-to-Web,Georgia,0,207318,800,lv,2024,U.S. President,DEM,50.1,Harris
87944,88,IVR/Online Panel/Text-to-Web,Georgia,0,207318,800,lv,2024,U.S. President,REP,49,Trump
87945,323,Live Phone,,0,207330,1000,lv,2024,U.S. President,DEM,47.6,Harris
87945,323,Live Phone,,0,207330,1000,lv,2024,U.S. President,REP,43.3,Trump
87945,323,Live Phone,,0,207330,1000,lv,2024,U.S. President,IND,1.5,West
87945,323,Live Phone,,0,207330,1000,lv,2024,U.S. President,GRE,1.2,Stein
87945,323,Live Phone,,0,207330,1000,lv,2024,U.S. President,LIB,0.7,Oliver
87971,562,Online Panel,North Carolina,0,207520,812,lv,2024,U.S. President,DEM,44,Harris
87971,562,Online Panel,North Carolina,0,207520,812,lv,2024,U.S. President,REP,45,Trump
87971,562,Online Panel,North Carolina,0,207520,812,lv,2024,U.S. President,LIB,1,Oliver
87971,562,Online Panel,North Carolina,0,207520,812,lv,2024,U.S. President,GRE,1,Stein
87972,562,Online Panel,Arizona,0,207513,530,lv,2024,U.S. President,DEM,45,Harris
87972,562,Online Panel,Arizona,0,207513,530,lv,2024,U.S. President,REP,46,Trump
87972,562,Online Panel,Arizona,0,207513,530,lv,2024,U.S. President,LIB,1,Oliver
87972,562,Online Panel,Arizona,0,207513,530,lv,2024,U.S. President,GRE,1,Stein
87973,562,Online Panel,Florida,0,207514,850,lv,2024,U.S. President,DEM,43,Harris
87973,562,Online Panel,Florida,0,207514,850,lv,2024,U.S. President,REP,48,Trump
87973,562,Online Panel,Florida,0,207514,850,lv,2024,U.S. President,LIB,1,Oliver
87973,562,Online Panel,Florida,0,207514,850,lv,2024,U.S. President,GRE,0,Stein
87974,562,Online Panel,Georgia,0,207515,699,lv,2024,U.S. President,DEM,42,Harris
87974,562,Online Panel,Georgia,0,207515,699,lv,2024,U.S. President,REP,44,Trump
87974,562,Online Panel,Georgia,0,207515,699,lv,2024,U.S. President,LIB,0,Oliver
87974,562,Online Panel,Georgia,0,207515,699,lv,2024,U.S. President,GRE,1,Stein
87975,562,Online Panel,Michigan,0,207516,761,lv,2024,U.S. President,DEM,47,Harris
87975,562,Online Panel,Michigan,0,207516,761,lv,2024,U.S. President,REP,44,Trump
87975,562,Online Panel,Michigan,0,207516,761,lv,2024,U.S. President,LIB,1,Oliver
87975,562,Online Panel,Michigan,0,207516,761,lv,2024,U.S. President,GRE,1,Stein
87976,562,Online Panel,Minnesota,0,207517,426,lv,2024,U.S. President,DEM,51,Harris
87976,562,Online Panel,Minnesota,0,207517,426,lv,2024,U.S. President,REP,42,Trump
87976,562,Online Panel,Minnesota,0,207517,426,lv,2024,U.S. President,LIB,1,Oliver
87976,562,Online Panel,Minnesota,0,207517,426,lv,2024,U.S. President,GRE,0,Stein
87977,562,Online Panel,Nevada,0,207518,490,lv,2024,U.S. President,DEM,47,Harris
87977,562,Online Panel,Nevada,0,207518,490,lv,2024,U.S. President,REP,47,Trump
87977,562,Online Panel,Nevada,0,207518,490,lv,2024,U.S. President,LIB,0,Oliver
87977,562,Online Panel,Nevada,0,207518,490,lv,2024,U.S. President,GRE,1,Stein
87978,562,Online Panel,New Mexico,0,207519,488,lv,2024,U.S. President,DEM,47,Harris
87978,562,Online Panel,New Mexico,0,207519,488,lv,2024,U.S. President,REP,40,Trump
87978,562,Online Panel,New Mexico,0,207519,488,lv,2024,U.S. President,LIB,0,Oliver
87978,562,Online Panel,New Mexico,0,207519,488,lv,2024,U.S. President,GRE,0,Stein
87979,562,Online Panel,Pennsylvania,0,207521,1071,lv,2024,U.S. President,DEM,46,Harris
87979,562,Online Panel,Pennsylvania,0,207521,1071,lv,2024,U.S. President,REP,45,Trump
87979,562,Online Panel,Pennsylvania,0,207521,1071,lv,2024,U.S. President,LIB,0,Oliver
87979,562,Online Panel,Pennsylvania,0,207521,1071,lv,2024,U.S. President,GRE,1,Stein
87980,562,Online Panel,Wisconsin,0,207522,672,lv,2024,U.S. President,DEM,48,Harris
87980,562,Online Panel,Wisconsin,0,207522,672,lv,2024,U.S. President,REP,44,Trump
87980,562,Online Panel,Wisconsin,0,207522,672,lv,2024,U.S. President,LIB,0,Oliver
87980,562,Online Panel,Wisconsin,0,207522,672,lv,2024,U.S. President,GRE,0,Stein
87929,37,Online Panel,,0,207242,1511,lv,2024,U.S. President,DEM,50.4,Harris
87929,37,Online Panel,,0,207242,1511,lv,2024,U.S. President,REP,43.2,Trump
87982,52,Online Panel,,0,207557,1238,lv,2024,U.S. President,DEM,51,Harris
87982,52,Online Panel,,0,207557,1238,lv,2024,U.S. President,REP,45,Trump
87926,721,App Panel,Michigan,0,207228,400,lv,2024,U.S. President,DEM,50.1,Harris
87926,721,App Panel,Michigan,0,207228,400,lv,2024,U.S. President,REP,49.9,Trump
87917,851,Online Panel,North Carolina,0,207058,612,lv,2024,U.S. President,DEM,46,Harris
87917,851,Online Panel,North Carolina,0,207058,612,lv,2024,U.S. President,REP,50,Trump
87919,859,Online Panel,,0,207085,1094,lv,2024,U.S. President,DEM,49,Harris
87919,859,Online Panel,,0,207085,1094,lv,2024,U.S. President,REP,47,Trump
87949,267,Live Phone,,0,207360,1611,lv,2024,U.S. President,DEM,49,Harris
87949,267,Live Phone,,0,207360,1611,lv,2024,U.S. President,REP,47,Trump
87949,267,Live Phone,,0,207360,1611,lv,2024,U.S. President,GRE,1,Stein
87949,267,Live Phone,,0,207360,1611,lv,2024,U.S. President,LIB,1,Oliver
87949,267,Live Phone,,0,207361,1611,lv,2024,U.S. President,DEM,49,Harris
87949,267,Live Phone,,0,207361,1611,lv,2024,U.S. President,REP,48,Trump
87951,218,Online Panel,Arizona,0,207451,776,lv,2024,U.S. President,DEM,49,Harris
87951,218,Online Panel,Arizona,0,207451,776,lv,2024,U.S. President,REP,47,Trump
87951,218,Online Panel,Arizona,0,207451,776,lv,2024,U.S. President,GRE,0,Stein
87951,218,Online Panel,Arizona,0,207451,776,lv,2024,U.S. President,LIB,2,Oliver
87951,218,Online Panel,Arizona,0,207452,776,lv,2024,U.S. President,DEM,48,Harris
87951,218,Online Panel,Arizona,0,207452,776,lv,2024,U.S. President,REP,48,Trump
87999,154,Probability Panel,,0,207600,NA,lv,2024,U.S. President,DEM,52,Harris
87999,154,Probability Panel,,0,207600,NA,lv,2024,U.S. President,REP,46,Trump
87952,218,Online Panel,Georgia,0,207455,737,lv,2024,U.S. President,DEM,48,Harris
87952,218,Online Panel,Georgia,0,207455,737,lv,2024,U.S. President,REP,46,Trump
87952,218,Online Panel,Georgia,0,207455,737,lv,2024,U.S. President,GRE,1,Stein
87952,218,Online Panel,Georgia,0,207455,737,lv,2024,U.S. President,LIB,3,Oliver
87952,218,Online Panel,Georgia,0,207456,737,lv,2024,U.S. President,DEM,50,Harris
87952,218,Online Panel,Georgia,0,207456,737,lv,2024,U.S. President,REP,47,Trump
87953,218,Online Panel,Michigan,0,207459,651,lv,2024,U.S. President,DEM,49,Harris
87953,218,Online Panel,Michigan,0,207459,651,lv,2024,U.S. President,REP,47,Trump
87953,218,Online Panel,Michigan,0,207459,651,lv,2024,U.S. President,GRE,0,Stein
87953,218,Online Panel,Michigan,0,207459,651,lv,2024,U.S. President,LIB,2,Oliver
87953,218,Online Panel,Michigan,0,207460,651,lv,2024,U.S. President,DEM,49,Harris
87953,218,Online Panel,Michigan,0,207460,651,lv,2024,U.S. President,REP,47,Trump
87954,218,Online Panel,Nevada,0,207463,416,lv,2024,U.S. President,DEM,48,Harris
87954,218,Online Panel,Nevada,0,207463,416,lv,2024,U.S. President,REP,46,Trump
87954,218,Online Panel,Nevada,0,207463,416,lv,2024,U.S. President,GRE,2,Stein
87954,218,Online Panel,Nevada,0,207463,416,lv,2024,U.S. President,LIB,3,Oliver
87954,218,Online Panel,Nevada,0,207464,416,lv,2024,U.S. President,DEM,50,Harris
87954,218,Online Panel,Nevada,0,207464,416,lv,2024,U.S. President,REP,46,Trump
87955,218,Online Panel,North Carolina,0,207467,645,lv,2024,U.S. President,DEM,48,Harris
87955,218,Online Panel,North Carolina,0,207467,645,lv,2024,U.S. President,REP,48,Trump
87955,218,Online Panel,North Carolina,0,207467,645,lv,2024,U.S. President,GRE,1,Stein
87955,218,Online Panel,North Carolina,0,207467,645,lv,2024,U.S. President,LIB,2,Oliver
87955,218,Online Panel,North Carolina,0,207468,645,lv,2024,U.S. President,DEM,49,Harris
87955,218,Online Panel,North Carolina,0,207468,645,lv,2024,U.S. President,REP,49,Trump
87956,218,Online Panel,Pennsylvania,0,207471,758,lv,2024,U.S. President,DEM,51,Harris
87956,218,Online Panel,Pennsylvania,0,207471,758,lv,2024,U.S. President,REP,46,Trump
87956,218,Online Panel,Pennsylvania,0,207471,758,lv,2024,U.S. President,GRE,1,Stein
87956,218,Online Panel,Pennsylvania,0,207471,758,lv,2024,U.S. President,LIB,1,Oliver
87956,218,Online Panel,Pennsylvania,0,207472,758,lv,2024,U.S. President,DEM,51,Harris
87956,218,Online Panel,Pennsylvania,0,207472,758,lv,2024,U.S. President,REP,48,Trump
87957,218,Online Panel,Wisconsin,0,207475,648,lv,2024,U.S. President,DEM,52,Harris
87957,218,Online Panel,Wisconsin,0,207475,648,lv,2024,U.S. President,REP,44,Trump
87957,218,Online Panel,Wisconsin,0,207475,648,lv,2024,U.S. President,GRE,1,Stein
87957,218,Online Panel,Wisconsin,0,207475,648,lv,2024,U.S. President,LIB,1,Oliver
87957,218,Online Panel,Wisconsin,0,207476,648,lv,2024,U.S. President,DEM,53,Harris
87957,218,Online Panel,Wisconsin,0,207476,648,lv,2024,U.S. President,REP,44,Trump
87970,84,Live Phone,Michigan,0,207510,600,lv,2024,U.S. President,DEM,46,Harris
87970,84,Live Phone,Michigan,0,207510,600,lv,2024,U.S. President,REP,47,Trump
87964,49,Live Phone,Florida,0,207479,600,lv,2024,U.S. President,DEM,45,Harris
87964,49,Live Phone,Florida,0,207479,600,lv,2024,U.S. President,REP,52,Trump
87899,407,Online Panel,,0,206912,1031,lv,2024,U.S. President,DEM,48,Harris
87899,407,Online Panel,,0,206912,1031,lv,2024,U.S. President,REP,49,Trump
87899,407,Online Panel,,0,206914,1031,lv,2024,U.S. President,DEM,48,Harris
87899,407,Online Panel,,0,206914,1031,lv,2024,U.S. President,REP,48,Trump
87899,407,Online Panel,,0,206914,1031,lv,2024,U.S. President,GRE,1,Stein
87899,407,Online Panel,,0,206914,1031,lv,2024,U.S. President,IND,1,West
87899,407,Online Panel,,0,206914,1031,lv,2024,U.S. President,LIB,1,Oliver
87916,770,IVR/Online Panel,,0,207057,856,lv,2024,U.S. President,DEM,49.1,Harris
87916,770,IVR/Online Panel,,0,207057,856,lv,2024,U.S. President,REP,44.6,Trump
87968,572,Online Panel,,0,207491,863,lv,2024,U.S. President,DEM,50,Harris
87968,572,Online Panel,,0,207491,863,lv,2024,U.S. President,REP,46,Trump
87900,124,,,0,206917,1190,lv,2024,U.S. President,DEM,52,Harris
87900,124,,,0,206917,1190,lv,2024,U.S. President,REP,45,Trump
87894,851,Online Panel,Pennsylvania,0,206829,713,lv,2024,U.S. President,DEM,47,Harris
87894,851,Online Panel,Pennsylvania,0,206829,713,lv,2024,U.S. President,REP,48,Trump
87889,721,App Panel,,0,206792,1000,lv,2024,U.S. President,DEM,52.6,Harris
87889,721,App Panel,,0,206792,1000,lv,2024,U.S. President,REP,47.4,Trump
87893,144,Online Panel,Michigan,0,206836,741,lv,2024,U.S. President,DEM,48.4,Harris
87893,144,Online Panel,Michigan,0,206836,741,lv,2024,U.S. President,REP,46,Trump
87885,555,Online Panel,,0,206736,2404,lv,2024,U.S. President,DEM,49,Harris
87885,555,Online Panel,,0,206736,2404,lv,2024,U.S. President,REP,49,Trump
87873,862,Online Panel,,0,206682,1867,lv,2024,U.S. President,DEM,52,Harris
87873,862,Online Panel,,0,206682,1867,lv,2024,U.S. President,REP,48,Trump
87877,721,App Panel,Pennsylvania,0,206715,400,lv,2024,U.S. President,DEM,51.1,Harris
87877,721,App Panel,Pennsylvania,0,206715,400,lv,2024,U.S. President,REP,48.9,Trump
87878,721,App Panel,Ohio,0,206716,400,lv,2024,U.S. President,DEM,43.8,Harris
87878,721,App Panel,Ohio,0,206716,400,lv,2024,U.S. President,REP,56.2,Trump
87879,721,App Panel,Missouri,0,206717,400,lv,2024,U.S. President,DEM,41.3,Harris
87879,721,App Panel,Missouri,0,206717,400,lv,2024,U.S. President,REP,58.7,Trump
87870,325,Online Panel,North Carolina,0,206735,941,lv,2024,U.S. President,DEM,47,Harris
87870,325,Online Panel,North Carolina,0,206735,941,lv,2024,U.S. President,REP,47,Trump
87940,90,Online Panel/Text-to-Web,Michigan,0,207327,400,lv,2024,U.S. President,DEM,46,Harris
87940,90,Online Panel/Text-to-Web,Michigan,0,207327,400,lv,2024,U.S. President,REP,48,Trump
87941,90,Online Panel/Text-to-Web,Pennsylvania,0,207328,400,lv,2024,U.S. President,DEM,46,Harris
87941,90,Online Panel/Text-to-Web,Pennsylvania,0,207328,400,lv,2024,U.S. President,REP,47,Trump
87942,90,Online Panel/Text-to-Web,Wisconsin,0,207329,400,lv,2024,U.S. President,DEM,49,Harris
87942,90,Online Panel/Text-to-Web,Wisconsin,0,207329,400,lv,2024,U.S. President,REP,45,Trump
87862,721,App Panel,New York,0,206561,400,lv,2024,U.S. President,DEM,58.3,Harris
87862,721,App Panel,New York,0,206561,400,lv,2024,U.S. President,REP,41.7,Trump
87915,694,Live Phone,Maryland,0,207052,600,lv,2024,U.S. President,DEM,64,Harris
87915,694,Live Phone,Maryland,0,207052,600,lv,2024,U.S. President,REP,32,Trump
87959,508,IVR/Text-to-Web,Arizona,0,207439,600,lv,2024,U.S. President,DEM,47.6,Harris
87959,508,IVR/Text-to-Web,Arizona,0,207439,600,lv,2024,U.S. President,REP,48.7,Trump
87960,508,IVR/Text-to-Web,Georgia,0,207441,600,lv,2024,U.S. President,DEM,48.9,Harris
87960,508,IVR/Text-to-Web,Georgia,0,207441,600,lv,2024,U.S. President,REP,49.3,Trump
87961,508,IVR/Text-to-Web,North Carolina,0,207443,600,lv,2024,U.S. President,DEM,47.2,Harris
87961,508,IVR/Text-to-Web,North Carolina,0,207443,600,lv,2024,U.S. President,REP,47.4,Trump
87962,508,IVR/Text-to-Web,Pennsylvania,0,207445,600,lv,2024,U.S. President,DEM,48.2,Harris
87962,508,IVR/Text-to-Web,Pennsylvania,0,207445,600,lv,2024,U.S. President,REP,47.2,Trump
87963,508,IVR/Text-to-Web,Wisconsin,0,207447,600,lv,2024,U.S. President,DEM,47.9,Harris
87963,508,IVR/Text-to-Web,Wisconsin,0,207447,600,lv,2024,U.S. President,REP,45.2,Trump
87841,243,,Pennsylvania,0,206432,800,lv,2024,U.S. President,DEM,46,Harris
87841,243,,Pennsylvania,0,206432,800,lv,2024,U.S. President,REP,46.6,Trump
87856,357,Probability Panel,New Hampshire,0,206547,2048,lv,2024,U.S. President,DEM,52,Harris
87856,357,Probability Panel,New Hampshire,0,206547,2048,lv,2024,U.S. President,REP,47,Trump
87857,357,Probability Panel,Vermont,0,206549,924,lv,2024,U.S. President,DEM,70,Harris
87857,357,Probability Panel,Vermont,0,206549,924,lv,2024,U.S. President,REP,29,Trump
87858,357,Probability Panel,Maine,0,206553,951,lv,2024,U.S. President,DEM,58,Harris
87858,357,Probability Panel,Maine,0,206553,951,lv,2024,U.S. President,REP,41,Trump
87859,357,Probability Panel,Maine,1,206554,476,lv,2024,U.S. President,DEM,64,Harris
87859,357,Probability Panel,Maine,1,206554,476,lv,2024,U.S. President,REP,36,Trump
87860,357,Probability Panel,Maine,2,206555,432,lv,2024,U.S. President,DEM,52,Harris
87860,357,Probability Panel,Maine,2,206555,432,lv,2024,U.S. President,REP,47,Trump
87834,721,App Panel,California,0,206401,400,lv,2024,U.S. President,DEM,65.3,Harris
87834,721,App Panel,California,0,206401,400,lv,2024,U.S. President,REP,34.7,Trump
87833,851,Online Panel,,0,206400,876,lv,2024,U.S. President,DEM,50,Harris
87833,851,Online Panel,,0,206400,876,lv,2024,U.S. President,REP,48,Trump
87810,391,Online Panel,,0,206219,3253,lv,2024,U.S. President,DEM,51,Harris
87810,391,Online Panel,,0,206219,3253,lv,2024,U.S. President,REP,48,Trump
87845,292,Live Phone/Online Panel,Virginia,0,206471,691,lv,2024,U.S. President,DEM,47,Harris
