State,Year,Special Election?,Republican Total %,Democratic Total %,Independent Total %,Margin,Open Seat?,Incumbent Margin,Uncontested?
Florida,2010,FALSE,48.89,20.2,29.71,19.18,TRUE,,FALSE
Florida,2012,FALSE,42.23,55.23,0,13,FALSE,22.2,FALSE
Florida,2016,FALSE,51.98,44.31,0,-7.67,FALSE,19.18,FALSE
Florida,2018,FALSE,50.05,49.93,0,-0.12,FALSE,13,FALSE
Florida,2022,FALSE,57.68,41.27,0,-16.41,FALSE,-7.67,FALSE
Georgia,2002,FALSE,52.77,45.9,0,-6.87,FALSE,1.33,FALSE
Georgia,2004,FALSE,57.88,39.98,0,-17.9,TRUE,,FALSE
Georgia,2008,FALSE,49.76,46.83,0,-2.93,FALSE,-6.87,FALSE
Georgia,2010,FALSE,58.31,39,0,-19.31,FALSE,-17.9,FALSE
Georgia,2014,FALSE,52.89,45.21,0,-7.68,TRUE,,FALSE
Georgia,2016,FALSE,54.8,41.04,0,-13.76,FALSE,-19.31,FALSE
Georgia,2020,TRUE,49.37,48.39,0,-0.98,TRUE,,FALSE
Georgia,2020,FALSE,49.73,47.95,0,-1.78,FALSE,-7.68,FALSE
Georgia,2022,FALSE,48.49,49.44,0,0.95,FALSE,-0.98,FALSE
Hawaii,2004,FALSE,20.99,75.51,0,54.52,FALSE,61.36,FALSE
Hawaii,2006,FALSE,36.78,61.35,0,24.57,FALSE,48.17,FALSE
Hawaii,2010,FALSE,21.57,74.81,0,53.24,FALSE,54.52,FALSE
Hawaii,2012,FALSE,37.4,62.6,0,25.2,TRUE,,FALSE
Hawaii,2014,TRUE,27.7,69.78,0,42.08,TRUE,,FALSE
Hawaii,2016,FALSE,22.24,73.61,0,51.37,FALSE,42.08,FALSE
Hawaii,2018,FALSE,28.85,71.15,0,42.3,FALSE,25.2,FALSE
Hawaii,2022,FALSE,26.04,71.21,0,45.17,FALSE,51.37,FALSE
Idaho,2002,FALSE,65.16,32.55,0,-32.61,FALSE,-17.11,FALSE
Idaho,2004,FALSE,99.18,0,0,-99.18,FALSE,-41.15,TRUE
Idaho,2008,FALSE,57.65,34.11,0,-23.54,TRUE,,FALSE
Idaho,2010,FALSE,71.17,24.93,0,-46.24,FALSE,-99.18,FALSE
Idaho,2014,FALSE,65.33,34.67,0,-30.66,FALSE,-23.54,FALSE
Idaho,2016,FALSE,66.13,27.73,0,-38.4,FALSE,-46.24,FALSE
Idaho,2020,FALSE,62.62,33.25,0,-29.37,FALSE,-30.66,FALSE
Idaho,2022,FALSE,60.68,28.74,0,-31.94,FALSE,-38.4,FALSE
Illinois,2002,FALSE,38.02,60.33,0,22.31,FALSE,15.41,FALSE
Illinois,2004,FALSE,27.05,69.97,0,42.92,TRUE,,FALSE
Illinois,2008,FALSE,28.53,67.84,0,39.31,FALSE,22.31,FALSE
Illinois,2010,TRUE,47.31,46.29,0,-1.02,TRUE,,FALSE
Illinois,2010,FALSE,48.01,46.42,0,-1.59,TRUE,,FALSE
Illinois,2014,FALSE,42.69,53.55,0,10.86,FALSE,39.31,FALSE
Illinois,2016,FALSE,39.78,54.86,0,15.08,FALSE,-1.59,FALSE
Illinois,2020,FALSE,38.87,54.93,0,16.06,FALSE,10.86,FALSE
Illinois,2022,FALSE,41.5,56.82,0,15.32,FALSE,15.08,FALSE
Indiana,2004,FALSE,37.23,61.65,0,24.42,FALSE,28.93,FALSE
Indiana,2006,FALSE,87.36,0,0,-87.36,FALSE,-34.71,FALSE
Indiana,2010,FALSE,54.58,40,0,-14.58,TRUE,,FALSE
Indiana,2012,FALSE,44.28,50.04,0,5.76,TRUE,,FALSE
Indiana,2016,FALSE,52.11,42.41,0,-9.7,TRUE,,FALSE
Indiana,2018,FALSE,50.77,44.81,0,-5.96,FALSE,5.76,FALSE
Indiana,2022,FALSE,58.62,37.87,0,-20.75,FALSE,-9.7,FALSE
Iowa,2002,FALSE,43.78,54.18,0,10.4,FALSE,5.09,FALSE
Iowa,2004,FALSE,70.18,27.88,0,-42.3,FALSE,-37.92,FALSE
Iowa,2008,FALSE,37.26,62.66,0,25.4,FALSE,10.4,FALSE
Iowa,2010,FALSE,64.35,33.3,0,-31.05,FALSE,-42.3,FALSE
Iowa,2014,FALSE,52.1,43.76,0,-8.34,TRUE,,FALSE
Iowa,2016,FALSE,60.09,35.66,0,-24.43,FALSE,-31.05,FALSE
Iowa,2020,FALSE,51.74,45.15,0,-6.59,FALSE,-8.34,FALSE
Iowa,2022,FALSE,56.01,43.84,0,-12.17,FALSE,-24.43,FALSE
Kansas,2002,FALSE,82.52,0,0,-82.52,FALSE,-27.59,FALSE
Kansas,2004,FALSE,69.16,27.49,0,-41.67,FALSE,-33.68,FALSE
Kansas,2008,FALSE,60.06,36.46,0,-23.6,FALSE,-82.52,FALSE
Kansas,2010,FALSE,70.09,26.38,0,-43.71,TRUE,,FALSE
Kansas,2014,FALSE,53.15,0,0,-53.15,FALSE,-23.6,FALSE
Kansas,2016,FALSE,62.18,32.24,0,-29.94,FALSE,-43.71,FALSE
Kansas,2020,FALSE,53.22,41.79,0,-11.43,TRUE,,FALSE
Kansas,2022,FALSE,60,37.04,0,-22.96,FALSE,-29.94,FALSE
Kentucky,2002,FALSE,64.68,35.32,0,-29.36,FALSE,-12.61,FALSE
Kentucky,2004,FALSE,50.66,49.34,0,-1.32,FALSE,-0.59,FALSE
Kentucky,2008,FALSE,52.97,47.03,0,-5.94,FALSE,-29.36,FALSE
Kentucky,2010,FALSE,55.73,44.25,0,-11.48,TRUE,,FALSE
Kentucky,2014,FALSE,56.19,40.72,0,-15.47,FALSE,-5.94,FALSE
Kentucky,2016,FALSE,57.27,42.73,0,-14.54,FALSE,-11.48,FALSE
Kentucky,2020,FALSE,57.76,38.23,0,-19.53,FALSE,-15.47,FALSE
Kentucky,2022,FALSE,61.8,38.19,0,-23.61,FALSE,-14.54,FALSE
Louisiana,2002,FALSE,48.3,51.7,0,3.4,FALSE,0.34,FALSE
Louisiana,2004,FALSE,51.03,47.48,0,-3.55,TRUE,,FALSE
Louisiana,2008,FALSE,45.72,52.11,0,6.39,FALSE,3.4,FALSE
Louisiana,2010,FALSE,56.55,37.67,0,-18.88,FALSE,-3.55,FALSE
Louisiana,2014,FALSE,55.93,44.07,0,-11.86,FALSE,6.39,FALSE
Louisiana,2016,FALSE,60.65,39.35,0,-21.3,TRUE,,FALSE
Louisiana,2020,FALSE,61.17,35.28,0,-25.89,FALSE,-11.86,FALSE
Louisiana,2022,FALSE,63.39,34.77,0,-28.62,FALSE,-21.3,FALSE
Maine,2002,FALSE,58.44,41.56,0,-16.88,FALSE,-5.31,FALSE
Maine,2006,FALSE,74.01,20.59,0,-53.42,FALSE,-37.88,FALSE
Maine,2008,FALSE,61.33,38.58,0,-22.75,FALSE,-16.88,FALSE
Maine,2012,FALSE,30.75,13.26,0,-17.49,TRUE,,FALSE
Maine,2014,FALSE,68.46,31.5,0,-36.96,FALSE,-22.75,FALSE
Maine,2018,FALSE,35.23,10.45,0,-24.78,FALSE,-24.78,FALSE
Maine,2020,FALSE,50.98,42.39,0,-8.59,FALSE,-36.96,FALSE
Maryland,2004,FALSE,33.72,64.8,0,31.08,FALSE,41.01,FALSE
Maryland,2006,FALSE,44.19,54.21,0,10.02,TRUE,,FALSE
Maryland,2010,FALSE,35.75,62.19,0,26.44,FALSE,31.08,FALSE
Maryland,2012,FALSE,26.33,55.98,0,29.65,FALSE,10.02,FALSE
Maryland,2016,FALSE,35.67,60.89,0,25.22,TRUE,,FALSE
Maryland,2018,FALSE,30.31,64.86,0,34.55,FALSE,29.65,FALSE
Maryland,2022,FALSE,34.07,65.77,0,31.7,FALSE,25.22,FALSE
Massachusetts,2002,FALSE,0,80.03,18.43,80.03,FALSE,7.8,FALSE
Massachusetts,2006,FALSE,30.55,69.3,0,38.75,FALSE,59.83,FALSE
Massachusetts,2008,FALSE,30.93,65.86,0,34.93,FALSE,80.03,FALSE
Massachusetts,2010,TRUE,51.83,47.07,0,-4.76,TRUE,,FALSE
Massachusetts,2012,FALSE,46.19,53.74,0,7.55,FALSE,-4.76,FALSE
Massachusetts,2013,TRUE,44.6,54.8,0,10.2,TRUE,,FALSE
Massachusetts,2014,FALSE,37.98,61.87,0,23.89,FALSE,10.2,FALSE
Massachusetts,2018,FALSE,36.17,60.34,0,24.17,FALSE,7.55,FALSE
Massachusetts,2020,FALSE,33.05,66.15,0,33.1,FALSE,23.89,FALSE
Michigan,2002,FALSE,37.89,60.61,0,22.72,FALSE,18.5,FALSE
Michigan,2006,FALSE,41.26,56.91,0,15.65,FALSE,1.61,FALSE
Michigan,2008,FALSE,33.8,62.7,0,28.9,FALSE,22.72,FALSE
Michigan,2012,FALSE,37.98,58.8,0,20.82,FALSE,15.65,FALSE
Michigan,2014,FALSE,41.33,54.61,0,13.28,TRUE,,FALSE
Michigan,2018,FALSE,45.76,52.26,0,6.5,FALSE,20.82,FALSE
Michigan,2020,FALSE,48.22,49.9,0,1.68,FALSE,54.61,FALSE
Minnesota,2002,FALSE,49.53,47.84,0,-1.69,TRUE,,FALSE
Minnesota,2006,FALSE,37.94,58.06,0,20.12,TRUE,,FALSE
Minnesota,2008,FALSE,41.98,41.99,0,0.01,FALSE,-1.69,FALSE
Minnesota,2012,FALSE,30.53,65.23,0,34.7,FALSE,20.12,FALSE
Minnesota,2014,FALSE,42.91,53.15,0,10.24,FALSE,0.01,FALSE
Minnesota,2018,TRUE,42.35,52.97,0,10.62,TRUE,,FALSE
Minnesota,2018,FALSE,36.21,60.31,0,24.1,FALSE,34.7,FALSE
Minnesota,2020,FALSE,43.5,48.74,0,5.24,FALSE,10.62,FALSE
Mississippi,2002,FALSE,84.58,0,15.42,-84.58,FALSE,-43.6,FALSE
Mississippi,2006,FALSE,63.58,34.87,0,-28.71,FALSE,-34.3,FALSE
Mississippi,2008,TRUE,54.96,45.04,0,-9.92,TRUE,,FALSE
Mississippi,2008,FALSE,61.44,38.56,0,-22.88,FALSE,-84.58,FALSE
Mississippi,2012,FALSE,57.16,40.55,0,-16.61,FALSE,-9.92,FALSE
Mississippi,2014,FALSE,59.9,37.89,0,-22.01,FALSE,-22.88,FALSE
Mississippi,2018,TRUE,53.63,46.37,0,-7.26,TRUE,,FALSE
Mississippi,2018,FALSE,58.49,39.47,0,-19.02,FALSE,-16.61,FALSE
Mississippi,2020,FALSE,54.11,44.13,0,-9.98,FALSE,-7.26,FALSE
Missouri,2002,TRUE,49.8,48.67,0,-1.13,TRUE,,FALSE
Missouri,2004,FALSE,56.09,42.8,0,-13.29,FALSE,-8.91,FALSE
Missouri,2006,FALSE,47.3,49.6,0,2.3,FALSE,-1.13,FALSE
Missouri,2010,FALSE,54.23,40.63,0,-13.6,TRUE,,FALSE
Missouri,2012,FALSE,39.11,54.81,0,15.7,FALSE,2.3,FALSE
Missouri,2016,FALSE,49.18,46.39,0,-2.79,FALSE,-13.6,FALSE
Missouri,2018,FALSE,51.38,45.57,0,-5.81,FALSE,15.7,FALSE
Missouri,2022,FALSE,55.43,42.18,0,-13.25,TRUE,,FALSE
Montana,2002,FALSE,31.73,62.74,0,31.01,FALSE,4.86,FALSE
Montana,2006,FALSE,48.29,49.16,0,0.87,FALSE,-3.31,FALSE
Montana,2008,FALSE,27.08,72.92,0,45.84,FALSE,31.01,FALSE
Montana,2012,FALSE,44.86,48.58,0,3.72,FALSE,0.87,FALSE
Montana,2014,FALSE,57.79,40.09,0,-17.7,TRUE,,FALSE
Montana,2018,FALSE,46.78,50.33,0,3.55,FALSE,3.72,FALSE
Montana,2020,FALSE,55.01,44.99,0,-10.02,FALSE,-17.7,FALSE
Nebraska,2002,FALSE,82.76,14.64,0,-68.12,FALSE,-14.48,FALSE
Nebraska,2006,FALSE,36.12,63.88,0,27.76,FALSE,2.18,FALSE
Nebraska,2008,FALSE,57.52,40.06,0,-17.46,TRUE,,FALSE
Nebraska,2012,FALSE,57.77,42.23,0,-15.54,TRUE,,FALSE
Nebraska,2014,FALSE,64.34,31.49,0,-32.85,TRUE,,FALSE
Nebraska,2018,FALSE,57.69,38.62,0,-19.07,FALSE,-15.54,FALSE
Nebraska,2020,FALSE,62.74,30.71,0,-32.03,FALSE,-32.85,FALSE
Nevada,2004,FALSE,35.14,61.08,0,25.94,FALSE,0.09,FALSE
Nevada,2006,FALSE,55.36,40.99,0,-14.37,FALSE,-15.4,FALSE
Nevada,2010,FALSE,44.55,50.29,0,5.74,FALSE,25.94,FALSE
Nevada,2012,FALSE,45.87,44.71,0,-1.16,TRUE,,FALSE
Nevada,2016,FALSE,44.67,47.1,0,2.43,TRUE,,FALSE
Nevada,2018,FALSE,45.38,50.41,0,5.03,FALSE,-1.16,FALSE
Nevada,2022,FALSE,48.04,48.81,0,0.77,FALSE,2.43,FALSE
New Hampshire,2002,FALSE,51.12,46.67,0,-4.45,TRUE,,FALSE
New Hampshire,2004,FALSE,66.24,33.75,0,-32.49,FALSE,-39.6,FALSE
New Hampshire,2008,FALSE,45.28,51.62,0,6.34,FALSE,-4.45,FALSE
New Hampshire,2010,FALSE,60.09,36.85,0,-23.24,TRUE,,FALSE
New Hampshire,2014,FALSE,48.21,51.46,0,3.25,FALSE,6.34,FALSE
New Hampshire,2016,FALSE,47.84,47.98,0,0.14,FALSE,-23.24,FALSE
New Hampshire,2020,FALSE,40.99,56.63,0,15.64,FALSE,3.25,FALSE
New Hampshire,2022,FALSE,44.4,53.5,0,9.1,FALSE,0.14,FALSE
New Jersey,2002,FALSE,43.95,53.88,0,9.93,TRUE,,FALSE
New Jersey,2006,FALSE,44.34,53.37,0,9.03,FALSE,,FALSE
New Jersey,2008,FALSE,41.95,56.03,0,14.08,FALSE,9.93,FALSE
New Jersey,2012,FALSE,39.37,58.87,0,19.5,FALSE,9.03,FALSE
New Jersey,2013,TRUE,44.92,54.92,0,10,TRUE,,FALSE
New Jersey,2014,FALSE,42.33,55.84,0,13.51,FALSE,10,FALSE
New Jersey,2018,FALSE,42.83,54.01,0,11.18,FALSE,19.5,FALSE
New Jersey,2020,FALSE,40.92,57.23,0,16.31,FALSE,13.51,FALSE
New Mexico,2002,FALSE,65.04,34.96,0,-30.08,FALSE,34.95,FALSE
New Mexico,2006,FALSE,29.33,70.61,0,41.28,FALSE,23.45,FALSE
New Mexico,2008,FALSE,38.67,61.33,0,22.66,TRUE,,FALSE
New Mexico,2012,FALSE,45.28,51.01,0,5.73,TRUE,,FALSE
New Mexico,2014,FALSE,44.44,55.56,0,11.12,FALSE,22.66,FALSE
New Mexico,2018,FALSE,30.53,54.09,15.38,23.56,FALSE,5.73,FALSE
New Mexico,2020,FALSE,45.62,51.73,0,6.11,TRUE,11.12,FALSE
New York,2004,FALSE,24.24,71.16,0,46.92,FALSE,10.54,FALSE
New York,2006,FALSE,31.01,67,0,35.99,FALSE,12.26,FALSE
New York,2010,TRUE,35.11,62.95,0,27.84,FALSE,,FALSE
New York,2010,FALSE,32.21,66.33,0,34.12,FALSE,46.92,FALSE
New York,2012,FALSE,26.34,72.21,0,45.87,FALSE,27.84,FALSE
New York,2016,FALSE,27.18,70.64,0,43.46,FALSE,34.12,FALSE
New York,2018,FALSE,33,67,0,34,FALSE,45.87,FALSE
New York,2022,FALSE,42.76,56.78,0,14.02,FALSE,43.46,FALSE
North Carolina,2002,FALSE,53.56,44.96,0,-8.6,TRUE,,FALSE
North Carolina,2004,FALSE,51.6,47.02,0,-4.58,TRUE,,FALSE
North Carolina,2008,FALSE,44.18,52.65,0,8.47,FALSE,,FALSE
North Carolina,2010,FALSE,54.81,43.05,0,-11.76,FALSE,-4.58,FALSE
North Carolina,2014,FALSE,48.82,47.26,0,-1.56,FALSE,,FALSE
North Carolina,2016,FALSE,51.06,45.37,0,-5.69,FALSE,-11.76,FALSE
North Carolina,2020,FALSE,48.69,46.94,0,-1.75,FALSE,-1.56,FALSE
North Carolina,2022,FALSE,50.5,47.3,0,-3.2,TRUE,,FALSE
North Dakota,2004,FALSE,31.72,67.28,0,35.56,FALSE,28,FALSE
North Dakota,2006,FALSE,29.53,68.83,0,39.3,FALSE,22.74,FALSE
North Dakota,2010,FALSE,76.08,22.17,0,-53.91,TRUE,,FALSE
North Dakota,2012,FALSE,49.32,50.24,0,0.92,TRUE,,FALSE
North Dakota,2016,FALSE,78.48,16.97,0,-61.51,FALSE,-53.91,FALSE
North Dakota,2018,FALSE,55.11,44.27,0,-10.84,FALSE,,FALSE
North Dakota,2022,FALSE,56.41,24.98,18.49,-31.43,FALSE,-61.51,FALSE
Ohio,2004,FALSE,63.85,36.14,0,-27.71,FALSE,-12.92,FALSE
Ohio,2006,FALSE,43.82,56.16,0,12.34,FALSE,,FALSE
Ohio,2010,FALSE,56.85,39.4,0,-17.45,TRUE,,FALSE
Ohio,2012,FALSE,44.7,50.7,0,6,FALSE,,FALSE
Ohio,2016,FALSE,58.03,37.16,0,-20.87,FALSE,-17.45,FALSE
Ohio,2018,FALSE,46.57,53.41,0,6.84,FALSE,6,FALSE
Ohio,2022,FALSE,53.04,46.92,0,-6.12,TRUE,-20.87,FALSE
Oklahoma,2002,FALSE,57.3,36.31,0,-20.99,FALSE,16.6,FALSE
Oklahoma,2004,FALSE,70.62,26.13,0,-44.49,FALSE,11.53,FALSE
Oklahoma,2008,FALSE,56.68,39.18,0,-17.5,FALSE,-20.99,FALSE
Oklahoma,2010,FALSE,70.64,26.13,0,-44.51,FALSE,-44.49,FALSE
Oklahoma,2014,TRUE,67.85,28.98,0,-38.87,TRUE,,FALSE
Oklahoma,2014,FALSE,68.01,28.55,0,-39.46,FALSE,-17.5,FALSE
Oklahoma,2016,FALSE,67.74,24.58,0,-43.16,FALSE,-38.87,FALSE
Oklahoma,2020,FALSE,62.91,32.75,0,-30.16,FALSE,-39.46,FALSE
Oklahoma,2022,TRUE,61.77,35.24,0,-26.53,TRUE,,FALSE
Oklahoma,2022,FALSE,64.3,32.1,0,-32.2,FALSE,-43.16,FALSE
Oregon,2002,FALSE,56.21,39.61,0,-16.6,FALSE,-0.9,FALSE
Oregon,2004,FALSE,31.75,63.39,0,31.64,FALSE,27.26,FALSE
Oregon,2008,FALSE,45.55,48.9,0,3.35,FALSE,,FALSE
Oregon,2010,FALSE,39.25,57.22,0,17.97,FALSE,31.64,FALSE
Oregon,2014,FALSE,36.87,55.73,0,18.86,FALSE,3.35,FALSE
Oregon,2016,FALSE,33.35,56.6,0,23.25,FALSE,17.97,FALSE
Oregon,2020,FALSE,39.32,56.91,0,17.59,FALSE,18.86,FALSE
Oregon,2022,FALSE,40.92,55.83,0,14.91,FALSE,23.25,FALSE
Pennsylvania,2004,FALSE,52.62,41.99,0,-10.63,FALSE,-26.55,FALSE
Pennsylvania,2006,FALSE,41.28,58.64,0,17.36,FALSE,,FALSE
Pennsylvania,2010,FALSE,51.01,48.99,0,-2.02,TRUE,,FALSE
Pennsylvania,2012,FALSE,44.59,53.69,0,9.1,FALSE,17.36,FALSE
Pennsylvania,2016,FALSE,48.7,47.34,0,-1.36,FALSE,-2.02,FALSE
Pennsylvania,2018,FALSE,42.62,55.74,0,13.12,FALSE,9.1,FALSE
Pennsylvania,2022,FALSE,46.3,51.3,0,5,TRUE,,FALSE
Rhode Island,2002,FALSE,21.57,48.43,0,26.86,FALSE,28.35,FALSE
Rhode Island,2006,FALSE,46.48,53.52,0,7.04,FALSE,,FALSE
Rhode Island,2008,FALSE,26.6,73.4,0,46.8,FALSE,26.86,FALSE
Rhode Island,2012,FALSE,34.97,64.81,0,29.84,FALSE,7.04,FALSE
Rhode Island,2014,FALSE,29.25,70.58,0,41.33,FALSE,46.8,FALSE
Rhode Island,2018,FALSE,38.33,61.44,0,23.11,FALSE,29.84,FALSE
Rhode Island,2020,FALSE,33.35,66.48,0,33.13,FALSE,41.33,FALSE
South Carolina,2002,FALSE,54.4,44.19,0,-10.21,TRUE,,FALSE
South Carolina,2004,FALSE,53.67,44.1,0,-9.57,TRUE,,FALSE
South Carolina,2008,FALSE,57.52,42.25,0,-15.27,FALSE,-10.21,FALSE
South Carolina,2010,FALSE,61.48,27.65,9.21,-33.83,FALSE,-9.57,FALSE
South Carolina,2014,TRUE,61.12,37.09,0,-24.03,FALSE,,FALSE
South Carolina,2014,FALSE,54.27,38.78,0,-15.49,FALSE,-15.27,FALSE
South Carolina,2016,FALSE,60.57,36.93,0,-23.64,FALSE,-24.03,FALSE
South Carolina,2020,FALSE,54.44,44.17,0,-10.27,FALSE,-15.49,FALSE
South Carolina,2022,FALSE,62.88,37.01,0,-25.87,FALSE,-23.64,FALSE
South Dakota,2002,FALSE,49.47,49.62,0,0.15,FALSE,2.64,FALSE
South Dakota,2004,FALSE,50.58,49.42,0,-1.16,FALSE,,FALSE
South Dakota,2008,FALSE,37.51,62.49,0,24.98,FALSE,0.15,FALSE
South Dakota,2010,FALSE,100,0,0,-100,FALSE,-1.16,TRUE
South Dakota,2014,FALSE,50.37,29.51,17.09,-20.86,TRUE,,FALSE
South Dakota,2016,FALSE,71.83,28.17,0,-43.66,FALSE,-100,FALSE
South Dakota,2020,FALSE,65.74,34.26,0,-31.48,FALSE,-20.86,FALSE
South Dakota,2022,FALSE,69.63,26.15,0,-43.48,FALSE,-43.66,FALSE
Tennessee,2002,FALSE,54.28,44.34,0,-9.94,TRUE,,FALSE
Tennessee,2006,FALSE,50.71,47.99,0,-2.72,TRUE,,FALSE
Tennessee,2008,FALSE,65.14,31.64,0,-33.5,FALSE,-9.94,FALSE
Tennessee,2012,FALSE,64.89,30.41,0,-34.48,FALSE,-2.72,FALSE
Tennessee,2014,FALSE,61.87,31.87,0,-30,FALSE,-33.5,FALSE
Tennessee,2018,FALSE,54.71,43.92,0,-10.79,TRUE,,FALSE
Tennessee,2020,FALSE,62.2,35.16,0,-27.04,TRUE,,FALSE
Texas,2002,FALSE,55.3,43.33,0,-11.97,TRUE,,FALSE
Texas,2006,FALSE,61.69,36.04,0,-25.65,FALSE,-32.77,FALSE
Texas,2008,FALSE,54.82,42.84,0,-11.98,FALSE,-11.97,FALSE
Texas,2012,FALSE,56.46,40.62,0,-15.84,TRUE,,FALSE
Texas,2014,FALSE,61.56,34.36,0,-27.2,FALSE,-11.98,FALSE
Texas,2018,FALSE,50.89,48.33,0,-2.56,FALSE,-15.84,FALSE
