"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H8AZ05089","KNAPEREK, LAURA","C","REP",205503.18,155259.54,"AZ","05",NA,NA,NA,NA
"H8AZ05105","HATCH-MILLER, JEFFREY MARK","C","REP",90068.72,72678.18,"AZ","05",NA,NA,NA,NA
"H8AZ05113","ANDERSON, MARK","C","REP",149257.17,136888.25,"AZ","05",NA,NA,NA,NA
"H8AZ05121","GENTRY, LEE ADAM","C","REP",22121,2125,"AZ","05",NA,NA,NA,NA
"H8AZ06046","GRAMAZIO, CHRIS","C","DEM",7099,4352,"AZ","06",NA,NA,NA,NA
"H8AZ06053","SCHNEIDER, REBECCA","C","DEM",4890.12,4415.12,"AZ","06",NA,"W",NA,"L"
"H0AZ01184","FLAKE, JEFF MR.","I","REP",1289324.86,1131981.46,"AZ","06",NA,"W",NA,"W"
"H2AZ07070","GRIJALVA, RAUL M MR.","I","DEM",708518.02,372072.2,"AZ","07",NA,"W",NA,"W"
"H6AZ07014","DRAKE, RON","C","REP",0,0,"AZ","07",NA,NA,NA,NA
"H8AZ07010","CHEWNING, GENE MILTON","C","REP",8455,7626,"AZ","07",NA,NA,NA,NA
"H4AZ08025","LEISTER, DWIGHT D","O","DEM",18097,25600,"AZ","08",NA,NA,NA,NA
"H6AZ08020","LATAS, JEFFREY LYNN","O","DEM",900,0,"AZ","08",NA,NA,NA,NA
"H6AZ08038","GIFFORDS, GABRIELLE","I","DEM",3303135.72,2206625.73,"AZ","08",NA,"W",NA,"W"
"H6AZ08046","SHACTER, FRANCINE ENID","O","DEM",0,0,"AZ","08",NA,NA,NA,NA
"H6AZ08061","WEISS, PATTY","O","DEM",0.34,0,"AZ","08",NA,NA,NA,NA
"H2AZ02014","KOLBE, JAMES T","C","REP",13108.76,0,"AZ","08",NA,NA,NA,NA
"H4AZ08017","GRAF, RANDALL RANDY","O","REP",12633.02,6330,"AZ","08",NA,NA,NA,NA
"H6AZ08129","ANTENORI, FRANK RONALD","O","REP",0,0,"AZ","08",NA,NA,NA,NA
"H8AZ08018","BEE, TIMOTHY","C","REP",1949495.89,1472802.44,"AZ","08",NA,"W",NA,"L"
"H8AZ08026","HITTSON, PAUL HENRY","C","REP",1336,0,"AZ","08",NA,NA,NA,NA
"H4AZ08058","BACAL, EVA K","C","Dem",25,25,"AZ","08",NA,NA,NA,NA
"H6AZ08103","QUICK, JAY DUDLEY","C","IND",0,0,"AZ","08",NA,NA,NA,NA
"H6AZ08137","NOLAN, DAVID F","C","LIB",0,0,"AZ","08",NA,NA,NA,NA
"H8CA00077","LESSIG, LAWRENCE","C","DEM",60285.76,42342.01,"CA","00",NA,NA,NA,NA
"H6CA01103","ALIOTO, MICHELA A","C","DEM",523965.72,0,"CA","01",NA,NA,NA,NA
"H8CA01109","THOMPSON, MIKE MR.","I","DEM",1916759.22,989087.69,"CA","01",NA,"W",NA,"W"
"H6CA01152","JOHN W, JONES","C","REP",178,150,"CA","01",NA,NA,NA,NA
"H8CA01158","PHARR, DOUGLAS ALAN","C","REP",12040.85,7909,"CA","01",NA,NA,NA,NA
"H8CA01182","WOLMAN, CAROL S DR","C","GRE",6428,5728,"CA","01",NA,"W",NA,"L"
"H4CA02072","SEKHON, A.J.","C","DEM",653,653,"CA","02",NA,NA,NA,NA
"H8CA02073","MORRIS, JEFFREY W","C","DEM",59066.22,56447.83,"CA","02",NA,"W",NA,"L"
"H6CA02010","HERGER, WALLY","I","REP",970059.19,274747,"CA","02",NA,"W",NA,"W"
"H6CA03091","DURSTON, BILL","C","DEM",729276.61,530202.32,"CA","03",NA,"W",NA,"L"
"H6CA34112","LUNGREN, DANIEL E","I","REP",904199.4,417399.56,"CA","03",NA,"W",NA,"W"
"H8CA05134","TUMA, DOUGLAS ARTHUR","C","LIB",5,5,"CA","03",NA,NA,NA,NA
"H6CA04123","BROWN, CHARLES","O","DEM",2570019.4,1960733.95,"CA","04",NA,"W",NA,"L"
"H0CA14042","DOOLITTLE, JOHN","I","REP",407669.44,229424.6,"CA","04",NA,NA,NA,NA
"H4CA03070","OLLER, THOMAS (RICO)","C","REP",169489.88,109876,"CA","04",NA,NA,NA,NA
"H6CA04107","HOLMES, JOHN MICHAEL","O","REP",26094.81,25094.81,"CA","04",NA,NA,NA,NA
"H8CA03105","OSE, DOUG","C","REP",9192211.26,1839903.25,"CA","04",NA,NA,NA,NA
"H8CA04137","EGLAND, ERIC IVER","O","REP",199399.43,197565.52,"CA","04",NA,NA,NA,NA
"H8CA04145","TERBOLIZARD, THEODORE TERBO","O","REP",42464,10372,"CA","04",NA,NA,NA,NA
"H8CA04152","MCCLINTOCK, THOMAS","O","REP",3671855.87,3119388.35,"CA","04",NA,"W",NA,"W"
"H8CA04160","JONES, SUZANNE VERONICA","O","REP",11663,3029,"CA","04",NA,NA,NA,NA
"H2CA04072","KIRBY, WILLIAM WARNER","C","IND",0,0,"CA","04",NA,NA,NA,NA
"H6CA05195","MATSUI, DORIS","I","DEM",964540.71,405440.03,"CA","05",NA,"W",NA,"W"
"H8CA05159","SMITH, PAUL","C","REP",4000,500,"CA","05",NA,"W",NA,"L"
"H6CA05310","KRAVITZ, JEFFREY S","C","GRE",107,107,"CA","05",NA,NA,NA,NA
"H8CA05167","LYNCH, DAVID BRIAN","C","IND",3978,1601,"CA","05",NA,NA,NA,NA
"H2CA01045","WOOLSEY, LYNN C","I","DEM",732492.13,419260.63,"CA","06",NA,"W",NA,"W"
"H2CA06101","NATION, JOE","C","DEM",1086,0,"CA","06",NA,NA,NA,NA
"H6CA06193","HALLIWELL, MICHAEL JOHN","C","REP",56448,7870,"CA","06",NA,"W",NA,"L"
"H6CA07043","MILLER, GEORGE","I","DEM",1155886.75,494346.26,"CA","07",NA,"W",NA,"W"
"H8CA07049","PETERSEN, ROGER","C","REP",13161,3039,"CA","07",NA,"W",NA,"L"
"H8CA05035","PELOSI, NANCY","I","DEM",2856948.87,1339781.5,"CA","08",NA,"W",NA,"W"
"H8CA08070","GOLUB, SHIRLEY","C","DEM",158536.28,150345.21,"CA","08",NA,NA,NA,NA
"H6CA08132","CHAVEZ-O'CHOA, BRIAN MR","C","REP",5593.08,4953.08,"CA","08",NA,NA,NA,NA
"H6CA08140","DENUNZIO, MICHAEL ANTHONY","C","REP",355.68,0,"CA","08",NA,NA,NA,NA
"H8CA08062","WALSH, DANA","C","REP",720925.88,709508.13,"CA","08",NA,"W",NA,"L"
"H8CA08088","SHEEHAN, CINDY","C","UNK",630781.84,616023.34,"CA","08",NA,NA,NA,"L"
"H8CA09060","LEE, BARBARA","I","DEM",1051441.01,753089.19,"CA","09",NA,"W",NA,"W"
"H6CA09080","DULK, JOHN D","C","REP",5409.97,27,"CA","09",NA,NA,NA,NA
"H6CA10088","TAUSCHER, ELLEN O.","I","DEM",1289088.09,381855.68,"CA","10",NA,"W",NA,"W"
"H4CA10067","KETELSON, JEFFREY R","C","REP",4516,0,"CA","10",NA,NA,NA,NA
"H6CA10138","LINN, DARCY","C","REP",0,0,"CA","10",NA,NA,NA,NA
"H8CA10084","GERBER, NICHOLAS","C","REP",102197.74,28562.74,"CA","10",NA,"W",NA,"L"
"H4CA11081","MCNERNEY, JERRY","I","DEM",3047777.53,1976341.94,"CA","11",NA,"W",NA,"W"
"H2CA11051","POMBO, RICHARD","C","REP",66191.85,2000,"CA","11",NA,NA,NA,NA
"H6CA11144","MCCLOSKEY, PAUL N JR MR","C","REP",51826.79,51447.74,"CA","11",NA,NA,NA,NA
"H8CA11082","ANDAL, DEAN F","C","REP",1422823.98,924180.45,"CA","11",NA,"W",NA,"L"
"H0CA11022","LANTOS, TOM","I","DEM",568664.26,377821,"CA","12",NA,NA,NA,NA
"H2CA12158","ABU-GHAZALAH, MAAD H H","C","DEM",0,0,"CA","12",NA,NA,NA,NA
"H6CA12159","BARROWS, ROBERT MILTON","O","DEM",6918,4575,"CA","12",NA,NA,NA,NA
"H8CA12163","JONES, JASON LEE","O","DEM",19771.56,11771.56,"CA","12",NA,NA,NA,NA
"H8CA12171","SPEIER, JACKIE","O","DEM",1564739.67,1202999.66,"CA","12","W","W",NA,"W"
"H8CA12189","MCMURRY, MICHELLE TAYLOR","O","DEM",14470,9270,"CA","12",NA,NA,NA,NA
"H8CA12197","CONLON, GREG","O","REP",107095.93,73078.57,"CA","12",NA,"W",NA,"L"
"H4CA12089","HERMANSON, BARRY","O","GRE",26411,3411,"CA","12",NA,"W",NA,"L"
"H6CA09023","STARK, PETE","I","DEM",913169.6,111600.35,"CA","13",NA,"W",NA,"W"
"H4CA13079","BRUNO, GEORGE I","C","REP",523.4,25,"CA","13",NA,NA,NA,NA
"H8CA12098","ESHOO, ANNA","I","DEM",1579255.17,766742.41,"CA","14",NA,"W",NA,"W"
"H6CA14098","BROUILLET, CAROL","C","GRE",0,0,"CA","14",NA,"W",NA,"L"
"H0CA15148","HONDA, MIKE","I","DEM",1001004.95,579513.8,"CA","15",NA,"W",NA,"W"
"H4CA15058","CHUKWU, RAYMOND LEMMY","C","REP",0,0,"CA","15",NA,NA,NA,NA
"H4CA16049","LOFGREN, ZOE","I","DEM",797812.7,319786.59,"CA","16",NA,"W",NA,"W"
"H4CA17021","FARR, SAM","I","DEM",743124.8,267525.15,"CA","17",NA,"W",NA,"W"
"H8CA17089","TAYLOR, JEFF","C","REP",157435.11,42159.31,"CA","17",NA,"W",NA,"L"
"H2CA18056","CARDOZA, DENNIS","I","DEM",1042844.25,415782.98,"CA","18",NA,"W",NA,"W"
"H6CA19113","COX, T J","C","DEM",15353.22,0,"CA","19",NA,NA,NA,NA
"H2CA19054","RADANOVICH, GEORGE","I","REP",728771.47,356280.81,"CA","19",NA,"W",NA,"W"
"H4CA20082","COSTA, JIM MR.","I","DEM",1026589.26,479786.91,"CA","20",NA,"W",NA,"W"
"H6CA20137","LOPEZ, JAMES","C","REP",27526,11826,"CA","20",NA,"W",NA,"L"
"H6CA21176","HAZE, ERNEST STEVEN","C","DEM",31281,6621,"CA","21",NA,NA,NA,NA
"H8CA21107","JOHNSON, LAWRENCE TUFTS","C","DEM",34469.01,9343,"CA","21",NA,"W",NA,"L"
"H8CA20059","NUNES, DEVIN G","I","REP",1195791.61,561993.9,"CA","21",NA,"W",NA,"W"
"H6CA22125","MCCARTHY, KEVIN","I","REP",1040021.89,501972.41,"CA","22",NA,"W",NA,"W"
"H8CA18020","THOMAS, WILLIAM M","C","REP",6250,0,"CA","22",NA,NA,NA,NA
"H8CA22089","CAPPS, LOIS G","I","DEM",1054980.51,559983.02,"CA","23",NA,"W",NA,"W"
"H2CA22116","REGAN, DONALD E","C","REP",1265.85,0,"CA","23",NA,NA,NA,NA
"H6CA00139","TOGNAZZINI, VICTOR  D.","C","REP",160.71,0,"CA","23",NA,NA,NA,NA
"H8CA23079","KOKKONEN, MATT","C","REP",61179.1,31078.74,"CA","23",NA,"W",NA,"L"
"H4CA24118","WAGNER, BRETT GRIFFIN","C","DEM",5811.84,5565,"CA","24",NA,NA,NA,NA
"H6CA24246","PALLANT, MARY","C","DEM",25447.44,23831.01,"CA","24",NA,NA,NA,NA
"H6CA24253","MARTINEZ, JILL MARIE","C","DEM",24341.01,22438.37,"CA","24",NA,NA,NA,NA
"H8CA24143","JORGENSEN, MARTA ANN","C","DEM",12655,6697,"CA","24",NA,"W",NA,"L"
"H6CA21028","GALLEGLY, ELTON","I","REP",743204.74,510525.14,"CA","24",NA,"W",NA,"W"
"H6CA24279","TENENBAUM, MICHAEL","C","REP",113723.37,103638,"CA","24",NA,NA,NA,NA
"H6CA25136","RODRIGUEZ, ROBERTO J","C","DEM",2500,0,"CA","25",NA,NA,NA,NA
"H8CA25058","CONAWAY, JACQUESE LYNN","C","DEM",10989,7374,"CA","25",NA,"W",NA,"L"
"H2CA25028","WYMAN, PHILLIP D","C","REP",0,0,"CA","25",NA,NA,NA,NA
"H2CA25036","MCKEON, HOWARD P ""BUCK""","I","REP",1053746.58,412029.04,"CA","25",NA,"W",NA,"W"
"H6CA26183","WARNER, RUSSELL","C","DEM",1309330.73,901663.38,"CA","26",NA,"W",NA,"L"
"H8CA26080","HILSMAN, HOYT","C","DEM",124750,24750,"CA","26",NA,NA,NA,NA
"H4CA26113","SARDO, S SONNY","C","REP",47781.4,38291,"CA","26",NA,NA,NA,NA
"H8CA35032","DREIER, DAVID","I","REP",1594347.06,895167.04,"CA","26",NA,"W",NA,"W"
"H6CA24113","SHERMAN, BRAD","I","DEM",1267711.19,684893.39,"CA","27",NA,"W",NA,"W"
"H8CA27088","SINGH, NAVRAJ","C","REP",37677,27677,"CA","27",NA,"W",NA,"L"
"H2CA26026","BERMAN, HOWARD L.","I","DEM",1191008.58,683495,"CA","28",NA,"W",NA,"W"
"H6CA28130","DELEAR, BYRON WALKER","C","DEM",49300,0,"CA","28",NA,NA,NA,NA
"H0CA27085","SCHIFF, ADAM","I","DEM",1190025.1,633321.65,"CA","29",NA,"W",NA,"W"
"H6CA29161","MCCLOSKEY, ROBERT G","C","DEM",14086.22,50,"CA","29",NA,NA,NA,NA
"H4CA29109","BODELL, WILLIAM","C","REP",0,0,"CA","29",NA,NA,NA,NA
"H8CA29076","HAHN, CHARLES JIN","C","REP",76102,73802,"CA","29",NA,"W",NA,"L"
"H6CA24048","WAXMAN, HENRY A.","I","DEM",990875.65,249970.56,"CA","30",NA,"W",NA,"W"
"H4CA30073","ELIZALDE, VICTOR DAVID","C","REP",0,-149070.59,"CA","30",NA,NA,NA,NA
"H6CA30151","JONES, DAVID NELSON","C","REP",2279,126,"CA","30",NA,NA,NA,NA
"H2CA30143","BECERRA, XAVIER","I","DEM",1557665.06,462804.03,"CA","31",NA,"W",NA,"W"
"H0CA31087","SOLIS, HILDA","I","DEM",800768.08,239452.72,"CA","32",NA,"W",NA,"W"
"H2CA32073","MURRAY, KEVIN","C","DEM",0,0,"CA","32",NA,NA,NA,NA
"H0CA32093","HENTSCHEL, NOEL IRWIN","C","REP",0,0,"CA","32",NA,NA,NA,NA
"H2CA32099","WATSON, DIANE E E","I","DEM",233833.62,80115.4,"CA","33",NA,"W",NA,"W"
"H8CA33243","CROWLEY, DAVID COCHRANE II","C","REP",6307,4852,"CA","33",NA,"W",NA,"L"
"H2CA33048","ROYBAL-ALLARD, LUCILLE","I","DEM",592198.72,247713.95,"CA","34",NA,"W",NA,"W"
"H8CA34084","BALDING, CHRISTOPHER","C","REP",4775,4400,"CA","34",NA,"W",NA,"L"
"H4CA23011","WATERS, MAXINE","I","DEM",781103.12,276570.19,"CA","35",NA,"W",NA,"W"
"H8CA35099","HAYES, THEODORE JR","C","REP",13227,12075,"CA","35",NA,"W",NA,"L"
"H2CA27107","HARMAN, JANE","I","DEM",600684.74,249407.44,"CA","36",NA,"W",NA,"W"
"H6CA36117","WINOGRAD, MARCY","C","DEM",0,0,"CA","36",NA,NA,NA,NA
"H4CA36096","WHITEHEAD, PAUL","C","REP",0,0,"CA","36",NA,NA,NA,NA
"H6CA36125","GIBSON, BRIAN","C","REP",9746,4823,"CA","36",NA,"W",NA,"L"
"H2CA38062","MATHEWS, PETER MR.","C","DEM",97690.09,52088.02,"CA","37","L",NA,NA,NA
"H6CA37222","MILLENDER-MCDONALD, JUANITA","I","DEM",31712.52,8500,"CA","37",NA,NA,NA,NA
"H8CA37137","RICHARDSON, LAURA","I","DEM",1104664.57,243441.25,"CA","37","W","W",NA,"W"
"H8CA37145","OROPEZA, JENNY","O","DEM",392166.43,154385.42,"CA","37","L",NA,NA,NA
"H8CA37152","PARMER, GEORGE A JR","O","DEM",2292,1795,"CA","37","L",NA,NA,NA
"H8CA37160","GRISOLIA, BILL","O","DEM",54697,36572,"CA","37","L",NA,NA,NA
"H8CA37194","MCDONALD, VALERIE J","O","DEM",52547.21,28139,"CA","37","L",NA,NA,NA
"H8CA37210","WILSON, ED","O","DEM",26370,6370,"CA","37","L",NA,NA,NA
"H8CA37129","GUILLORY, BISHOP LEROY JOSEPH L J","O","REP",11144,200,"CA","37","L",NA,NA,NA
"H8CA37285","POUESI, JUNE","C","REP",7622,7622,"CA","37",NA,NA,NA,NA
"H8CA37277","DIBS, NICHOLAS ""NICK""","C","IND",64896.23,905,"CA","37",NA,NA,NA,"L"
"H8CA34068","NAPOLITANO, GRACE","I","DEM",425762.9,151118.47,"CA","38",NA,"W",NA,"W"
"H2CA39078","SANCHEZ, LINDA","I","DEM",616886.61,237112.01,"CA","39",NA,"W",NA,"W"
"H6CA39129","ANDION, JAMES LEE","C","REP",0,0,"CA","39",NA,NA,NA,NA
"H8CA39125","LENNING, DIANE A","C","REP",14949,5830,"CA","39",NA,"W",NA,"L"
"H6CA40267","HOFFMAN, FLORICE OREA","C","DEM",20584.51,466.07,"CA","40",NA,NA,NA,NA
"H6CA39020","ROYCE, ED MR","I","REP",1644382.23,882414,"CA","40",NA,"W",NA,"W"
"H8CA41113","MEAGHER, PATRICK HAROLD","C","DEM",25340,8593,"CA","41",NA,NA,NA,NA
"H8CA41121","PRINCE, TIMOTHY P","C","DEM",132417.91,28017.1,"CA","41",NA,"W",NA,"L"
"H8CA37079","LEWIS, JERRY","I","REP",1185605.67,280795.27,"CA","41",NA,"W",NA,"W"
"H8CA42194","SHEPSTON, RONALD W II","C","DEM",106220.35,67070.16,"CA","42",NA,NA,NA,NA
"H8CA42202","CHAU, EDWIN","C","DEM",359177.07,208710.18,"CA","42",NA,"W",NA,"L"
"H8CA41063","MILLER, GARY G HON.","I","REP",620757.69,309236,"CA","42",NA,"W",NA,"W"
"H6CA41174","CONTRERAS, LOUIE A","C","DEM",0,0,"CA","43",NA,NA,NA,NA
"H6CA42099","BACA, JOE","I","DEM",941700.85,349528.43,"CA","43",NA,"W",NA,"W"
"H8CA43101","GILBERT, JOANNE","C","DEM",27585.07,13235.07,"CA","43",NA,NA,NA,NA
"H6CA43121","FOLKENS, SCOTT LLOYD","C","REP",5615,5484,"CA","43",NA,NA,NA,NA
"H8CA43119","ROBERTS, JOHN","C","REP",78520.29,62703.12,"CA","43",NA,"W",NA,"L"
"H0CA44080","GORDON, JON","C","DEM",0,0,"CA","44",NA,NA,NA,NA
"H2CA44128","VANDENBERG, LOUIS","C","DEM",0,0,"CA","44",NA,NA,NA,NA
"H8CA44091","HEDRICK, WILLIAM EUGENE","C","DEM",212396.32,153224.7,"CA","44",NA,"W",NA,"L"
