year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
1976,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,ERNESTO B. BORUNDA,LA RAZA UNIDA,False,total,1087,413056,False,20210114,OTHER
1976,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,JOSEPH M. MONTOYA,DEMOCRAT,False,total,176382,413056,False,20210114,DEMOCRAT
1976,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,"MALCOLM ""MATT"" DILLON",AMERICAN,False,total,906,413056,False,20210114,OTHER
1976,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,"HARRISON ""JACK"" SCHMITT",REPUBLICAN,False,total,234681,413056,False,20210114,REPUBLICAN
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,MARCIA GALLO,SOCIALIST WORKERS,False,total,16350,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,DANIEL PATRICK MOYNIHAN,LIBERAL,False,total,184083,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,JAMES L. BUCKLEY,CONSERVATIVE,False,total,311494,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,ELIJAH C. BOYD,LABOR,False,total,6716,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,HERBERT APTHEKER,COMMUNIST,False,total,25141,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,MARTIN E. NIXON,LIBERTARIAN,False,total,10943,6666875,False,20210114,LIBERTARIAN
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,OTHER,,False,total,348498,6666875,False,20210114,OTHER
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,JAMES L. BUCKLEY,REPUBLICAN,False,total,2525139,6666875,False,20210114,REPUBLICAN
1976,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,DANIEL PATRICK MOYNIHAN,DEMOCRAT,False,total,3238511,6666875,False,20210114,DEMOCRAT
1976,NORTH DAKOTA,ND,38,44,36,US SENATE,statewide,gen,False,ROBERT STROUP,REPUBLICAN,False,total,103466,283062,False,20210114,REPUBLICAN
1976,NORTH DAKOTA,ND,38,44,36,US SENATE,statewide,gen,False,QUENTIN N. BURDICK,DEMOCRAT,False,total,175772,283062,False,20210114,DEMOCRAT
1976,NORTH DAKOTA,ND,38,44,36,US SENATE,statewide,gen,False,CLARENCE HAGGARD,AMERICAN,False,total,3824,283062,False,20210114,OTHER
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,EMMA LILA FUNDABURK,INDEPENDENT,False,total,33285,3920613,False,20210114,OTHER
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,HOWARD M. METZENBAUM,DEMOCRAT,False,total,1941113,3920613,False,20210114,DEMOCRAT
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,"ROBERT TAFT, JR.",REPUBLICAN,False,total,1823774,3920613,False,20210114,REPUBLICAN
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,MELISA SINGLER,SOCIALIST WORKERS,False,total,31805,3920613,False,20210114,OTHER
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,DONALD E. BABCOCK,AMERICAN,False,total,36979,3920613,False,20210114,OTHER
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,JOHN O'NEILL,INDEPENDENT,False,total,53657,3920613,False,20210114,OTHER
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,H. JOHN HEINZ III,REPUBLICAN,False,total,2381891,4546353,False,20210114,REPUBLICAN
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,FREDERICK W. STANTON,SOCIALIST WORKERS,False,total,5484,4546353,False,20210114,OTHER
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,BERNARD SALERA,LABOR,False,total,3637,4546353,False,20210114,OTHER
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,FRANK KINCES,COMMUNIST,False,total,2097,4546353,False,20210114,OTHER
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,ANDREW J. WATSON,CONSTITUTION,False,total,26028,4546353,False,20210114,OTHER
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,WILLIAM J. GREEN,DEMOCRAT,False,total,2126977,4546353,False,20210114,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,OTHER,,False,total,239,4546353,False,20210114,OTHER
1976,RHODE ISLAND,RI,44,15,5,US SENATE,statewide,gen,False,RICHARD P. LORBER,DEMOCRAT,False,total,167665,398906,False,20210114,DEMOCRAT
1976,RHODE ISLAND,RI,44,15,5,US SENATE,statewide,gen,False,JOHN H. CHAFEE,REPUBLICAN,False,total,230329,398906,False,20210114,REPUBLICAN
1976,RHODE ISLAND,RI,44,15,5,US SENATE,statewide,gen,False,MARGARET R. CANN,COMMUNIST,False,total,912,398906,False,20210114,OTHER
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,MARK CLARK BATES,INDEPENDENT,False,total,5137,1432046,False,20210114,OTHER
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,WILLIE C. JACOX,INDEPENDENT,False,total,1406,1432046,False,20210114,OTHER
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,,,True,total,31,1432046,False,20210114,OTHER
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,JAMES R. SASSER,DEMOCRAT,False,total,751180,1432046,False,20210114,DEMOCRAT
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,ARNOLD JOSEPH ZANDIE,INDEPENDENT,False,total,1061,1432046,False,20210114,OTHER
1976,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,BILL BROCK,REPUBLICAN,False,total,673231,1432046,False,20210114,REPUBLICAN
1976,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,PEDRO VASQUEZ,SOCIALIST WORKERS,False,total,20549,3874230,False,20210114,OTHER
1976,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,MARJORIE P. GALLION,AMERICAN,False,total,17355,3874230,False,20210114,OTHER
1976,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,ALAN STEELMAN,REPUBLICAN,False,total,1636370,3874230,False,20210114,REPUBLICAN
1976,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,LLOYD BENTSEN,DEMOCRAT,False,total,2199956,3874230,False,20210114,DEMOCRAT
1976,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,STEVE TROTTER,LIBERTARIAN,False,total,3026,522108,False,20210114,LIBERTARIAN
1976,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,GEORGE MERL BATCHELOR,AMERICAN,False,total,4913,522108,False,20210114,OTHER
1976,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,ORRIN G. HATCH,REPUBLICAN,False,total,290221,522108,False,20210114,REPUBLICAN
1976,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,FRANK E. MOSS,DEMOCRAT,False,total,223948,522108,False,20210114,DEMOCRAT
1976,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,ROBERT T. STAFFORD,REPUBLICAN,False,total,94481,189060,False,20210114,REPUBLICAN
1976,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,SCATTER,,False,total,96,189060,False,20210114,OTHER
1976,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,THOMAS P. SALMON,DEMOCRAT,False,total,85682,189060,False,20210114,DEMOCRAT
1976,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,NANCY KAUFMAN,LIBERTY UNION,False,total,8801,189060,False,20210114,OTHER
1976,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,,,True,total,154,1557500,False,20210114,OTHER
1976,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,MARTIN H. PERPER,INDEPENDENT,False,total,70559,1557500,False,20210114,OTHER
1976,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,E. R. (BUD) ZUMWALT,DEMOCRAT,False,total,596009,1557500,False,20210114,DEMOCRAT
1976,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,"HARRY F. BYRD, JR.",INDEPENDENT,False,total,890778,1557500,False,20210114,OTHER
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,"WILLIAM F. WERTZ, JR.",LABOR,False,total,3389,1491111,False,20210114,OTHER
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,DAVE SMITH,INDEPENDENT,False,total,28182,1491111,False,20210114,OTHER
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,KARL BERMANN,SOCIALIST WORKERS,False,total,7402,1491111,False,20210114,OTHER
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,HENRY M. JACKSON,DEMOCRAT,False,total,1071219,1491111,False,20210114,DEMOCRAT
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,RICHARD K. KENNEY,LIBERTARIAN,False,total,19373,1491111,False,20210114,LIBERTARIAN
1976,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,GEORGE M. BROWN,REPUBLICAN,False,total,361546,1491111,False,20210114,REPUBLICAN
1976,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,ROBERT C. BYRD,DEMOCRAT,False,total,566359,566359,False,20210114,DEMOCRAT
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,MICHAEL A. MACLAURIN,U.S. LABOR,False,total,2148,1935183,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,WILLIAM O. HART,DEMOCRATIC SOCIALIST,False,total,7354,1935183,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,ROBERT E. NORDLANDER,SOCIALIST LABOR,False,total,1731,1935183,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,WILLIAM PROXMIRE,DEMOCRAT,False,total,1396970,1935183,False,20210114,DEMOCRAT
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,ROBERT SCHWARZ,SOCIALIST WORKERS,False,total,4876,1935183,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,SCATTER,,False,total,202,1935183,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,STANLEY YORK,REPUBLICAN,False,total,521902,1935183,False,20210114,REPUBLICAN
1976,WYOMING,WY,56,83,68,US SENATE,statewide,gen,False,GALE MCGEE,DEMOCRAT,False,total,70558,155368,False,20210114,DEMOCRAT
1976,WYOMING,WY,56,83,68,US SENATE,statewide,gen,False,MALCOLM WALLOP,REPUBLICAN,False,total,84810,155368,False,20210114,REPUBLICAN
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,False,JEROME B. COUCH,PROHIBITION,False,total,34951,582005,False,20210114,OTHER
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,True,JAMES D. MARTIN,REPUBLICAN,False,total,316170,729842,False,20210114,REPUBLICAN
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,True,MICHAEL R. A. ERDEY,LIBERTARIAN,False,total,6006,729842,False,20210114,LIBERTARIAN
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,True,DONALD STEWART,DEMOCRAT,False,total,401852,729842,False,20210114,DEMOCRAT
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,False,HOWELL HEFLIN,DEMOCRAT,False,total,547054,582005,False,20210114,DEMOCRAT
1978,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,True,A. J. KILLINSWORTH,PROHIBITION,False,total,5814,729842,False,20210114,OTHER
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,DONALD HOBBS,DEMOCRAT,False,total,29574,122741,False,20210114,DEMOCRAT
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,,,True,total,384,122741,False,20210114,OTHER
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,TED STEVENS,REPUBLICAN,False,total,92783,122741,False,20210114,REPUBLICAN
1978,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,JOHN GRAHAM BLACK,INDEPENDENT,False,total,37211,517138,False,20210114,OTHER
1978,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,,,True,total,113,517138,False,20210114,OTHER
1978,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,DAVID PRYOR,DEMOCRAT,False,total,395506,517138,False,20210114,DEMOCRAT
1978,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,TOM KELLY,REPUBLICAN,False,total,84308,517138,False,20210114,REPUBLICAN
1978,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,JOHN SHUE ,NATIONAL STATESMAN,False,total,2518,819256,False,20210114,OTHER
1978,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,VEDDER V. DRON,UNITED STATES PARTY,False,total,5789,819256,False,20210114,OTHER
1978,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,FLOYD K. HASKELL,DEMOCRAT,False,total,330148,819256,False,20210114,DEMOCRAT
1978,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,WILLIAM L. ARMSTRONG,REPUBLICAN,False,total,480801,819256,False,20210114,REPUBLICAN
1978,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,JOSEPH R. BIDEN JR.,DEMOCRAT,False,total,93930,162072,False,20210114,DEMOCRAT
1978,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,DONALD G. GIES,AMERICAN,False,total,1663,162072,False,20210114,OTHER
1978,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,JAMES H. BAXTER JR.,REPUBLICAN,False,total,66479,162072,False,20210114,REPUBLICAN
1978,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,False,JOHN W. STOKES,REPUBLICAN,False,total,108808,645128,False,20210114,REPUBLICAN
1978,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,False,SAM NUNN,DEMOCRAT,False,total,536320,645128,False,20210114,DEMOCRAT
1978,IDAHO,ID,16,82,63,US SENATE,statewide,gen,False,DWIGHT JENSEN,DEMOCRAT,False,total,89635,284047,False,20210114,DEMOCRAT
1978,IDAHO,ID,16,82,63,US SENATE,statewide,gen,False,JAMES A. MCCLURE,REPUBLICAN,False,total,194412,284047,False,20210114,REPUBLICAN
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,PATRICIA GROGAN,SOCIALIST WORKERS,False,total,15922,3184764,False,20210114,OTHER
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,ALEX SMITH,DEMOCRAT,False,total,1448187,3184764,False,20210114,DEMOCRAT
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,BRUCE LEE GREEN,LIBERTARIAN,False,total,16320,3184764,False,20210114,LIBERTARIAN
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,,,True,total,159,3184764,False,20210114,OTHER
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,CHARLES H. PEREY,REPUBLICAN,False,total,1698711,3184764,False,20210114,REPUBLICAN
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,GERALD ROSE,SOCIALIST LABOR,False,total,5465,3184764,False,20210114,OTHER
1978,IOWA,IA,19,42,31,US SENATE,statewide,gen,False,ROGER W. JEPSEN,REPUBLICAN,False,total,421598,824576,False,20210114,REPUBLICAN
